,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2654,20171129,49.236,50.5042,49.236,49.8378,8150,1.0261,26.0412,26.2755
2655,20171130,50.1312,50.6534,49.609,49.8378,15470,1.0258,23.4413,26.0875
2656,20171201,49.609,49.8328,49.236,49.4648,19020,1.0178,19.3646,25.5073
2657,20171204,49.4598,49.7582,49.4598,49.7632,27590,1.0235,17.4926,24.9686
2658,20171205,49.7582,49.7582,49.4598,49.4648,10750,1.0169,13.18,24.4684
2659,20171206,49.236,49.7582,48.863,49.4648,6200,1.0164,8.2489,23.2956
2660,20171207,49.9074,49.9074,49.236,49.614,17270,1.0197,4.8728,22.352
2661,20171208,49.7582,49.982,49.6836,49.8378,15580,1.0248,6.2311,21.5514
2662,20171211,49.4598,49.7582,49.236,49.241,4930,1.0131,4.7741,20.2466
2663,20171212,49.3852,49.3852,47.371,47.7488,27360,0.983,4.7433,20.3427
2664,20171213,49.236,49.236,47.744,48.4949,22350,0.9986,10.9176,20.4319
2665,20171214,48.49,48.49,48.117,48.4949,24010,0.9991,17.664,20.5148
2666,20171215,48.49,49.609,48.49,49.614,19410,1.0226,31.336,19.2638
2667,20171218,49.609,49.6836,48.863,49.5394,17380,1.0212,48.2645,18.0223
2668,20171219,48.863,49.4598,48.863,49.3902,9540,1.0181,63.6714,16.8695
2669,20171220,49.236,49.3852,48.863,49.241,9930,1.0154,71.5313,15.799
2670,20171221,48.7138,48.863,48.7138,48.7187,13850,1.0049,72.6827,14.99
2671,20171222,48.863,49.609,48.863,49.3902,9910,1.0188,70.6929,14.5287
2672,20171225,49.3852,49.8328,48.49,49.241,5720,1.016,67.8012,13.6134
2673,20171226,49.609,49.609,48.49,48.6441,8920,1.0041,60.1627,12.7635
2674,20171227,48.6392,49.0868,48.49,49.0917,5900,1.0136,58.8095,11.9743
2675,20171228,48.49,49.1614,48.49,49.1663,6440,1.0153,65.2621,11.3499
2676,20171229,49.1614,49.3106,48.49,49.241,8230,1.017,65.6335,10.9927
2677,20180103,49.3852,49.3852,48.49,49.241,41890,1.0172,64.7278,10.775
2678,20180104,49.236,49.3852,49.236,49.241,29740,1.0175,70.0906,10.5729
2679,20180105,49.236,49.3106,48.863,48.8679,9630,1.0101,60.1845,9.9437
2680,20180108,48.49,49.0868,48.49,49.0917,5110,1.015,55.0679,9.9792
2681,20180109,49.0868,49.1614,48.863,49.0171,21060,1.0137,48.1399,9.8649
2682,20180110,49.0122,49.609,49.0122,49.4648,34110,1.0231,55.0088,9.395
2683,20180111,49.4598,49.4598,49.0122,49.241,12710,1.0188,54.8492,8.9587
2684,20180112,49.236,49.609,49.0122,49.241,31050,1.0191,65.0152,8.8295
2685,20180115,49.3852,51.0264,49.236,51.0315,28510,1.056,75.0538,10.6337
2686,20180116,51.3994,51.3994,49.982,50.5839,7820,1.0467,80.8079,12.6667
2687,20180117,50.355,50.355,49.982,49.987,1210,1.0344,68.908,14.5545
2688,20180118,49.982,49.982,48.863,49.987,9360,1.0344,64.0366,14.2302
2689,20180119,50.2804,50.2804,49.982,50.1362,19910,1.0374,60.5062,14.2932
2690,20180122,48.9376,49.982,48.49,48.7933,25060,1.0099,40.5062,14.1145
2691,20180125,49.236,49.236,48.0424,48.0472,62660,0.9948,25.6416,14.3909
2692,20180126,48.0424,48.863,48.0424,48.8679,8400,1.0122,22.8688,14.6475
2693,20180129,48.49,48.863,47.8186,48.4949,25830,1.0049,18.1999,15.115
2694,20180130,46.1028,48.49,46.1028,48.1964,42780,0.9991,10.714,16.9233
2695,20180131,48.49,48.49,46.252,48.1218,28190,0.998,12.2942,18.6025
2696,20180201,48.49,48.49,47.744,48.4203,6860,1.0043,16.01,20.1617
2697,20180202,47.744,47.744,47.371,47.7488,13890,0.9905,10.8825,21.874
2698,20180205,46.998,47.371,46.252,46.2567,9350,0.9598,7.4512,24.1314
2699,20180206,45.8044,46.252,44.014,45.809,31900,0.9509,5.496,27.1076
2700,20180207,47.744,47.744,46.998,47.0027,11980,0.9759,11.8093,27.9792
2701,20180208,45.879,46.8488,45.879,46.182,13580,0.959,12.9713,29.284
2702,20180209,43.641,46.4012,43.641,45.8836,6570,0.9528,16.6259,31.2541
2703,20180212,46.998,46.998,46.252,46.7043,11190,0.9698,30.4891,32.4819
2704,20180213,46.6996,46.998,46.6996,47.0027,14050,0.976,46.983,33.622
2705,20180221,46.625,46.998,46.625,47.0027,22970,0.976,55.5832,34.7092
2706,20180222,46.998,47.371,46.998,47.0027,18430,0.9759,69.6215,35.2943
2707,20180223,47.5202,47.5202,46.6996,46.7043,9020,0.9696,82.0043,35.9732
2708,20180226,46.6996,46.6996,46.1028,46.2567,53980,0.9603,80.5261,36.8671
2709,20180227,46.252,47.371,45.506,47.3758,37640,0.9833,84.0322,36.9027
2710,20180228,47.2964,47.2964,46.1774,47.3012,22290,0.9815,86.967,36.9358
2711,20180301,47.2964,47.744,46.998,47.6742,9830,0.989,88.051,36.4294
2712,20180302,47.6694,47.6694,47.371,47.5996,8920,0.9873,91.2389,35.9592
2713,20180305,47.9678,47.9678,47.371,47.3758,20640,0.9826,95.7497,35.1459
2714,20180306,47.5202,47.5202,47.371,47.525,22920,0.9855,94.3408,34.3907
2715,20180307,47.5202,47.5202,47.1472,47.3758,29360,0.9823,91.8041,33.8733
2716,20180308,47.371,47.371,47.371,47.3758,15130,0.9821,87.6589,33.3928
2717,20180309,47.371,47.371,47.2964,47.3012,17210,0.9804,82.8297,33.0144
2718,20180312,47.371,47.371,46.625,47.3758,17410,0.9817,81.9834,33.2384
2719,20180313,46.998,46.998,46.998,47.0027,12500,0.9738,72.825,33.4464
2720,20180314,46.252,47.0726,46.252,47.0027,11460,0.9737,65.3657,34.2149
2721,20180315,46.998,47.371,46.625,46.7043,7410,0.9674,53.697,34.3976
2722,20180316,46.6996,47.371,46.998,47.3758,11000,0.9813,57.2793,34.5672
2723,20180319,47.744,47.744,46.998,47.0027,11910,0.9736,50.9146,34.0455
2724,20180320,46.998,47.371,46.998,47.3012,4400,0.9797,58.6147,33.5611
