,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2751,20171204,3.41,3.5,3.41,3.46,3503450,0.894,76.7947,24.6217
2752,20171205,3.5,3.5,3.4,3.4,2344920,0.8814,67.1707,23.7888
2753,20171206,3.4,3.42,3.37,3.39,2599120,0.8814,61.4876,22.6112
2754,20171207,3.4,3.47,3.37,3.39,1789590,0.8841,57.1686,22.064
2755,20171208,3.41,3.45,3.39,3.4,1964970,0.8892,54.4224,21.5559
2756,20171211,3.38,3.39,3.34,3.34,2170120,0.8757,46.662,20.367
2757,20171212,3.34,3.35,3.23,3.29,3027200,0.8646,39.5402,19.8461
2758,20171213,3.29,3.3,3.25,3.27,1020560,0.8615,29.7335,19.3624
2759,20171214,3.27,3.33,3.27,3.3,1586990,0.872,22.8835,18.4978
2760,20171215,3.3,3.34,3.29,3.31,13552830,0.8771,16.3054,17.5561
2761,20171218,3.37,3.39,3.34,3.37,2599810,0.8953,24.2131,16.5916
2762,20171219,3.39,3.39,3.32,3.34,1447570,0.8894,31.9836,15.4217
2763,20171220,3.33,3.33,3.28,3.29,6064940,0.878,37.2524,14.8319
2764,20171221,3.29,3.33,3.27,3.28,1420210,0.8771,38.4592,14.4131
2765,20171222,3.3,3.32,3.27,3.28,1761260,0.8791,40.1592,14.0242
2766,20171225,3.29,3.3,3.26,3.26,2024500,0.8758,28.4778,13.8064
2767,20171226,3.26,3.28,3.25,3.26,1240240,0.8779,19.8325,13.7516
2768,20171227,3.26,3.28,3.25,3.25,1650100,0.8775,15.1757,13.7008
2769,20171228,3.26,3.29,3.25,3.26,1233860,0.8828,14.5243,13.4421
2770,20171229,3.28,3.28,3.25,3.26,1496980,0.8851,12.3948,13.2019
2771,20180103,3.31,3.31,3.27,3.29,2185770,0.8953,22.565,12.3222
2772,20180104,3.31,3.52,3.3,3.52,8855020,0.9597,40.1857,14.1627
2773,20180105,3.61,3.68,3.45,3.45,7614230,0.9424,54.1226,16.9362
2774,20180108,3.43,3.56,3.43,3.49,3306890,0.9551,67.0685,19.1686
2775,20180109,3.49,3.49,3.4,3.45,4514090,0.9457,77.1061,20.7308
2776,20180110,3.51,3.64,3.5,3.55,6186120,0.9746,82.6334,23.05
2777,20180111,3.56,3.56,3.49,3.5,3858490,0.9623,77.2868,25.0438
2778,20180112,3.53,3.57,3.46,3.46,3940150,0.9527,74.8335,26.4098
2779,20180115,3.45,3.49,3.44,3.45,2257190,0.9514,69.8355,27.3558
2780,20180116,3.42,3.44,3.36,3.39,3928410,0.9366,64.0895,27.0488
2781,20180117,3.39,3.48,3.37,3.38,3934980,0.9355,53.2323,27.0943
2782,20180118,3.38,3.41,3.34,3.39,2267840,0.9402,45.7352,26.714
2783,20180119,3.45,3.53,3.45,3.47,5171470,0.9641,45.7558,27.2905
2784,20180122,3.48,3.5,3.41,3.42,2026950,0.9519,40.4971,27.2833
2785,20180125,3.45,3.46,3.36,3.36,4996230,0.9372,32.6936,26.636
2786,20180126,3.36,3.41,3.36,3.39,1877740,0.9474,28.4673,26.0349
2787,20180129,3.38,3.41,3.36,3.38,1319090,0.9465,23.3256,25.4768
2788,20180130,3.38,3.45,3.36,3.45,2663670,0.9677,20.0328,25.343
2789,20180131,3.45,3.45,3.37,3.39,2666610,0.9527,16.6487,25.2187
2790,20180201,3.39,3.39,3.25,3.25,4695500,0.9154,16.6487,23.4583
2791,20180202,3.27,3.31,3.27,3.28,1516070,0.9257,16.7658,21.8236
2792,20180205,3.28,3.29,3.06,3.06,4395200,0.8659,14.7512,22.195
2793,20180206,2.87,2.95,2.85,2.87,9295100,0.815,5.9278,23.7289
2794,20180207,2.99,3.03,2.97,3.02,2994130,0.8601,9.859,24.2751
2795,20180208,3.02,3.03,2.91,2.96,1367910,0.8456,15.2861,25.0992
2796,20180209,2.86,2.93,2.82,2.9,2061150,0.8311,16.3378,26.2979
2797,20180212,2.95,3.1,2.91,3.1,1542540,0.8908,28.8247,25.7762
2798,20180213,3.15,3.18,3.11,3.17,1583990,0.9131,43.6752,24.6494
2799,20180221,3.18,3.25,3.18,3.22,1348340,0.9298,53.4092,23.0807
2800,20180222,3.2,3.21,3.14,3.14,1528430,0.909,62.0327,21.8973
2801,20180223,3.14,3.2,3.14,3.14,1203060,0.9114,71.9211,20.7984
2802,20180226,3.18,3.19,3.13,3.14,1238440,0.9137,76.4836,19.8532
2803,20180227,3.14,3.16,3.11,3.13,806610,0.9132,78.2594,19.132
2804,20180228,3.12,3.12,3.08,3.08,1054190,0.9012,76.2765,18.6999
2805,20180301,3.08,3.08,3.02,3.03,1371460,0.8892,74.6858,18.7553
2806,20180302,3.02,3.06,3.01,3.06,1006770,0.9005,74.8664,18.8817
2807,20180305,3.08,3.09,3.03,3.03,1743370,0.8941,68.137,18.6513
2808,20180306,3.06,3.06,3.01,3.03,746210,0.8966,61.8306,18.6072
2809,20180307,3.03,3.24,3.03,3.12,3426800,0.9258,65.3316,17.799
2810,20180308,3.16,3.17,3.09,3.11,1517660,0.9255,67.5764,17.0485
2811,20180309,3.13,3.2,3.1,3.14,1059930,0.9371,72.9369,16.6154
