,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1613,20171204,4.2,4.28,3.94,3.94,527970,0.994,79.4345,17.6096
1614,20171205,3.95,3.98,3.67,3.9,135720,0.9846,60.5146,17.3843
1615,20171206,3.9,4.0,3.7,3.76,241290,0.9498,40.5146,17.0393
1616,20171207,3.75,3.97,3.71,3.85,90240,0.9732,24.2218,16.7189
1617,20171208,4.04,4.04,3.82,3.95,88640,0.9984,14.8437,15.9135
1618,20171211,3.93,4.0,3.85,3.86,74640,0.9754,16.8869,15.1656
1619,20171212,3.76,4.0,3.7,4.0,167370,1.0103,25.3439,15.3877
1620,20171213,4.12,4.12,3.83,3.85,166290,0.9724,30.3613,14.7096
1621,20171214,4.0,4.11,4.0,4.11,1144850,1.0375,39.2982,14.0799
1622,20171215,4.39,4.39,4.39,4.39,898260,1.1066,50.535,14.3228
1623,20171218,4.66,4.66,4.3,4.3,2088570,1.0825,61.8927,15.6475
1624,20171219,4.3,4.4,4.05,4.4,1208110,1.1059,70.3658,15.3895
1625,20171220,4.4,4.7,4.3,4.6,2338700,1.1534,85.3484,16.2086
1626,20171221,4.6,4.74,4.54,4.54,822740,1.136,90.9491,17.0926
1627,20171222,4.59,4.62,4.51,4.54,394340,1.1336,90.4986,17.7415
1628,20171225,4.58,4.58,4.3,4.3,599690,1.0722,86.0448,17.2294
1629,20171226,4.27,4.4,4.23,4.37,271900,1.0878,79.5824,16.4181
1630,20171227,4.3,4.4,4.24,4.25,404710,1.0562,66.7859,15.6648
1631,20171228,4.06,4.3,4.06,4.15,284910,1.03,52.7266,14.9773
1632,20171229,4.12,4.28,4.1,4.11,409760,1.0191,37.0952,14.3389
1633,20180103,4.69,4.69,4.6,4.69,2757740,1.1606,42.6436,14.6187
1634,20180104,4.84,5.01,4.8,5.01,2965730,1.2369,51.0958,15.8214
1635,20180105,5.3,5.36,5.11,5.36,4003030,1.3194,63.8923,17.7206
1636,20180108,5.72,5.73,5.7,5.73,3352780,1.4049,79.7068,20.1173
1637,20180109,6.13,6.13,5.73,6.13,5210990,1.4951,97.0935,22.8718
1638,20180110,6.3,6.39,5.8,6.06,3376180,1.4706,98.7077,25.7133
1639,20180111,6.0,6.09,5.64,5.64,2796160,1.3626,90.4705,27.6559
1640,20180112,5.26,5.55,5.25,5.25,4200450,1.2641,77.0552,27.9755
1641,20180115,5.2,5.61,5.0,5.54,1249300,1.3288,65.9972,27.4629
1642,20180116,5.54,5.65,5.36,5.39,580620,1.2877,53.0838,27.0693
1643,20180117,5.21,5.45,5.02,5.02,1160150,1.1958,37.3149,25.6792
1644,20180118,4.84,5.22,4.84,5.17,1119730,1.2273,29.8856,23.9054
1645,20180119,5.2,5.32,5.0,5.1,1021580,1.2068,26.8529,22.5149
1646,20180122,5.05,5.1,4.88,4.92,1179760,1.1608,17.9109,20.9234
1647,20180125,4.9,4.95,4.6,4.6,1366390,1.0828,10.8243,20.1657
1648,20180126,4.6,4.77,4.6,4.7,1307910,1.1038,8.9463,19.4621
1649,20180129,4.7,5.02,4.7,5.02,362770,1.1753,8.8343,18.0816
1650,20180130,5.37,5.37,5.05,5.25,2119460,1.2247,11.5291,17.6911
1651,20180131,5.3,5.33,4.99,5.03,934270,1.1697,15.7653,17.1471
1652,20180201,5.0,5.17,4.82,4.93,494220,1.143,20.5941,16.1358
1653,20180202,4.82,5.0,4.7,4.88,931220,1.1278,24.6123,15.113
1654,20180205,4.86,4.9,4.54,4.54,888820,1.0467,20.3908,14.6036
1655,20180206,4.69,4.8,4.23,4.69,2288510,1.0784,17.9406,14.8919
1656,20180207,4.69,4.99,4.69,4.88,517020,1.1187,24.2519,14.5577
1657,20180208,4.88,4.88,4.7,4.71,218070,1.0768,25.1011,14.2474
1658,20180209,4.6,4.8,4.55,4.7,608380,1.0718,25.4113,14.3509
1659,20180212,4.7,4.98,4.7,4.95,384780,1.1256,38.7912,13.8426
1660,20180213,5.1,5.21,5.0,5.1,900310,1.1561,52.7921,13.0375
1661,20180221,5.3,5.3,5.0,5.1,528860,1.1531,60.0422,12.5481
1662,20180222,5.0,5.13,4.95,4.95,706140,1.1166,66.7369,11.929
1663,20180223,5.09,5.09,4.95,5.0,486230,1.1253,75.4307,11.3541
1664,20180226,5.0,5.08,4.85,4.9,653440,1.1011,73.6567,10.6218
1665,20180227,4.85,4.92,4.74,4.84,624520,1.0868,64.933,10.3215
1666,20180228,4.7,4.84,4.68,4.75,878720,1.0659,52.4056,10.2473
1667,20180301,4.75,4.85,4.7,4.8,608060,1.0755,47.7596,10.1357
1668,20180302,4.76,4.8,4.73,4.74,479510,1.061,33.6767,10.0321
1669,20180305,4.74,4.74,4.63,4.66,763950,1.0419,22.0707,10.3246
1670,20180306,4.65,4.7,4.63,4.67,408800,1.0425,13.6275,10.5962
1671,20180307,4.7,4.99,4.68,4.8,1068620,1.07,17.1067,10.1914
1672,20180308,4.85,5.07,4.76,5.03,1101950,1.119,29.38,10.1364
1673,20180309,5.0,5.05,4.9,4.93,525790,1.0953,43.7882,10.0853
1674,20180312,4.81,4.98,4.81,4.81,389940,1.0677,51.8266,9.5839
1675,20180313,4.88,4.88,4.75,4.8,578720,1.0648,58.7041,8.975
1676,20180314,4.8,4.83,4.78,4.83,435640,1.0702,59.2519,8.4096
1677,20180315,4.85,4.86,4.79,4.79,403940,1.0603,46.1659,7.897
1678,20180316,4.83,4.85,4.79,4.83,495050,1.068,41.3068,7.421
1679,20180319,4.83,4.85,4.7,4.7,341720,1.0384,34.8326,7.3318
1680,20180320,4.7,4.79,4.7,4.75,412890,1.0483,32.4373,7.249
1681,20180321,4.76,4.79,4.72,4.75,387280,1.0472,28.2532,7.1721
1682,20180322,4.78,4.79,4.73,4.74,249300,1.044,25.754,7.1007
1683,20180323,4.68,4.7,4.63,4.68,537210,1.0295,16.2049,7.6949
1684,20180326,4.74,4.76,4.66,4.69,254740,1.031,15.5523,7.7531
1685,20180327,4.74,4.75,4.66,4.68,245730,1.0277,10.5695,7.8071
