,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2472,20171204,13.0558,13.7577,13.0558,13.665,6112590,1.0346,92.8196,24.194
2473,20171205,13.6641,13.7577,13.1026,13.1034,3290220,0.9931,84.1805,25.8325
2474,20171206,13.1026,13.243,12.9154,13.197,3001340,1.001,80.0044,26.6037
2475,20171207,13.2898,13.3834,13.1494,13.2906,3189140,1.0088,75.5279,27.5666
2476,20171208,13.2898,13.4302,13.243,13.3842,2102090,1.0165,70.5193,28.5428
2477,20171211,13.1962,13.243,12.8218,12.8226,2289130,0.9747,55.0994,27.8668
2478,20171212,12.8218,13.009,11.9795,12.4951,6159520,0.951,43.7384,26.6614
2479,20171213,12.4943,12.4943,11.9795,11.9803,4004830,0.9133,31.4686,25.5421
2480,20171214,11.9795,12.4007,11.9795,12.4015,1083390,0.9468,22.7085,24.5028
2481,20171215,12.4475,12.4943,12.2603,12.4483,1450940,0.9516,13.9155,23.2693
2482,20171218,12.3539,12.5411,12.3071,12.3079,2286310,0.9422,12.9391,21.9867
2483,20171219,12.3539,12.4007,12.2603,12.3079,1736890,0.9432,16.5427,20.9237
2484,20171220,12.3539,12.9622,12.2603,12.8694,2936020,0.987,25.9689,20.4245
2485,20171221,12.8218,12.8686,12.6347,12.6355,2058510,0.9702,28.5321,19.9609
2486,20171222,12.4943,12.6347,12.4475,12.5887,1947880,0.9677,32.4304,18.9559
2487,20171225,12.5879,12.5879,12.3071,12.3547,1322320,0.9509,34.4017,17.6147
2488,20171226,12.4007,12.6347,12.3071,12.4951,1605060,0.9628,38.5179,16.5048
2489,20171227,12.4007,12.775,12.4007,12.5419,2444900,0.9675,37.5376,15.8783
2490,20171228,12.4943,12.5879,12.4475,12.5419,1424230,0.9683,43.8064,15.2966
2491,20171229,12.6347,12.6814,12.5411,12.5419,1440280,0.9691,48.2724,15.0382
2492,20180103,12.8686,13.3366,12.8218,13.2906,5370970,1.0273,62.6974,16.3371
2493,20180104,13.2898,13.8045,13.243,13.5246,4473290,1.0455,74.9776,18.2966
2494,20180105,13.5238,13.9449,13.3834,13.5714,3011970,1.0492,86.5317,20.3112
2495,20180108,13.5706,13.9449,13.5706,13.899,3473970,1.0741,93.2658,22.1819
2496,20180109,13.9917,14.1321,13.6173,14.133,5317770,1.0914,100.0,24.1859
2497,20180110,14.2257,14.5532,14.1321,14.367,6967320,1.1087,100.0,26.5612
2498,20180111,14.4129,14.4129,14.0385,14.3202,3160500,1.1047,99.137,28.3903
2499,20180112,14.3193,14.3661,13.9449,14.0394,4563560,1.0828,93.2874,29.7105
2500,20180115,13.9449,14.0853,13.7577,13.8522,4491970,1.0681,84.3866,30.2048
2501,20180116,13.6641,13.7577,13.2898,13.2906,5327610,1.0252,66.194,29.1213
2502,20180117,13.2898,13.6173,13.1026,13.1034,4227600,1.0113,46.194,27.5914
2503,20180118,13.009,13.1962,12.8686,13.197,4289180,1.0194,28.2956,25.6785
2504,20180119,13.3834,13.3834,12.9154,12.9162,4890640,0.9988,14.1452,24.2455
2505,20180122,13.009,13.5706,13.009,13.5246,3417610,1.0465,9.7606,23.348
2506,20180125,13.6641,14.1789,13.5706,14.0862,7990280,1.09,19.4218,23.6726
2507,20180126,14.1789,14.3193,13.7109,13.7118,3388050,1.0613,26.7464,24.1988
2508,20180129,13.8513,14.2257,13.6641,13.9458,3639670,1.0797,34.7559,24.543
2509,20180130,13.8513,14.3193,13.5706,14.133,4193410,1.0944,45.4876,25.0256
2510,20180131,14.0385,14.0385,13.1494,13.1502,7827240,1.0192,40.1166,24.2095
2511,20180201,12.9622,13.1026,12.2603,12.2611,6555310,0.9517,28.648,23.412
2512,20180202,12.1199,12.4475,11.9795,12.2143,2991490,0.9494,21.3234,23.1304
2513,20180205,12.1667,12.3539,11.7923,11.7931,5150920,0.9183,12.0753,23.1586
2514,20180206,12.0731,12.0731,10.9968,12.0739,6895620,0.9416,4.272,24.2081
2515,20180207,12.2135,12.3071,11.9795,12.1675,2456660,0.9502,6.8265,24.6311
2516,20180208,11.9795,12.1667,11.8859,11.8867,1425320,0.9296,8.7863,25.1415
2517,20180209,11.2308,11.6988,11.2308,11.6995,2564890,0.9163,9.4965,26.3503
2518,20180212,11.6988,11.8859,11.5116,11.6995,1799110,0.9179,10.2066,27.023
2519,20180213,11.8391,12.0731,11.7455,11.9335,1830710,0.9376,10.875,27.2055
2520,20180221,11.9795,12.6347,11.9327,12.6355,2475630,0.9935,18.4151,26.1867
2521,20180222,12.4475,12.5879,12.1199,12.1675,2626710,0.9576,23.8212,25.2407
2522,20180223,12.3539,12.4475,12.1667,12.4015,2288100,0.9769,32.8199,24.3623
2523,20180226,12.5411,12.6347,12.2135,12.4015,2713030,0.9776,49.0859,23.1373
2524,20180227,12.3539,12.4007,12.1199,12.1207,2000990,0.9563,57.9539,22.1761
2525,20180228,11.9795,12.3539,11.9795,12.1207,2865680,0.9573,58.9805,21.5492
2526,20180301,12.0731,12.2603,11.9795,12.0739,2714790,0.9548,63.2768,20.9671
2527,20180302,12.0263,12.3539,11.9327,12.3079,3131640,0.9743,70.1981,20.1766
2528,20180305,12.4475,12.4475,11.8859,11.8867,3211760,0.942,61.8902,19.1901
2529,20180306,11.8859,12.1667,11.7923,12.1675,3040120,0.9651,64.6171,18.498
2530,20180307,12.1667,12.5879,12.1199,12.4015,3706540,0.9843,72.1523,17.5901
2531,20180308,12.4475,12.9154,12.4475,12.4483,2886640,0.9885,80.4902,17.4514
2532,20180309,12.6347,12.7282,12.4007,12.4015,2023820,0.9849,82.4938,17.1916
2533,20180312,12.4007,12.4943,12.2603,12.4015,1969420,0.9851,92.129,16.5543
2534,20180313,12.4007,13.0558,12.3539,12.963,7988280,1.0293,96.9374,17.0989
2535,20180314,12.9622,13.243,12.9622,13.1034,4411090,1.0398,96.9374,17.9221
2536,20180315,13.1026,13.1026,12.8218,12.8226,2405010,1.0174,91.3174,18.2712
2537,20180316,12.6347,13.009,12.6347,12.6355,4514690,1.0024,83.5768,18.0609
