,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2982,20171201,33.006,33.4392,32.9194,33.0939,242260,0.9401,87.8013,13.6975
2983,20171204,33.0927,34.2189,33.0927,34.2201,403510,0.9734,87.8013,14.1211
2984,20171205,35.0852,35.8648,34.8253,34.9132,554400,0.9942,90.448,16.074
2985,20171206,34.9119,35.0852,33.7857,34.8266,259790,0.9928,92.7957,16.3115
2986,20171207,34.8253,35.0852,34.3055,34.8266,190270,0.9939,93.6768,16.532
2987,20171208,34.8253,34.8253,34.3921,34.8266,185330,0.9949,97.1606,16.7368
2988,20171211,34.4787,34.8253,34.3055,34.3068,222190,0.9812,86.2796,16.7908
2989,20171212,34.1322,34.3055,32.9627,33.5271,224170,0.9602,66.2796,16.1086
2990,20171213,34.1322,34.1322,33.3526,33.787,132340,0.9688,50.2366,15.4752
2991,20171214,34.0456,34.0456,33.5691,33.7436,64830,0.9688,33.6382,14.887
2992,20171215,33.7424,33.829,33.3526,33.787,315490,0.9716,17.5875,14.6103
2993,20171218,34.0456,34.3055,33.3092,33.6137,751260,0.9682,9.029,13.6562
2994,20171219,33.3526,33.5258,33.136,33.1372,363760,0.956,9.029,13.0049
2995,20171220,33.1793,33.6124,33.1793,33.2238,259430,0.9598,7.0416,12.2687
2996,20171221,32.9194,33.4825,32.9194,33.2238,378890,0.9609,5.6096,11.9591
2997,20171222,33.2659,33.5258,33.2226,33.2672,267140,0.9636,4.2053,11.5979
2998,20171225,33.3526,33.6124,33.136,33.1372,129100,0.9612,3.7134,11.1084
2999,20171226,33.2226,33.6124,33.0493,33.6137,391560,0.9763,10.399,10.7988
3000,20171227,33.6124,33.7857,33.2226,33.5271,343680,0.975,14.8774,10.177
3001,20171228,33.5258,33.959,33.1793,33.9602,520470,0.9887,30.5357,9.6293
3002,20171229,33.959,34.2189,33.4392,34.2201,612180,0.997,48.9371,9.5933
3003,20180103,36.8178,38.1172,36.6445,37.9453,1857440,1.1053,68.8685,12.9543
3004,20180104,37.4242,38.637,37.4242,38.3785,1116660,1.1176,82.1829,16.2915
3005,20180105,38.3771,38.4637,37.2509,38.3785,1088580,1.117,96.6814,19.1113
3006,20180108,38.1172,38.637,37.7707,38.5518,548980,1.1212,100.0,21.8108
3007,20180109,38.1172,38.7236,37.6841,38.3785,860640,1.1152,98.7388,24.3175
3008,20180110,38.3771,38.5504,37.9873,38.3785,472100,1.1143,97.4752,26.6452
3009,20180111,38.5504,38.5504,37.5974,37.6854,672590,1.0935,91.1877,28.0525
3010,20180112,37.5108,38.0306,37.2509,37.6854,506590,1.0929,84.9003,28.7269
3011,20180115,37.4242,37.814,37.2509,37.8154,467000,1.0959,79.0098,29.3532
3012,20180116,37.5108,37.8573,36.3846,37.7721,497620,1.0939,72.9057,28.4691
3013,20180117,37.4242,39.2434,37.2509,37.7721,1269530,1.0931,66.8041,28.8612
3014,20180118,37.7707,38.5504,37.7707,38.4651,537050,1.1123,67.333,29.2253
3015,20180119,38.5504,39.6765,38.5504,39.3315,1121060,1.1362,70.6571,30.3256
3016,20180122,37.6841,39.33,37.3375,37.902,912480,1.0941,56.5476,29.7167
3017,20180125,37.6841,38.7236,37.5108,38.1186,878250,1.0995,45.2118,29.1513
3018,20180126,38.1172,38.5504,37.5974,38.2919,482240,1.1036,34.9249,28.6262
3019,20180129,38.1172,38.7669,37.6841,38.5518,587670,1.1105,24.6019,28.3285
3020,20180130,38.3771,38.7236,38.1172,38.5518,583460,1.1099,11.985,28.0521
3021,20180131,38.5504,38.7236,37.8573,38.5518,715100,1.1093,16.4047,27.3937
3022,20180201,38.637,38.637,37.7707,38.4651,567030,1.1061,18.4036,26.6469
3023,20180202,38.1172,38.4637,37.7707,38.4651,386930,1.1053,19.3537,25.9534
3024,20180205,37.6841,38.4637,37.121,37.2523,326890,1.07,15.4353,24.2912
3025,20180206,35.5183,35.6049,34.652,35.5196,572800,1.0204,11.0156,24.8059
3026,20180207,37.5974,37.5974,35.0852,36.9057,160370,1.0598,12.1277,23.1763
3027,20180208,34.3488,36.8178,34.3488,36.8191,162210,1.057,14.0828,22.2371
3028,20180209,34.3055,36.3846,34.2622,36.3859,174280,1.0445,14.6454,21.431
3029,20180212,36.2113,36.4712,35.345,36.3859,165350,1.0445,20.2904,20.5957
3030,20180213,36.3846,36.3846,35.5183,36.3859,222240,1.0445,25.9353,19.8201
3031,20180221,36.3846,36.5579,35.8648,36.5592,170530,1.0494,27.1968,18.9057
3032,20180222,36.0381,36.3846,35.5183,35.5196,130820,1.0197,23.5378,18.393
3033,20180223,36.0814,36.0814,35.0418,35.9528,143380,1.0323,24.1466,18.3568
3034,20180226,35.9515,36.3846,35.5183,35.7795,180580,1.0277,22.1263,17.939
3035,20180227,36.2113,37.6841,36.2113,37.2523,519880,1.0701,28.9537,17.1623
3036,20180228,37.0776,37.2509,36.4279,37.079,225170,1.065,33.6432,16.441
3037,20180301,36.8178,36.8178,35.9948,36.7325,135890,1.0549,47.3054,15.2894
