,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1953,20171205,19.2514,19.5165,19.2514,19.352,316050,1.1601,4.1246,57.1655
1954,20171206,19.3508,19.4171,18.887,19.0869,258710,1.1419,2.5577,55.3503
1955,20171207,19.1189,19.2514,18.887,18.9544,233160,1.1318,0.9908,53.6648
1956,20171208,19.152,19.152,18.9532,18.9544,314570,1.1296,0.9908,52.0997
1957,20171211,19.0195,19.0195,18.6881,18.7887,164890,1.1177,0.9908,49.511
1958,20171212,18.6881,18.8207,18.158,18.4573,444550,1.0963,0.0,46.5484
1959,20171213,18.4562,18.5556,18.3237,18.4573,187350,1.0944,0.0,43.7974
1960,20171214,18.4562,18.8207,18.4562,18.7224,134790,1.108,4.1515,40.9195
1961,20171215,18.7213,18.887,18.6881,18.7224,163190,1.1059,8.3029,38.4399
1962,20171218,18.887,18.887,18.1911,18.2254,478790,1.0749,8.3029,36.6482
1963,20171219,18.2243,18.4893,18.158,18.3579,88390,1.081,10.2836,35.0652
1964,20171220,18.4893,18.5225,18.2905,18.3579,177560,1.0793,12.5258,33.4817
1965,20171221,18.3568,18.4231,18.1911,18.3579,203390,1.0777,10.8849,32.278
1966,20171222,18.3568,18.4231,18.158,18.2254,214190,1.0685,6.9994,31.2504
1967,20171225,18.5556,19.152,18.5556,18.855,305230,1.1035,23.1268,29.9647
1968,20171226,19.0526,19.0526,18.6881,18.8881,155800,1.1035,41.1461,28.7708
1969,20171227,18.7544,18.8207,18.5556,18.5567,172840,1.0824,49.346,27.2355
1970,20171228,18.6881,18.6881,18.0917,18.2254,356890,1.0616,49.333,26.0416
1971,20171229,18.0917,18.3568,18.0254,18.1591,273160,1.0562,50.092,25.0921
1972,20180102,18.158,18.3237,18.1248,18.1591,125060,1.0548,34.9897,24.2105
1973,20180103,18.2243,18.5556,18.2243,18.5567,204230,1.0761,27.6389,22.653
1974,20180104,18.6881,19.4834,18.5556,19.4846,733900,1.1275,37.1967,22.9353
1975,20180105,19.5497,19.5497,19.152,19.3189,203500,1.1156,51.8919,23.3093
1976,20180108,19.2183,19.2846,19.0858,19.1201,106940,1.102,64.7316,23.4512
1977,20180109,18.7544,19.2846,18.5556,19.2195,344060,1.1055,78.7746,22.1323
1978,20180110,19.2846,19.2846,19.152,19.1532,248670,1.0996,80.0344,20.9076
1979,20180111,19.0858,19.2514,19.0858,19.1532,220050,1.0975,73.9435,19.5984
1980,20180112,19.4502,19.4834,19.2183,19.2195,289000,1.0991,71.5132,18.9371
1981,20180115,19.2183,19.2514,18.9532,19.2195,411910,1.0969,72.4108,17.6194
1982,20180116,19.3177,19.3177,18.887,18.8881,156580,1.0761,65.359,16.5627
1983,20180117,18.887,19.6159,18.6219,18.9544,403230,1.0779,60.6535,16.2903
1984,20180118,18.8207,19.3508,18.8207,19.352,387580,1.0982,62.326,16.0373
1985,20180119,19.6159,20.2786,19.4171,20.2799,1293300,1.1478,67.5636,17.4805
1986,20180122,21.1401,21.6703,20.5437,21.6716,1427480,1.2224,72.8013,20.201
1987,20180125,22.2005,23.1614,21.6703,23.1628,1048080,1.301,84.7851,23.5496
1988,20180126,24.1554,24.1554,21.9354,23.1296,683150,1.2937,95.2709,27.0278
1989,20180129,22.7969,23.2608,22.0679,22.5994,229490,1.2591,94.5792,30.2576
