,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1832,20171205,40.802,41.5116,40.2698,40.2743,453840,0.944,90.0414,23.2396
1833,20171206,40.1856,40.6292,39.476,39.9195,290010,0.937,86.037,22.3412
1834,20171207,40.0969,40.5405,39.9195,40.3631,269250,0.949,85.0748,21.507
1835,20171208,40.4518,40.4518,39.9195,39.9195,245940,0.94,85.8751,20.7324
1836,20171211,39.915,39.915,39.028,39.1211,214250,0.923,75.9098,19.4225
1837,20171212,39.028,39.6489,37.254,39.3872,399120,0.9307,69.9341,19.6131
1838,20171213,39.3872,39.6534,38.1453,38.6776,77450,0.9155,62.0978,19.7853
1839,20171214,39.0324,39.5647,38.1453,39.5647,181060,0.938,53.1988,19.9452
1840,20171215,39.3872,39.9195,38.5889,39.5647,196090,0.9397,47.2508,19.6756
1841,20171218,39.5647,39.6534,38.7663,39.5647,296030,0.9412,46.173,19.4252
1842,20171219,39.4715,39.5602,38.8506,39.5203,131560,0.9417,42.8984,19.1927
1843,20171220,39.1211,39.5203,38.855,39.0324,216160,0.9316,38.1722,18.9768
1844,20171221,38.9393,39.028,38.3184,38.3227,189680,0.9162,29.2153,19.3087
1845,20171222,38.3184,38.8506,38.3184,38.5001,81390,0.9218,22.5154,19.6169
1846,20171225,38.7663,38.9437,38.0566,38.1453,116210,0.9146,13.5585,20.1643
1847,20171226,38.1453,38.5889,37.7018,38.1453,167500,0.916,5.1143,21.012
1848,20171227,38.3227,38.5889,37.5243,37.7905,117300,0.909,2.257,21.9642
1849,20171228,37.5201,37.8306,37.254,37.4356,75560,0.9019,2.257,23.0961
1850,20171229,37.4356,38.4114,37.4356,37.8792,126910,0.9137,6.6305,23.0751
1851,20180102,38.0566,38.1453,37.4356,37.8792,214410,0.915,13.2609,23.0556
1852,20180103,37.6975,38.5845,37.5201,38.1009,200680,0.9218,23.2977,22.2727
1853,20180104,38.1009,40.0969,37.7018,39.9195,512940,0.9669,43.2977,21.7741
1854,20180105,40.0037,40.8907,39.6489,40.1856,468100,0.9742,63.2977,22.0453
1855,20180108,40.7179,42.1373,39.8308,42.1373,861250,1.0217,76.6673,23.2024
1856,20180109,42.3147,42.8026,41.605,41.605,651800,1.0092,87.2639,24.67
1857,20180110,41.5163,41.6937,40.8066,41.2502,705660,1.001,92.6813,24.9721
1858,20180111,41.2502,42.226,40.2743,42.226,634370,1.0248,90.7927,24.6169
1859,20180112,42.226,42.9356,41.2502,42.3147,455150,1.0272,89.1306,24.8024
1860,20180115,41.6937,42.5808,41.4276,42.5808,323170,1.0341,88.1658,24.9747
1861,20180116,42.4034,42.4921,41.4276,41.4276,250370,1.0068,84.1425,25.1347
1862,20180117,41.4276,41.4276,39.7421,39.7421,457640,0.9673,75.4799,23.3652
1863,20180118,39.2054,39.6489,37.7862,38.4114,342550,0.9366,57.5001,23.1667
1864,20180119,38.4071,38.9393,38.2741,38.3227,431650,0.9361,39.1622,22.9824
