,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2254,20171204,7.9843,7.9843,7.6546,7.6921,851110,0.9755,87.7744,29.2823
2255,20171205,7.6913,7.911,7.5448,7.5456,562390,0.957,83.5702,27.476
2256,20171206,7.618,7.7645,7.4715,7.6189,256090,0.9661,75.2636,26.1027
2257,20171207,7.7279,7.7279,7.4715,7.6921,367950,0.9752,68.2723,24.8275
2258,20171208,7.6913,8.0575,7.5814,7.9119,1494790,1.0029,64.8753,23.9168
2259,20171211,7.911,7.9843,7.8378,7.8387,602790,0.9937,66.4908,23.0712
2260,20171212,7.911,7.911,7.4715,7.802,492360,0.9888,70.0999,22.1206
2261,20171213,7.7279,7.7645,7.5448,7.5456,339110,0.9564,62.9092,21.2379
2262,20171214,7.618,7.7645,7.5448,7.6189,271800,0.9657,52.4611,20.4183
2263,20171215,7.5814,7.6913,7.5814,7.6555,156140,0.9704,39.7106,19.6572
2264,20171218,7.7279,7.8378,7.6546,7.7288,216160,0.9804,31.3454,18.2997
2265,20171219,7.7645,8.0575,7.7279,7.9119,619050,1.0038,29.8053,17.9821
2266,20171220,7.9476,8.4604,7.9476,8.4614,2144820,1.0731,45.3026,18.9663
2267,20171221,8.6069,8.6435,8.2406,8.3881,554250,1.0635,60.3851,20.3303
2268,20171222,8.3871,8.3871,8.0941,8.1317,460160,1.0309,66.627,20.87
2269,20171225,8.0575,8.1308,7.6913,7.8387,401470,0.9941,63.115,19.7348
2270,20171226,7.911,8.1674,7.8378,8.0584,468720,1.0219,57.9436,18.7976
2271,20171227,7.9843,8.1308,7.9843,8.0584,294750,1.0217,45.2051,17.9274
2272,20171228,8.0575,8.1674,7.9843,8.0584,313810,1.0212,34.8234,17.25
2273,20171229,8.0209,8.1308,7.9843,8.0584,245920,1.0206,31.9905,16.621
2274,20180102,8.0575,8.4238,8.0575,8.2782,505720,1.0477,40.9892,17.0432
2275,20180103,8.2773,8.2773,7.9843,8.0218,615460,1.0151,36.8289,17.0873
2276,20180104,7.9843,8.1674,7.9843,8.0584,683180,1.0194,32.7273,17.1283
2277,20180105,8.0575,8.0575,7.8378,7.8387,545720,0.9915,25.4658,16.4563
2278,20180108,7.8378,7.911,7.6546,7.6555,791660,0.9684,18.2043,15.5153
2279,20180109,7.6913,7.9476,7.6546,7.802,396540,0.9869,9.3807,14.4829
2280,20180110,7.8744,7.9843,7.7645,7.8387,284980,0.9914,10.5916,13.5364
2281,20180111,7.8378,7.8378,7.7279,7.7288,332930,0.9775,9.9585,12.6536
2282,20180112,7.8011,7.8378,7.6913,7.7654,591980,0.9821,13.7664,12.0102
