,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
583,20171205,12.9159,13.1532,12.6786,12.8481,1341820,1.1839,41.7998,22.1366
584,20171206,12.6786,12.7803,12.4752,12.543,1225110,1.152,42.2248,22.2378
585,20171207,12.4752,12.7464,12.4413,12.543,759730,1.1485,39.156,22.2273
586,20171208,12.6447,13.0176,12.6108,12.9837,683060,1.1851,47.697,22.7327
587,20171211,12.6786,12.8142,12.6108,12.6108,991880,1.1476,34.6354,23.202
588,20171212,12.6108,12.8142,11.7294,11.7294,2138380,1.0648,22.4715,21.8404
589,20171213,11.7294,12.0006,11.5938,11.865,821310,1.0746,19.2809,20.8575
590,20171214,11.865,12.4074,11.7972,12.4074,597150,1.121,22.8205,19.6953
591,20171215,12.2718,12.543,12.1362,12.543,468400,1.1303,20.2408,18.8913
592,20171218,12.4074,12.543,12.3057,12.3396,994450,1.1095,27.7575,18.1447
593,20171219,12.3396,12.4413,12.0684,12.3396,1137800,1.1068,35.2741,16.8649
594,20171220,12.2379,12.3396,12.0006,12.0006,1115860,1.074,36.5211,15.8071
595,20171221,12.0006,12.3396,11.8989,12.204,689730,1.0895,33.9197,15.0731
596,20171222,12.0684,12.204,12.0006,12.0006,425610,1.0688,26.6209,14.3915
597,20171225,12.204,12.204,11.9328,12.1362,381840,1.0783,24.3018,13.9387
598,20171226,12.204,12.3396,12.0006,12.3396,997170,1.0943,25.0815,13.0986
599,20171227,12.3396,13.1871,12.3396,13.1871,2920090,1.1661,40.8716,13.9631
600,20171228,13.56,13.7634,13.3227,13.4922,1536750,1.1891,55.1496,15.6422
601,20171229,13.3905,13.4922,13.3227,13.4583,1163850,1.1822,71.5638,17.2014
602,20180102,13.6278,14.1024,13.4922,14.1024,1339160,1.2339,86.3663,19.398
603,20180103,14.1702,14.1702,13.56,13.8312,1837530,1.2061,94.0403,21.5108
604,20180104,13.9668,14.1363,13.8312,13.9329,1452300,1.2108,92.1585,23.4727
605,20180105,14.0346,14.1024,13.2888,13.2888,2659220,1.1513,80.1948,23.6524
606,20180108,13.2888,13.6956,13.2888,13.6956,1084460,1.183,72.31,23.8192
607,20180109,13.6617,13.899,13.4922,13.4922,2016050,1.1622,61.3513,24.3066
608,20180110,13.4922,13.7634,13.3566,13.3566,1430700,1.1476,52.7124,24.356
609,20180111,13.4922,14.1024,13.3905,14.1024,1799950,1.2074,49.64,24.9601
610,20180112,14.1702,14.3058,13.56,13.899,1449090,1.1862,51.8687,25.8238
611,20180115,13.7973,14.6448,13.6278,14.6109,2192480,1.2423,55.561,27.0831
612,20180116,14.577,14.8482,14.238,14.4753,1522080,1.2266,57.9999,28.5015
613,20180117,14.5092,14.5431,13.899,14.238,1857780,1.2027,57.4987,28.7727
614,20180118,14.1024,14.1702,13.5939,14.1024,1989200,1.1877,48.0255,28.1922
615,20180119,14.1702,14.916,14.0346,14.916,2298110,1.2518,51.5577,28.72
616,20180122,15.1872,15.5262,14.916,15.4923,1731590,1.295,56.3105,29.8647
617,20180125,15.4584,15.933,15.255,15.594,2170950,1.2985,64.8302,31.2933
618,20180126,15.594,15.6279,15.1533,15.1872,1562310,1.2603,69.9091,32.3593
619,20180129,15.2211,16.0686,15.0516,16.0686,1349520,1.3278,85.6325,33.741
620,20180130,16.0686,16.95,15.255,16.95,2592190,1.3941,91.8352,35.6455
621,20180131,17.0178,17.3568,16.1364,16.1364,2521420,1.3216,81.6144,37.6463
622,20180201,15.8652,16.1364,15.2889,15.8652,1144180,1.2936,65.8028,37.6845
623,20180202,16.0686,16.0686,15.5601,15.8652,614820,1.2883,58.082,37.72
624,20180205,15.4584,15.7296,14.7804,14.7804,1755310,1.1965,38.156,36.3471
625,20180206,13.7634,14.4414,13.7634,13.7634,1207200,1.1117,18.156,33.8407
626,20180207,14.577,14.577,14.0346,14.3397,975830,1.1552,11.3822,31.5028
627,20180208,14.238,14.4414,13.8312,14.3736,695420,1.1555,10.373,29.4361
628,20180209,13.3905,14.577,13.3905,14.577,2071120,1.1691,10.445,28.0617
629,20180212,14.9838,15.4584,14.577,15.4584,725890,1.2361,18.9464,26.4646
630,20180213,15.7974,15.7974,15.3567,15.7296,717200,1.254,28.6177,25.3613
631,20180221,15.7296,16.1364,15.6618,15.7296,688140,1.2505,35.2836,24.7007
632,20180222,15.594,16.272,15.4584,15.8652,1767760,1.2574,42.4105,23.7914
633,20180223,16.1364,16.611,15.933,16.611,1974940,1.3115,51.6767,23.3254
634,20180226,17.2212,17.2212,15.933,16.95,1714990,1.3329,63.1753,23.51
635,20180227,16.5432,16.9161,16.4076,16.611,1826010,1.3006,70.1297,23.6814
636,20180228,16.272,16.611,16.0686,16.272,1156650,1.2688,73.8589,23.2734
637,20180301,16.272,16.7466,16.0686,16.611,1455350,1.2887,79.0744,23.0495
638,20180302,16.611,17.5941,16.272,17.5941,1565740,1.3566,85.5478,23.7035
639,20180305,17.6958,17.967,16.95,16.95,1720710,1.3002,78.5079,24.6344
640,20180306,16.95,17.3568,16.4415,17.3568,1768650,1.324,77.3745,24.6261
641,20180307,17.628,17.628,16.6788,17.0517,1209100,1.2941,75.4335,24.8816
642,20180308,17.289,17.5602,16.8144,17.5602,1063800,1.3252,72.1344,25.1188
643,20180309,17.8314,18.1026,17.4924,17.628,1901210,1.3233,63.7158,25.8607
644,20180312,17.1534,17.967,17.0856,17.1534,1041470,1.2814,50.8759,25.8148
645,20180313,17.1534,17.289,16.8144,17.289,867340,1.2851,37.615,25.3099
646,20180314,17.0856,17.4924,16.8822,16.95,1078720,1.2541,26.1555,25.0737
647,20180315,16.95,16.95,16.6788,16.7805,765240,1.2361,13.933,24.4938
648,20180316,16.7805,16.95,16.6788,16.7805,474170,1.2308,2.3516,23.9553
649,20180319,17.289,17.6958,17.2212,17.6619,1581950,1.2892,13.252,24.3427
650,20180320,17.628,17.6958,17.0178,17.6958,1052570,1.2851,22.4227,24.3135
651,20180321,17.6958,17.6958,17.1195,17.289,1097740,1.2496,26.4717,24.2864
652,20180322,17.1534,17.289,16.1025,16.8144,1996760,1.2101,26.4717,22.5789
653,20180323,16.1364,16.4754,15.7635,15.933,1531000,1.1428,26.4717,21.4615
654,20180326,16.2042,16.4076,15.7635,16.3398,668680,1.1678,19.4106,20.4239
655,20180327,16.3398,16.5432,15.933,15.933,820420,1.1347,8.5542,19.2342
656,20180328,15.6618,15.8652,15.4584,15.4584,891400,1.0976,4.5052,18.8198
657,20180329,15.594,15.8652,15.3906,15.6618,553240,1.1082,6.5374,18.5291
658,20180330,15.8652,16.4076,15.6618,16.4076,998080,1.1563,15.3431,17.3092
659,20180402,16.3398,16.611,16.1703,16.2042,867920,1.1375,18.4904,16.2932
660,20180403,16.272,16.611,16.0686,16.5432,1173820,1.1565,27.9894,15.1767
661,20180404,16.5093,17.0517,16.5093,16.8483,1265450,1.1729,40.5661,14.8414
662,20180405,17.0856,17.0856,16.6449,16.8822,536530,1.1707,51.3952,14.582
663,20180406,16.8822,17.4924,16.8822,17.3907,1776640,1.2011,59.5853,14.9436
664,20180409,17.4924,17.7297,17.3907,17.5941,1166010,1.21,72.4785,15.6027
665,20180410,17.628,17.628,16.7805,16.95,1393200,1.1617,75.061,15.018
666,20180411,16.95,16.95,15.933,16.0008,1656590,1.0935,66.4191,14.7039
667,20180412,15.6618,16.611,15.6618,16.611,667050,1.1317,63.1018,14.7614
668,20180413,16.7127,17.2212,16.272,16.95,1861200,1.1511,58.5073,13.8492
669,20180416,16.4076,17.2212,16.4076,17.2212,1270800,1.1654,53.1269,13.0022
670,20180417,17.4924,17.8314,17.2551,17.8314,2108190,1.2023,59.6432,12.8019
671,20180418,17.967,17.967,17.0178,17.0178,1431800,1.1435,65.1322,12.2407
672,20180419,17.1534,17.289,16.611,16.8144,1098230,1.1262,62.8189,11.6194
673,20180420,17.1873,17.628,16.6788,17.628,907630,1.176,65.4988,11.0369
674,20180423,16.4076,17.7636,16.4076,16.4076,974980,1.0913,53.8627,10.4082
675,20180424,16.2042,16.5432,15.7974,16.3398,866680,1.0838,37.105,10.6468
676,20180426,16.272,16.272,15.2211,15.2211,1047510,1.0079,27.6812,11.5274
677,20180427,14.8482,16.1364,14.577,16.0686,729870,1.0617,26.7654,12.9727
678,20180502,15.594,16.0686,14.9499,15.594,976190,1.0281,15.3815,14.3147
679,20180503,15.0516,15.7296,14.916,15.7296,552240,1.0347,17.1466,15.5946
680,20180504,15.594,15.7296,15.3906,15.594,428680,1.0236,18.6353,16.7831
681,20180507,15.594,16.272,15.3567,16.272,591250,1.0654,27.9007,16.8126
