,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2018,20171204,9.2532,9.3303,9.099,9.2534,125500,1.0586,62.9769,14.632
2019,20171205,9.2532,9.2532,8.9448,8.945,167440,1.0215,62.95,15.3161
2020,20171206,8.9062,9.0219,8.752,8.7908,69100,1.002,58.2729,15.0752
2021,20171207,8.8677,8.9448,8.752,8.945,103000,1.0176,43.3693,14.8515
2022,20171208,8.7905,9.0219,8.7134,9.0221,122640,1.0244,33.9862,14.9192
2023,20171211,8.8677,8.9062,8.752,8.7522,112440,0.9921,17.2563,14.9821
2024,20171212,8.7134,9.099,8.6363,9.0992,105220,1.0294,22.2427,15.7183
2025,20171213,8.9448,9.0219,8.7134,8.9835,99990,1.0145,28.6022,16.4019
2026,20171214,8.9833,9.1761,8.9833,9.0221,108270,1.0168,30.8971,17.5417
2027,20171215,9.0219,9.1761,9.0219,9.1378,110950,1.0282,33.8557,18.6001
2028,20171218,9.099,9.2146,8.9448,9.0992,69890,1.0229,43.0711,19.091
2029,20171219,9.1761,9.1761,8.9833,9.0606,70920,1.0182,41.3568,19.5469
2030,20171220,8.8677,9.0219,8.752,8.8293,73670,0.9916,35.8889,18.5966
2031,20171221,8.8291,8.9448,8.752,8.945,103730,1.0031,33.7334,17.7142
2032,20171222,8.9833,8.9833,8.7905,8.945,37600,1.0017,31.7319,17.0873
2033,20171225,8.8677,8.9062,8.8291,8.8293,27320,0.9875,23.9373,16.5051
2034,20171226,8.7905,8.8291,8.7905,8.7908,46440,0.9826,16.0149,15.7129
2035,20171227,8.752,8.8677,8.752,8.8679,24930,0.991,20.4631,15.2046
2036,20171228,8.7905,8.9448,8.7905,8.945,28590,0.9989,25.7723,15.1733
2037,20171229,8.7905,8.8677,8.752,8.8679,20000,0.9901,22.6917,14.8571
2038,20180102,8.7134,8.8291,8.6749,8.6751,47510,0.9687,21.2709,14.0079
2039,20180103,8.7905,8.7905,8.5978,8.7908,146820,0.9815,27.6786,13.3124
2040,20180104,8.6363,8.9448,8.5978,8.598,46490,0.9598,22.3389,13.0366
2041,20180105,8.752,8.752,8.4821,8.598,54390,0.9596,11.7938,12.1814
2042,20180108,8.6363,8.7905,8.4821,8.7136,112210,0.9721,13.7598,11.4756
2043,20180109,8.5592,8.9448,8.5592,8.945,130240,0.9973,33.7598,11.6967
2044,20180110,8.9833,8.9833,8.7134,8.945,89250,0.9968,47.3522,12.1012
2045,20180111,8.8677,8.8677,8.6749,8.7136,68450,0.9706,55.0814,12.1921
2046,20180112,8.6363,8.7134,8.5592,8.7136,37280,0.9703,62.8107,11.4745
2047,20180115,8.5207,8.7134,8.5207,8.7136,4150,0.9702,63.1878,10.7517
2048,20180116,8.7905,9.1761,8.7905,9.1763,287010,1.021,63.1878,12.1115
2049,20180117,9.1761,9.1761,8.7134,8.7136,135350,0.9695,49.2739,12.8897
2050,20180118,8.7134,9.0219,8.7134,9.0221,27610,1.0041,55.3915,13.6123
2051,20180119,8.7905,8.9833,8.752,8.9835,21370,1.0002,60.4727,14.2833
2052,20180122,8.9062,9.6002,8.9062,9.2534,454820,1.0303,71.5879,16.7931
2053,20180125,9.5616,9.8701,9.1761,9.8703,573290,1.0985,71.5879,19.6264
2054,20180126,9.9472,10.5255,9.6388,10.5258,281620,1.17,85.5018,23.0871
2055,20180129,10.5641,10.5641,10.0243,10.4872,195220,1.1646,90.9973,26.3386
2056,20180130,10.0629,10.5641,10.0243,10.4872,147670,1.1636,97.5241,29.3578
2057,20180131,10.1785,11.1038,10.1014,10.7186,417510,1.1874,98.6797,32.6378
2058,20180201,10.4099,10.7954,10.0243,10.4487,150230,1.1558,93.98,35.2872
2059,20180202,10.4484,10.4484,9.7544,9.7547,228700,1.0784,79.8965,36.4547
2060,20180205,9.2146,9.6388,9.099,9.0992,100760,1.0064,60.554,35.1774
2061,20180206,9.099,8.7134,8.4821,8.4823,171710,0.9393,41.2168,32.8712
2062,20180207,8.4821,8.7905,8.4821,8.7136,161900,0.9658,23.0955,30.5549
2063,20180208,8.5592,8.8291,8.5592,8.7908,58340,0.9752,10.2982,28.4316
2064,20180209,8.4821,8.7905,8.405,8.7908,71710,0.976,6.8847,26.7136
2065,20180212,9.099,9.099,8.5592,8.8679,10620,0.9852,10.0803,25.2393
2066,20180213,8.8677,9.0219,8.7905,8.945,55370,0.9942,13.9877,23.8703
2067,20180221,8.8291,9.099,8.7905,9.0606,47000,1.0074,17.0968,22.7883
2068,20180222,9.0604,9.0604,8.8677,9.0221,10420,1.0034,19.2463,21.7836
2069,20180223,8.9448,9.0219,8.8677,9.0221,71340,1.0038,21.3959,20.8507
2070,20180226,9.099,9.099,8.752,8.8679,80320,0.9867,21.404,19.5945
2071,20180227,8.8677,8.8677,8.3279,8.3281,66620,0.9271,17.4967,19.182
2072,20180228,8.2508,8.7134,8.0966,8.7136,36030,0.97,20.9816,19.3441
2073,20180301,8.2508,8.405,8.1351,8.1353,207960,0.9061,17.1635,19.4946
2074,20180302,8.1351,8.1737,8.0966,8.1739,14180,0.9111,14.6476,19.7287
2075,20180305,8.405,8.405,8.2508,8.251,11180,0.9206,16.2822,19.0859
2076,20180306,8.2508,8.2508,7.7496,8.0967,18710,0.9041,17.6442,19.6767
2077,20180307,7.711,8.0966,7.711,8.0967,45410,0.9047,10.5334,20.3042
2078,20180308,7.9423,8.0194,7.8652,7.904,17920,0.8843,9.699,20.8869
2079,20180309,7.9038,8.0194,7.711,7.8269,41270,0.8767,7.5623,21.7644
2080,20180312,7.8652,8.1351,7.5568,7.8654,25520,0.882,4.1429,22.8953
2081,20180313,7.711,7.8267,7.6339,7.6572,14530,0.8598,2.7809,23.9454
2082,20180314,7.5953,7.7881,7.1712,7.1714,95800,0.807,1.4189,25.7552
2083,20180315,7.3255,7.5568,6.9862,7.4799,69070,0.8434,9.9135,27.706
2084,20180316,7.2483,7.4797,7.0941,7.2485,39400,0.8191,15.5343,29.5175
2085,20180319,7.4565,7.4565,7.1712,7.1714,11860,0.812,18.7721,31.1996
2086,20180320,7.1712,7.4642,7.1712,7.3796,31080,0.8369,33.2241,32.7193
2087,20180321,7.3794,7.418,7.1712,7.3256,70980,0.8323,46.5531,34.1305
2088,20180322,7.3948,7.3948,7.1789,7.1791,23750,0.8168,48.3466,35.4409
2089,20180323,7.1712,7.1712,7.0941,7.1328,31610,0.8132,53.7652,36.829
2090,20180326,7.1404,7.3255,7.0941,7.3256,38580,0.837,69.1085,37.1224
