,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1677,20171205,14.2441,14.2441,13.6588,13.9716,158690,1.0574,53.1875,25.4334
1678,20171206,13.8149,13.971,13.5807,13.9716,103800,1.0571,34.3139,24.185
1679,20171207,14.049,14.2832,13.971,14.1277,105850,1.0686,18.8052,22.735
1680,20171208,14.01,14.2832,13.971,14.1277,44110,1.0678,11.3022,21.3886
1681,20171211,14.1271,14.1271,13.7368,13.8155,64500,1.0434,8.1328,20.2297
1682,20171212,13.6588,14.049,13.1124,13.7375,92580,1.0364,6.7299,20.5089
1683,20171213,13.7368,13.7368,13.4246,13.4253,59260,1.0127,6.7299,20.7682
1684,20171214,13.4246,13.5807,13.3466,13.4253,98220,1.0124,3.3649,21.1616
1685,20171215,13.6588,13.7368,13.4636,13.5814,60640,1.0237,2.6689,21.0106
1686,20171218,13.8149,13.8149,13.5807,13.6594,57430,1.0291,6.7696,20.616
1687,20171219,13.6588,13.8929,13.3856,13.4643,81500,1.0139,8.0149,20.6993
1688,20171220,13.4636,13.5807,13.2685,13.2692,102950,0.9989,8.0149,21.0333
1689,20171221,13.2685,13.3856,13.1124,13.2301,73060,0.9955,8.0149,21.6732
1690,20171222,13.2295,13.3856,13.0734,13.113,17530,0.9864,5.346,22.3493
1691,20171225,13.2295,13.7758,12.9953,13.3472,77870,1.0037,7.9447,21.5724
1692,20171226,13.1905,13.5027,13.1905,13.4643,55740,1.0121,16.4318,20.851
1693,20171227,13.5417,13.5417,13.2685,13.4253,55230,1.0086,25.2851,20.0451
1694,20171228,13.1905,13.4636,13.1905,13.3082,62960,0.9992,35.2644,19.526
1695,20171229,13.1905,13.3466,13.1124,13.2692,103510,0.9958,45.1965,19.2736
1696,20180102,13.2295,13.6588,13.1905,13.5814,130550,1.0185,58.4971,17.9045
1697,20180103,13.5807,13.8149,13.4246,13.5814,151850,1.0178,68.7647,17.1091
1698,20180104,13.6588,13.8149,13.5417,13.5814,191160,1.017,79.9114,16.3705
1699,20180105,13.5807,14.2441,13.5807,14.1277,403570,1.0567,89.9321,16.8811
1700,20180108,14.049,14.2051,14.01,14.0497,171000,1.0497,98.2458,17.3552
1701,20180109,14.1271,14.4393,14.01,14.2448,203940,1.0631,98.2458,18.3532
1702,20180110,14.4002,14.4002,14.1271,14.1277,287920,1.0531,95.6884,19.2799
1703,20180111,14.2832,14.6734,14.1271,14.6741,315730,1.0922,95.6884,20.7357
1704,20180112,14.8295,15.0637,14.4002,14.44,298380,1.0734,91.0473,22.7656
1705,20180115,14.4393,14.9856,14.2441,14.8302,215560,1.1007,91.9731,23.9744
1706,20180116,14.9076,14.9076,14.5563,14.5961,209890,1.0817,86.9752,25.0968
1707,20180117,14.5173,14.8295,14.2832,14.2839,158690,1.0576,79.6332,25.0008
1708,20180118,14.2832,14.4393,13.971,14.3619,118830,1.0624,70.6382,23.823
1709,20180119,14.5173,14.5173,14.2832,14.2839,149750,1.0555,60.1595,22.939
1710,20180122,15.2588,15.2588,15.2588,15.2595,141300,1.1258,59.5209,23.6816
1711,20180125,16.3125,16.3125,15.8442,15.962,730590,1.1751,64.5188,25.678
1712,20180126,16.0393,16.0393,15.61,15.6888,278330,1.1526,68.787,26.8642
1713,20180129,16.0003,16.0003,15.532,15.6108,124010,1.1444,70.5745,27.7458
1714,20180130,15.61,15.7661,15.2588,15.7669,166430,1.1531,80.0422,27.8143
1715,20180131,16.0783,16.0783,15.6881,15.8059,135880,1.1536,76.2528,28.3105
1716,20180201,15.8051,15.9222,15.2978,15.5327,155990,1.1316,64.9694,27.7834
1717,20180202,15.3759,15.7661,15.3759,15.4547,73040,1.124,57.6537,27.2939
1718,20180205,15.4539,15.61,14.5563,14.557,203720,1.0576,44.8612,25.5767
1719,20180206,14.049,14.4393,13.5417,14.0497,224310,1.0205,30.5133,25.4366
1720,20180207,14.5173,14.7124,14.2832,14.5961,63870,1.0598,20.3058,24.7988
1721,20180208,14.2832,14.6734,14.2832,14.3619,48240,1.0425,14.4548,24.2066
1722,20180209,13.8929,14.3612,13.8929,14.3619,67250,1.0422,10.2673,24.1756
1723,20180212,14.088,14.5954,14.088,14.5961,19840,1.0586,15.123,23.6762
1724,20180213,14.5954,15.2198,14.5954,14.7522,45100,1.0692,21.2677,22.1026
1725,20180221,15.0637,15.1417,14.7515,14.8302,86650,1.0741,24.7356,20.6414
1726,20180222,14.9076,15.4539,14.8295,15.3376,103240,1.1094,34.4416,19.5678
1727,20180223,15.3759,15.4929,15.2198,15.3376,68850,1.1079,44.1476,18.635
1728,20180226,15.3368,15.4149,15.0637,15.1424,50730,1.0925,49.4674,17.4692
1729,20180227,14.9856,15.2198,14.9076,15.0254,73110,1.0828,54.3314,16.3536
1730,20180228,15.1027,15.1027,14.8685,14.9863,43410,1.0786,57.5187,15.3938
1731,20180301,14.9856,15.4539,14.8685,15.1034,67630,1.0857,60.2092,14.7847
