,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1521,20171205,20.7007,20.7808,19.9399,19.9412,7829340,1.1103,79.7371,35.3856
1522,20171206,20.02,20.02,19.4995,19.9412,5999460,1.1078,62.0067,33.9505
1523,20171207,20.02,20.1802,19.6997,19.7811,2460940,1.0963,42.0067,32.8939
1524,20171208,19.8598,20.06,19.6596,19.9412,2545200,1.1027,25.9755,31.8094
1525,20171211,19.7397,19.8198,19.2192,19.2205,3737190,1.0607,5.9755,29.7462
1526,20171212,19.2993,19.5796,17.8979,19.2205,7834550,1.0587,2.3898,29.5349
1527,20171213,19.3393,19.3794,18.6186,18.6198,2439940,1.0246,2.3898,29.3387
1528,20171214,18.7387,19.3794,18.6586,19.2205,2937360,1.0563,7.4497,29.1565
1529,20171215,19.2592,19.4194,19.1391,19.4207,2556090,1.0658,11.6063,28.8895
1530,20171218,19.4594,19.7798,19.4194,19.7811,4584260,1.0845,20.6636,27.792
1531,20171219,19.7397,19.8198,19.4995,19.661,3594180,1.077,28.7274,26.682
1532,20171220,19.6997,20.06,19.5395,19.9412,5306880,1.0912,38.731,25.1094
1533,20171221,20.02,20.3003,19.8999,19.9813,5668610,1.0922,43.95,23.49
1534,20171222,19.98,20.2602,19.8198,20.2215,4447860,1.104,57.4036,21.8122
1535,20171225,20.2602,20.5005,19.9399,20.0213,4188750,1.0917,65.0389,20.7639
1536,20171226,19.7798,20.1001,19.7397,20.0213,5104630,1.0905,73.6678,19.3301
1537,20171227,20.02,20.3403,19.9399,20.1014,7020370,1.0935,81.4308,18.5104
1538,20171228,20.1802,20.5405,20.06,20.5419,10502260,1.1154,91.1518,18.1495
1539,20171229,20.6206,20.7007,20.3403,20.3417,4708670,1.1026,87.9132,18.1222
1540,20180102,20.4204,21.2612,20.3003,21.2627,7863840,1.1499,91.2206,19.0248
1541,20180103,21.3013,21.5015,20.981,21.0624,7574260,1.137,91.0735,20.1991
1542,20180104,21.1812,21.2612,20.9409,21.1025,6492090,1.137,89.7912,21.1728
1543,20180105,21.1411,21.1812,20.7808,20.9423,9788120,1.1262,81.8233,21.6053
1544,20180108,20.9009,21.982,20.8608,21.9834,9182660,1.1789,85.0619,23.0983
