,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
3129,20171124,4.5101,4.8582,4.4594,4.7717,475430,1.1292,97.3131,35.9577
3130,20171127,4.7712,4.7712,4.6406,4.6992,101850,1.1113,95.2496,36.5014
3131,20171128,4.6769,4.8437,4.5319,4.8443,503180,1.1443,92.5218,35.7669
3132,20171129,4.8437,5.0757,4.7784,5.0763,563700,1.1971,91.9491,36.2306
3133,20171130,5.0757,5.2932,5.0032,5.1126,668620,1.2035,91.6412,37.4035
3134,20171201,5.1482,5.286,5.1192,5.1488,635150,1.2097,91.5923,38.4926
3135,20171204,5.1482,5.2207,5.1482,5.1488,131850,1.2076,96.2923,39.5039
3136,20171205,5.083,5.257,4.9597,5.0691,259820,1.1868,94.3205,38.6651
3137,20171206,5.0684,5.0684,4.7929,4.8805,146320,1.1412,81.5114,36.6589
3138,20171207,4.7857,5.0032,4.7857,4.7935,130650,1.1196,65.2555,34.7469
3139,20171208,4.7857,5.0757,4.7349,5.0763,269870,1.1836,51.9078,33.3777
3140,20171211,4.8654,5.0104,4.8582,5.0038,20280,1.1645,35.7206,32.1063
3141,20171212,5.0032,5.0032,4.7929,4.9603,39580,1.1524,22.5231,30.4151
3142,20171213,4.9959,4.9959,4.7132,4.7137,129820,1.0939,15.9049,28.2623
3143,20171214,4.7132,5.0394,4.6986,5.0401,631070,1.1673,18.0387,26.5648
3144,20171215,5.0757,5.344,5.0757,5.2214,403150,1.2066,19.342,26.639
3145,20171218,5.2062,5.257,5.1047,5.1924,545880,1.1972,22.8311,26.7079
3146,20171219,5.112,5.315,5.112,5.1996,433260,1.1961,28.0765,27.0342
3147,20171220,5.199,5.199,4.9379,5.1416,80700,1.1802,33.9994,26.0163
3148,20171221,5.0394,5.141,4.9669,4.9675,44480,1.1383,30.4629,25.0711
3149,20171222,5.0757,5.0757,4.9669,5.0691,8450,1.1593,27.3304,24.1934
3150,20171225,5.1265,5.1265,4.9307,5.0038,23740,1.1426,24.9145,23.6826
3151,20171226,5.0612,5.0612,4.8582,5.0111,16220,1.1425,22.6772,22.6247
3152,20171227,4.8799,5.0104,4.8799,4.924,35900,1.1212,17.8648,21.6424
3153,20171228,4.9017,4.9597,4.9017,4.953,22630,1.1262,18.7036,20.7302
3154,20171229,4.9307,4.9307,4.7857,4.9313,92470,1.1197,15.5107,19.5678
3155,20180102,4.9307,5.0684,4.8292,4.9748,5360,1.1279,14.7402,18.8615
3156,20180103,4.9234,4.9307,4.8727,4.9095,52360,1.1111,9.6293,18.2056
3157,20180104,5.0032,5.0394,4.8219,5.0256,139720,1.1351,15.1773,18.3077
