,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2016,20171205,69.0,70.1,68.6,68.9,777070,1.2949,74.9187,28.512
2017,20171206,68.9,69.0,66.0,67.7,1083900,1.266,64.2962,27.1872
2018,20171207,68.6,69.8,67.3,69.0,1561970,1.2836,61.1243,26.2685
2019,20171208,69.9,72.2,69.5,71.9,1662030,1.33,57.4143,26.2435
2020,20171211,72.0,74.1,71.5,72.0,1153430,1.3243,53.4278,26.7676
2021,20171212,73.0,73.0,67.4,72.2,1287240,1.3205,51.6652,25.4052
2022,20171213,70.6,72.2,70.5,71.6,812460,1.3024,49.7876,24.1402
2023,20171214,71.1,73.1,71.1,73.1,694180,1.3221,51.2735,23.2755
2024,20171215,72.0,72.7,71.7,71.7,3028190,1.2897,43.5835,22.4726
2025,20171218,72.0,75.7,72.0,75.5,960060,1.3498,44.4371,22.6934
2026,20171219,75.5,76.6,75.2,76.0,1056800,1.3508,53.2044,23.1501
2027,20171220,75.5,76.9,75.1,76.1,1074900,1.3445,65.7047,23.6588
2028,20171221,76.3,76.7,73.2,73.2,981850,1.2863,54.5267,23.1792
2029,20171222,74.4,74.7,72.0,73.9,1025600,1.2915,54.1516,22.1904
2030,20171225,73.1,75.4,73.0,74.2,207370,1.2896,46.1141,21.5266
2031,20171226,74.9,75.5,74.3,75.5,403710,1.3048,34.3319,20.9475
2032,20171227,74.9,75.7,74.8,75.0,517920,1.2889,19.0139,20.4887
2033,20171228,75.0,76.0,74.5,75.7,377030,1.2935,26.3131,20.0627
2034,20171229,74.8,77.0,74.8,76.7,609680,1.303,34.6971,20.088
2035,20180102,77.0,80.0,76.7,80.0,533950,1.3505,51.0939,21.1469
2036,20180103,80.0,84.3,80.0,82.5,699510,1.3837,62.8761,23.1504
2037,20180104,81.9,83.4,81.5,82.5,749910,1.3748,78.194,25.0108
2038,20180105,82.5,85.0,81.8,84.7,553920,1.4021,90.8948,27.0523
2039,20180108,84.9,88.8,83.6,88.8,567080,1.4594,100.0,29.5485
2040,20180109,88.8,90.6,88.2,90.0,517480,1.4681,100.0,32.0961
2041,20180110,90.0,90.0,86.8,87.0,691140,1.4095,90.0024,33.6808
2042,20180111,85.7,90.0,85.7,90.0,650600,1.4476,82.3753,34.5679
2043,20180112,90.4,93.5,90.0,93.0,513870,1.4845,77.1352,35.9836
2044,20180115,93.3,93.7,90.1,92.8,880860,1.4704,71.0487,37.3287
2045,20180116,91.5,92.8,90.4,92.4,658030,1.4534,63.5404,38.5778
2046,20180117,92.5,92.6,90.2,90.2,334150,1.4093,57.2886,39.6187
2047,20180118,90.0,92.0,87.5,92.0,494030,1.427,49.3676,39.1062
2048,20180119,92.0,92.2,87.5,87.5,1281320,1.3486,34.6076,38.6818
2049,20180122,89.0,93.5,89.0,92.5,578810,1.4159,26.1267,38.6195
2050,20180125,93.0,97.5,93.0,97.2,1034850,1.4768,22.9442,39.3932
2051,20180126,97.3,98.2,95.1,97.5,629310,1.4702,28.7274,40.2347
2052,20180129,97.5,98.0,94.2,94.5,363310,1.4151,28.2239,40.5295
2053,20180130,94.5,94.8,90.0,90.8,650630,1.3514,28.2239,38.8994
2054,20180131,90.8,95.0,90.6,92.1,1082770,1.3629,24.3751,37.4409
2055,20180201,94.0,94.0,90.5,92.1,724810,1.3551,16.6497,36.044
2056,20180202,92.0,92.5,86.7,91.0,669230,1.3319,7.1158,33.6282
2057,20180205,85.5,87.0,84.7,84.7,661070,1.2345,3.1676,32.0006
2058,20180206,86.0,86.0,78.8,86.0,1870880,1.2481,4.5767,31.8826
2059,20180207,86.0,86.5,83.0,83.0,566450,1.1998,2.9929,31.5908
2060,20180208,83.9,86.4,82.5,85.0,471670,1.2237,3.8558,31.4263
