,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
727,20171205,73.1555,74.995,71.1038,72.8755,39220,1.2222,31.4855,31.4033
728,20171206,73.58,73.58,70.0425,71.4604,48450,1.1952,37.0349,31.0846
729,20171207,71.4575,72.165,70.75,71.4604,13320,1.192,44.9193,30.7887
730,20171208,71.4575,74.995,71.4575,73.583,48860,1.2237,54.5556,31.4237
731,20171211,73.58,73.58,71.5283,73.2292,7780,1.2141,59.9963,32.0133
732,20171212,71.8113,73.6508,70.75,72.8755,24790,1.2047,64.1194,32.0353
733,20171213,72.8725,74.995,72.165,74.998,114910,1.2357,73.6685,32.4871
734,20171214,75.7025,77.825,75.7025,77.8282,63840,1.2772,83.2175,33.6475
735,20171215,78.4618,78.5325,77.1175,77.8282,36610,1.2724,88.2537,34.8837
736,20171218,79.1693,81.221,77.1175,79.9507,59610,1.3017,94.2451,36.5594
737,20171219,79.9475,81.3625,78.5325,78.5357,48460,1.2738,94.8009,38.1406
738,20171220,78.5325,79.8768,77.825,78.1819,33750,1.2633,86.0825,39.1146
739,20171221,79.24,79.24,76.41,79.1725,26450,1.2742,79.3541,39.0883
740,20171222,79.24,79.24,77.1175,77.4036,21400,1.2413,63.7057,39.0639
741,20171225,77.4005,78.5325,77.259,77.7574,20570,1.2425,49.0857,39.0413
742,20171226,76.6223,80.655,76.6223,80.6583,42450,1.2836,47.1724,39.6265
743,20171227,79.24,80.655,79.24,80.3045,20760,1.2729,45.5425,40.1699
744,20171228,80.655,81.3625,79.9475,79.9507,3410,1.2625,39.766,40.8661
745,20171229,80.655,80.655,79.3815,80.5168,27560,1.2665,44.7193,41.0632
746,20180102,80.5135,81.787,80.4428,81.2243,28800,1.2724,50.0397,41.58
747,20180103,81.221,82.07,78.1788,78.8895,31210,1.2312,37.1522,40.4553
748,20180104,78.8863,80.655,77.9665,79.2432,23290,1.2321,28.6956,39.2755
749,20180105,79.24,79.24,77.1175,78.4649,15120,1.2156,21.2006,37.6405
750,20180108,79.24,81.7163,78.5325,81.7196,52990,1.2608,24.9778,37.0818
751,20180109,81.3625,81.3625,79.24,79.314,14960,1.2191,14.2774,36.563
752,20180110,79.3108,79.5938,78.8863,78.8895,25780,1.2081,14.2774,35.8409
753,20180111,78.957,79.24,77.1883,79.2432,18310,1.209,14.4587,34.1029
