,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1716,20171204,27.6077,28.1434,27.6077,28.072,1189440,1.1741,37.9418,35.18
1717,20171205,28.072,28.2149,27.5006,27.5006,1206780,1.148,33.3598,36.0099
1718,20171206,27.2148,27.572,27.0005,27.5006,924130,1.1456,30.3555,35.4613
1719,20171207,27.2863,27.4648,27.2148,27.2863,755130,1.1344,23.4583,34.9519
1720,20171208,27.211,27.5681,27.211,27.4291,393840,1.1381,18.3971,34.6287
1721,20171211,27.2863,27.3934,26.7863,26.7863,500480,1.1089,7.4854,33.2602
1722,20171212,26.7863,27.1434,26.3577,26.7863,504210,1.1064,5.4699,31.0754
1723,20171213,26.604,27.1396,26.5682,26.6791,200480,1.0997,2.4016,29.0466
1724,20171214,26.4968,26.9253,26.4968,26.9291,266390,1.1079,5.4868,27.009
1725,20171215,27.4291,27.4291,26.9291,27.2863,219880,1.1203,10.1842,26.0933
1726,20171218,27.3577,27.3577,27.0363,27.1077,489850,1.1108,14.757,25.243
1727,20171219,27.2863,28.1434,27.1434,28.0006,994100,1.1447,27.828,25.6735
1728,20171220,28.0006,28.2149,27.7148,27.8577,626090,1.1361,38.8957,26.1672
1729,20171221,27.7148,28.0006,27.572,27.572,540520,1.1216,42.998,26.2513
1730,20171222,27.3577,27.5006,26.822,27.5006,636150,1.1159,45.4349,24.6673
1731,20171225,27.4967,27.4967,26.8539,26.9291,316970,1.0902,40.8621,23.1965
1732,20171226,26.9291,27.2863,26.8934,27.072,254350,1.0935,30.1618,21.8307
1733,20171227,27.072,27.7863,27.0005,27.5006,774260,1.1081,28.1015,21.4673
1734,20171228,27.4967,27.711,27.4967,27.6434,512010,1.1109,31.985,21.1298
1735,20171229,27.711,27.7824,27.4253,27.7148,830550,1.1107,34.5719,20.8164
1736,20180102,27.7148,29.2863,27.5363,29.2863,1653510,1.1698,54.5719,22.4974
1737,20180103,29.5679,29.6393,28.7823,29.572,1296300,1.1775,72.2012,24.3657
1738,20180104,29.572,29.6435,29.3934,29.4292,689820,1.1684,81.3792,26.1042
1739,20180105,29.2822,30.5678,28.8537,30.572,1459870,1.2097,90.3083,28.4148
1740,20180108,30.3578,31.0721,30.0006,30.8935,907850,1.218,98.1855,30.8584
1741,20180109,31.1792,31.4649,30.6435,31.3935,1127150,1.2331,98.1855,33.3349
1742,20180110,31.3935,32.2864,31.0721,31.6435,1458900,1.2381,98.1855,36.0013
1743,20180111,31.4292,31.6435,30.8578,30.8578,585860,1.2031,93.2215,37.9876
1744,20180112,30.7106,31.3534,30.5321,30.5363,930910,1.1864,83.9979,39.1103
1745,20180115,30.3535,30.4963,30.0678,30.5006,429180,1.1809,73.9319,39.2031
1746,20180116,30.8578,31.2863,30.4292,30.7149,273290,1.1849,62.9686,39.8716
1747,20180117,30.7149,30.9292,29.2863,29.2863,335990,1.1265,42.9686,38.6278
1748,20180118,28.9292,29.6435,28.2149,29.2863,709080,1.1235,29.7471,36.155
1749,20180119,29.2863,30.8578,29.1434,30.3578,1027610,1.1612,24.4728,34.9239
1750,20180122,30.6392,31.2105,29.9964,30.572,1146670,1.166,20.9965,34.049
1751,20180125,30.572,30.572,29.072,29.2149,1110050,1.1117,11.9597,32.2232
1752,20180126,28.7108,29.2108,28.2109,28.8577,1102290,1.0957,11.9597,30.1209
1753,20180129,28.572,28.9292,28.2506,28.5006,436800,1.0799,11.9597,28.1688
1754,20180130,28.4966,28.568,27.9966,28.3577,719460,1.0724,6.4576,26.5946
1755,20180131,28.3537,29.5679,28.3537,29.572,834710,1.1155,5.0842,25.2206
1756,20180201,29.4965,29.5679,28.3537,28.3577,282580,1.0674,6.1013,23.9448
1757,20180202,28.2823,28.3895,27.1396,28.3577,295310,1.0652,7.2448,22.8729
1758,20180205,28.072,28.3577,26.572,26.572,329680,0.9967,7.2448,22.3394
1759,20180206,24.7827,26.4254,24.7113,24.7862,841400,0.9291,7.2448,23.0551
1760,20180207,26.072,26.2862,25.7148,25.9291,263650,0.9709,7.0984,23.7197
1761,20180208,25.9291,25.9291,24.9291,25.0005,262210,0.9355,8.959,24.7686
1762,20180209,23.2862,25.0005,23.2862,25.0005,201470,0.9352,10.6932,26.4798
1763,20180212,24.997,25.7112,24.997,25.5719,113990,0.9561,16.0414,27.2996
1764,20180213,25.6398,25.7112,25.3541,25.5719,316590,0.9556,23.2074,28.0608
1765,20180221,26.3577,26.3577,25.5005,25.6434,269550,0.9579,25.8835,28.0684
1766,20180222,25.4969,25.5684,25.1756,25.2862,161770,0.9443,29.205,28.2652
1767,20180223,25.2827,25.4969,24.9256,25.2862,338800,0.944,32.5265,28.5949
1768,20180226,25.3541,25.4969,24.6399,24.7862,700810,0.9251,31.3289,29.0703
1769,20180227,24.8542,24.8542,23.9257,24.0719,545720,0.8985,26.4076,29.9132
1770,20180228,24.0719,24.2862,23.9291,24.0005,979650,0.896,20.6484,30.6959
1771,20180301,23.8219,24.9291,23.8219,24.7148,796310,0.9229,32.4406,30.5866
1772,20180302,24.2828,24.5685,24.0685,24.5719,499220,0.9179,42.5547,30.4851
1773,20180305,24.1433,24.5005,23.2148,23.2148,914740,0.8679,38.4041,30.9649
1774,20180306,23.9291,23.9291,22.7147,23.2148,891900,0.8683,36.1594,31.71
1775,20180307,22.9258,23.3543,22.9258,23.179,374860,0.8675,34.3047,32.4018
1776,20180308,23.179,23.7862,23.179,23.5719,356760,0.8827,26.3445,32.411
1777,20180309,23.5719,23.9291,23.2862,23.2862,295400,0.8726,16.3881,32.2127
1778,20180312,22.8576,23.5719,22.8576,22.8576,263850,0.8574,17.4436,32.3599
1779,20180313,22.8544,22.8544,22.2116,22.429,446200,0.8422,17.4436,32.9504
1780,20180314,22.4616,23.2115,22.4616,23.1433,490680,0.8697,34.6824,32.9521
1781,20180315,23.1433,23.179,22.7862,22.8576,180080,0.8595,38.303,32.9537
1782,20180316,22.4259,22.783,22.3545,22.429,298960,0.8441,40.4237,33.2946
1783,20180319,22.3219,22.6433,22.0004,22.0362,454400,0.83,43.3695,33.8732
1784,20180320,22.0362,22.7147,22.0004,22.1433,322320,0.8349,50.1621,34.2829
1785,20180321,22.429,22.429,21.929,22.1433,139980,0.8355,40.3571,34.7213
1786,20180322,22.3576,22.3933,21.929,22.0719,100870,0.8335,33.4697,35.1283
