,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1142,20171205,20.0751,20.6017,19.9435,20.2092,1655750,1.0901,100.0,24.4927
1143,20171206,20.0751,20.1409,19.6802,19.7484,982060,1.064,92.7329,25.9847
1144,20171207,20.0422,20.6017,19.7789,20.6042,698540,1.1088,90.3694,27.8662
1145,20171208,20.7333,20.7333,20.0751,20.2092,262930,1.0865,83.2066,29.7414
1146,20171211,20.2067,20.2067,19.4169,19.4193,455660,1.0435,68.4019,29.6274
1147,20171212,19.4169,19.6144,18.1005,19.3534,772480,1.0396,53.0418,27.9385
1148,20171213,19.3511,19.3511,18.4954,19.0901,443580,1.0253,40.3089,26.3702
1149,20171214,18.8903,20.2067,18.7587,20.2092,606570,1.0853,30.8974,25.3249
1150,20171215,19.746,20.7333,19.746,20.4067,1128190,1.0958,27.4469,24.9832
1151,20171218,20.2726,20.9637,20.2726,20.9004,709480,1.1219,34.3395,24.9207
1152,20171219,20.8979,20.9637,20.6675,20.7358,1025700,1.1125,40.094,24.8627
1153,20171220,22.1813,22.1813,20.7991,21.065,888440,1.1295,52.2962,25.9786
1154,20171221,20.9637,21.194,20.7662,21.0321,1355740,1.1272,55.9099,26.9522
1155,20171222,21.0624,21.0624,20.0751,20.4067,514490,1.0936,51.9433,26.6227
1156,20171225,20.4042,20.4042,19.5485,19.5509,294760,1.0487,39.8553,25.5115
1157,20171226,19.5485,20.0422,19.5485,19.8801,273500,1.0672,32.01,24.4796
1158,20171227,20.2397,20.2397,19.7789,19.8801,147970,1.0678,23.3091,23.7663
1159,20171228,20.0751,20.0751,19.5815,19.8142,159520,1.0647,14.1716,22.7782
1160,20171229,19.746,20.3384,19.746,19.8142,214580,1.0649,11.4526,22.2088
1161,20180102,19.8118,20.2726,19.8118,20.275,144640,1.0897,19.6891,21.6801
1162,20180103,20.47,20.5688,20.2726,20.275,378850,1.0897,25.3767,21.5905
1163,20180104,20.2726,20.6675,20.1409,20.67,381030,1.1106,34.5755,21.2439
1164,20180105,20.6675,20.6675,20.0751,20.275,241650,1.0892,38.6107,20.787
1165,20180108,20.2726,20.4042,20.0751,20.4067,289680,1.0954,44.2109,20.3627
1166,20180109,20.7333,20.8649,20.47,20.8346,494540,1.1175,49.0424,20.676
1167,20180110,20.9308,22.0168,20.9308,21.7232,1109350,1.1636,60.8059,22.2485
1168,20180111,21.9181,21.9181,21.5231,21.7232,420290,1.162,68.1057,23.7087
1169,20180112,21.7206,21.9181,21.3257,21.3941,550980,1.1427,76.2584,24.6035
1170,20180115,21.589,22.7079,21.3915,22.7107,1488270,1.2105,87.9571,26.1774
1171,20180116,22.5763,23.1686,22.4446,22.579,814640,1.2007,93.1579,27.9932
1172,20180117,22.5763,22.8395,21.5231,21.5258,794030,1.1425,79.4828,27.8728
1173,20180118,21.0624,21.4902,20.6675,21.3283,531180,1.1299,63.8942,26.4711
1174,20180119,21.5231,21.9839,21.1282,21.427,450570,1.1332,50.9582,25.7043
1175,20180122,22.0497,22.8395,22.0497,22.6119,793770,1.1932,42.714,25.7877
1176,20180125,23.037,23.1686,22.4775,22.7107,1909330,1.1955,36.9004,26.1362
1177,20180126,22.7737,23.037,22.313,22.3815,659430,1.1753,38.6627,26.2061
1178,20180129,22.3788,22.6421,22.0497,22.0853,467560,1.1572,37.7343,25.8647
1179,20180130,21.4573,23.5965,21.4573,23.0398,810260,1.2041,47.1837,26.3824
1180,20180131,23.3661,23.6294,22.9712,22.974,1095480,1.1975,45.9286,26.8893
1181,20180201,23.1686,23.1686,22.3788,22.4144,365750,1.1655,36.5758,26.4426
1182,20180202,22.2472,22.5104,22.1813,22.5132,296060,1.1677,32.4987,25.74
1183,20180205,21.3915,22.3788,20.9637,20.9662,429110,1.086,29.0157,24.2268
1184,20180206,19.5156,20.9637,19.5156,19.518,621300,1.0103,17.6132,24.1074
1185,20180207,19.8118,20.8649,19.8118,20.8675,682350,1.0786,14.1401,23.9966
1186,20180208,20.4042,22.0497,20.4042,22.0524,476140,1.1375,22.932,22.5649
1187,20180209,20.6675,22.1813,20.6675,22.1511,334070,1.1401,31.1917,21.103
1188,20180212,21.7206,22.0497,21.2599,21.7232,393940,1.1159,41.5108,19.7455
1189,20180213,22.3788,22.3788,21.7864,21.9207,101280,1.1237,52.6752,18.5439
1190,20180221,21.9181,22.1155,21.5231,21.7232,227890,1.1114,56.0442,17.3094
1191,20180222,21.7206,22.3788,21.5231,22.0524,547060,1.1258,56.1013,16.2863
1192,20180223,22.0497,22.2472,21.8522,21.9207,257720,1.1168,55.0607,15.3363
1193,20180226,22.313,22.7079,21.9181,22.3815,492110,1.1376,58.5922,14.9976
1194,20180227,23.5686,23.5686,22.8544,23.2141,227760,1.1762,67.4278,15.5535
1195,20180228,23.2472,23.3186,22.8544,22.857,147430,1.1551,74.4833,16.0697
