,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1643,20171205,23.7671,23.8359,23.2848,23.4939,433510,1.2272,89.7159,47.7058
1644,20171206,22.8715,23.4915,22.8715,23.3561,381130,1.2167,87.4581,47.9227
1645,20171207,23.4226,23.4226,22.7337,23.2872,332860,1.2098,84.2737,47.7116
1646,20171208,23.2848,23.2848,23.0093,23.1494,295630,1.1998,75.9217,47.5155
1647,20171211,22.9404,23.0782,22.3893,22.9427,122480,1.1862,60.0081,45.6081
1648,20171212,22.6304,22.7337,21.9759,22.426,188580,1.1573,43.7327,42.9148
1649,20171213,22.6993,22.6993,21.8726,21.8748,83700,1.127,29.2703,40.1984
1650,20171214,22.0448,22.3893,22.0448,22.3915,41830,1.1516,19.5414,37.6761
1651,20171215,22.1481,22.5959,22.0104,22.0126,439930,1.1302,8.745,35.7476
1652,20171218,22.0104,23.2504,22.0104,23.1494,328700,1.1859,12.3114,35.0543
1653,20171219,23.147,23.4915,22.2515,22.736,48160,1.1625,16.9566,34.7479
1654,20171220,23.2848,23.2848,22.3893,22.736,80430,1.1604,21.6019,34.4634
1655,20171221,22.7337,22.7337,22.3893,22.3915,186970,1.1407,19.946,34.1992
1656,20171222,22.9748,22.9748,22.1826,22.6671,45200,1.1525,23.7336,34.3193
1657,20171225,22.2515,22.9059,22.0448,22.047,45530,1.1192,16.0809,34.0086
1658,20171226,22.0448,22.4581,22.0448,22.4604,98440,1.1382,15.0248,33.7201
1659,20171227,22.4581,22.6648,22.3204,22.5982,50170,1.143,15.7349,33.8041
1660,20171228,22.1826,22.5959,22.1826,22.2537,37440,1.1235,15.6412,33.4189
1661,20171229,22.3204,23.147,22.2515,23.0805,378040,1.1625,25.8296,33.9384
1662,20180102,23.3537,23.5604,22.9404,23.5628,287820,1.1838,45.8296,34.9364
1663,20180103,23.5604,24.1115,23.5604,24.0795,278380,1.2063,62.2404,36.4166
1664,20180104,23.2159,24.1115,23.2159,23.9072,156840,1.1945,74.3868,36.779
1665,20180105,24.1115,24.1115,23.4226,23.4939,238420,1.1708,84.0593,37.1155
1666,20180108,23.2848,23.4226,22.8026,23.425,122220,1.1642,80.017,35.8145
1667,20180109,23.147,23.4915,23.147,23.425,158460,1.1611,70.8023,34.715
1668,20180110,23.6293,23.9048,23.5604,23.8384,282100,1.1781,66.0091,34.3081
1669,20180111,23.8359,24.0426,23.6293,24.045,189410,1.1847,65.7937,34.1196
1670,20180112,24.0771,25.1104,24.0771,24.9407,859620,1.2247,74.0639,35.1041
1671,20180115,25.1449,25.2826,24.8004,25.1818,1472590,1.2319,83.2786,36.1658
1672,20180116,25.1793,25.1793,24.6626,24.9407,166570,1.2157,89.1625,36.7979
1673,20180117,24.9382,24.9382,24.0426,24.5273,822660,1.1915,85.2513,35.9561
1674,20180118,24.5248,24.6626,24.0082,24.6651,300280,1.194,76.1534,35.1015
1675,20180119,24.6626,24.9382,24.3182,24.6651,324960,1.1898,64.3421,34.6656
1676,20180122,24.6626,24.6626,23.4915,24.0795,138890,1.1577,44.3421,32.644
1677,20180125,23.8015,23.9737,22.5959,22.5982,504340,1.0834,27.6729,31.1489
1678,20180126,22.2515,24.1115,22.2515,23.7695,140810,1.136,23.4514,30.1752
1679,20180129,23.147,24.2493,22.3893,22.3915,383020,1.0674,15.9284,29.0398
1680,20180130,22.3893,23.4226,22.3893,23.425,241160,1.1133,13.475,27.9855
1681,20180131,22.7337,23.2848,22.7337,22.8049,193630,1.0808,16.6222,27.0065
1682,20180201,22.7337,23.1126,22.7337,22.736,339560,1.0743,19.4861,26.0974
1683,20180202,23.0782,23.2159,22.8026,23.046,242400,1.0856,16.8473,25.0326
