,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2477,20171205,7.8295,7.8295,7.4703,7.4712,665310,1.0587,86.0737,41.647
2478,20171206,7.4703,7.4703,7.1112,7.2557,725510,1.0278,71.4274,39.6548
2479,20171207,7.2548,7.3985,7.2189,7.2916,215280,1.0325,54.9117,37.8049
2480,20171208,7.2907,7.4344,7.2189,7.3275,176490,1.0371,39.267,36.2639
2481,20171211,7.3267,7.3626,7.1184,7.1695,464230,1.0145,19.3445,34.172
2482,20171212,7.1112,7.4703,7.1112,7.3275,664640,1.0364,14.5247,32.7886
2483,20171213,7.2907,7.4344,7.183,7.1838,146100,1.0158,12.1738,31.504
2484,20171214,7.183,7.5062,7.183,7.4353,276310,1.051,14.485,30.6829
2485,20171215,7.4703,7.4703,7.2548,7.3275,299440,1.0356,13.2941,29.9205
2486,20171218,7.3267,7.5422,7.2907,7.4712,640090,1.0558,19.259,29.591
2487,20171219,7.4703,7.5062,7.2907,7.2916,157360,1.0303,17.1309,29.285
2488,20171220,7.3985,7.4344,7.2907,7.3994,352880,1.045,20.8842,29.0009
2489,20171221,7.4344,7.4344,7.2548,7.2557,339300,1.0244,15.9396,28.382
2490,20171222,7.2548,7.3626,7.2189,7.2557,376820,1.0242,14.7197,27.4551
2491,20171225,7.4703,7.5422,7.3985,7.5071,730700,1.059,28.5497,27.6871
2492,20171226,7.5781,7.614,7.5062,7.543,423670,1.0636,46.7026,28.26
2493,20171227,7.6499,7.8654,7.6499,7.6867,1641610,1.0831,62.6678,29.775
2494,20171228,7.8295,7.8295,7.6858,7.7585,435980,1.0922,81.817,31.1818
2495,20171229,7.8295,7.9013,7.7576,7.8304,437310,1.1011,99.8725,32.727
2496,20180102,7.8295,8.0809,7.8295,8.0459,692170,1.1298,100.0,34.672
2497,20180103,8.0809,8.0809,7.8654,7.9022,737130,1.1082,94.0898,36.478
2498,20180104,7.9013,8.009,7.8654,7.9741,522070,1.1168,89.7908,38.155
2499,20180105,8.009,8.009,7.8295,7.9022,493920,1.1054,82.5458,39.2962
2500,20180108,7.9013,8.2964,7.9013,8.2614,1354630,1.1535,82.5458,41.1387
2501,20180109,8.2614,8.3401,8.0647,8.1438,448770,1.1353,78.0814,42.9434
2502,20180110,8.104,8.1434,7.868,8.0258,658610,1.1171,75.3002,42.7848
2503,20180111,7.9467,7.986,7.8208,7.8526,457500,1.0919,65.2321,42.252
2504,20180112,7.8287,8.104,7.8287,7.8684,434470,1.0928,53.0436,42.1897
2505,20180115,7.868,8.0647,7.868,8.0258,383940,1.1132,39.1043,42.1318
2506,20180116,8.0254,8.0647,7.9467,7.9471,475460,1.101,25.8424,42.078
2507,20180117,8.0254,8.4974,7.9073,8.1438,1159500,1.1267,23.4015,43.2844
2508,20180118,8.1434,8.4974,8.1434,8.3405,576910,1.1523,32.3056,44.4046
2509,20180119,8.4974,8.4974,8.2221,8.2618,421290,1.1396,42.2971,45.4448
2510,20180122,8.0254,8.1827,7.9467,8.0258,513290,1.1057,36.2364,44.224
2511,20180125,8.0254,8.104,7.8287,8.1044,1523840,1.115,36.5908,42.3422
2512,20180126,8.104,8.1434,7.868,7.9077,290010,1.0868,27.7232,40.7621
2513,20180129,7.9073,8.0254,7.8444,7.8684,536450,1.0804,13.1863,39.1398
2514,20180130,7.868,8.0254,7.8051,7.9864,1073090,1.0953,6.8057,37.3688
2515,20180131,7.986,8.0647,7.868,7.9471,304590,1.0887,9.4212,35.9243
2516,20180201,7.868,7.9467,7.8129,7.8133,755900,1.0689,6.793,34.1895
2517,20180202,7.75,7.8287,7.7264,7.829,292290,1.0697,7.3649,31.9914
2518,20180205,7.75,7.7657,7.2858,7.2861,980890,0.9951,7.3649,31.5876
2519,20180206,7.0812,7.2858,6.7822,7.0815,1619770,0.967,3.1875,32.5887
2520,20180207,7.2386,7.2779,7.0812,7.0815,636480,0.9667,0.5719,33.5183
2521,20180208,7.0812,7.1599,6.9474,6.9635,166520,0.9505,0.5719,34.6713
2522,20180209,6.7665,7.1284,6.7665,6.9714,384900,0.9515,0.1877,36.0941
2523,20180212,6.971,7.3802,6.971,7.3805,515020,1.0066,10.6195,36.0016
2524,20180213,7.3172,7.3881,7.2386,7.3569,219430,1.0028,20.6521,35.8742
2525,20180221,7.333,7.5139,7.333,7.475,659720,1.018,35.2649,35.0965
2526,20180222,7.4746,7.4903,7.3566,7.475,163110,1.0172,49.8777,34.3743
2527,20180223,7.3881,7.5926,7.3802,7.593,116500,1.0323,67.337,33.1599
2528,20180226,7.6241,7.632,7.5139,7.5143,413580,1.0207,73.4335,31.8256
2529,20180227,7.5139,7.5926,7.4746,7.5143,671360,1.0198,81.1456,30.7442
2530,20180228,7.5139,7.5926,7.4117,7.4435,132740,1.0094,82.1314,29.9933
2531,20180301,7.5533,7.5848,7.4353,7.5851,154170,1.0277,87.5186,29.296
2532,20180302,7.5139,7.5848,7.3959,7.5143,75070,1.0172,87.6231,28.8194
2533,20180305,7.6949,7.6949,7.4746,7.475,121250,1.0111,87.597,27.6518
2534,20180306,7.4746,7.4746,7.3959,7.3963,140310,0.9997,83.8729,26.9421
2535,20180307,7.4589,7.5533,7.3802,7.4514,183260,1.0063,84.3374,25.7735
2536,20180308,7.4746,7.4746,7.3487,7.4671,304000,1.0077,75.0238,24.851
2537,20180309,7.4746,7.4746,7.3644,7.3963,159880,0.9979,60.7838,23.9944
2538,20180312,7.4038,7.5139,7.3959,7.4042,217470,0.9987,46.1024,22.9126
2539,20180313,7.4038,7.5061,7.4038,7.475,160270,1.0078,44.4052,21.908
2540,20180314,7.4746,7.6241,7.4589,7.5064,233380,1.0115,45.2567,20.5671
2541,20180315,7.5139,7.5139,7.451,7.4986,61620,1.0099,50.3018,19.264
2542,20180316,7.5139,7.6084,7.4746,7.5143,337390,1.0116,65.0711,18.6966
2543,20180319,7.5533,7.6162,7.4746,7.5537,305910,1.0163,83.2502,18.2211
2544,20180320,7.4746,7.7815,7.4746,7.7818,344800,1.046,90.9269,18.762
2545,20180321,7.868,7.9467,7.7106,7.711,373190,1.0358,89.4796,20.0278
2546,20180322,7.8523,7.8523,7.6634,7.711,171090,1.035,89.2153,20.7894
2547,20180323,7.5139,7.5533,7.2386,7.5143,594960,1.0082,75.0196,19.833
2548,20180326,7.5139,7.5218,7.4353,7.5143,177180,1.0077,58.9155,18.9449
2549,20180327,7.5139,7.5848,7.4746,7.5143,131540,1.0071,42.8113,17.7541
2550,20180328,7.5454,7.569,7.4746,7.5143,167800,1.0064,31.2399,16.6483
2551,20180329,7.6241,7.632,7.4038,7.4356,187000,0.995,15.7726,16.0304
2552,20180330,7.4746,7.4746,7.3959,7.475,472430,0.9995,14.3934,15.5026
2553,20180402,7.4195,7.5533,7.4117,7.475,122440,0.9989,13.2034,14.4712
2554,20180403,7.4117,7.4746,7.3723,7.3963,298800,0.9877,9.3076,13.7696
2555,20180404,7.4746,7.6084,7.4746,7.5615,152480,1.0089,15.4316,13.3289
2556,20180405,7.6949,7.7342,7.5611,7.6953,225100,1.0258,31.7735,13.6189
2557,20180406,7.7578,8.2221,7.7578,8.2225,1363210,1.0943,49.0677,15.6984
2558,20180409,8.4974,8.4974,8.2221,8.2618,642100,1.0975,66.3618,18.2721
2559,20180410,8.2614,8.2614,7.9467,8.1044,662250,1.0749,81.36,19.093
2560,20180411,8.104,8.104,7.7106,7.7189,757670,1.0227,77.1319,18.7625
2561,20180412,7.6634,7.9467,7.6398,7.8684,234970,1.0413,69.1712,18.1557
2562,20180413,7.868,7.9467,7.5533,7.5537,281090,0.9987,51.8987,17.2297
2563,20180416,7.5533,7.7578,7.5533,7.7504,81780,1.0237,37.9216,16.3698
2564,20180417,7.7893,7.7893,7.6634,7.7897,268810,1.028,29.5733,15.7005
2565,20180418,7.8444,7.868,7.7185,7.7268,106950,1.0187,29.2847,15.4032
2566,20180419,7.7106,7.8051,7.6398,7.7346,167100,1.0188,26.5478,14.7293
2567,20180420,7.7342,8.0647,7.7342,8.0258,331160,1.0558,34.2442,15.1155
2568,20180423,7.7578,8.104,7.7578,7.7582,366570,1.0195,31.3986,15.6109
2569,20180424,7.8208,7.8208,7.6792,7.774,385230,1.0205,28.2273,15.6428
2570,20180426,7.7736,7.868,7.4746,7.5143,399880,0.986,22.7242,14.6694
2571,20180427,7.5139,7.6241,7.4825,7.5537,259760,0.9908,17.863,13.7655
2572,20180502,7.4746,7.5611,7.4746,7.475,394310,0.9802,7.4391,12.8869
