,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1897,20171205,2.3,2.35,2.16,2.16,1246360,0.9218,60.4259,29.9461
1898,20171206,2.16,2.25,2.15,2.2,1382750,0.9408,48.2328,30.2924
1899,20171207,2.23,2.25,2.19,2.25,1178590,0.9632,40.6282,30.6139
1900,20171208,2.27,2.34,2.25,2.29,2222550,0.9819,35.3748,31.3908
1901,20171211,2.33,2.4,2.25,2.25,4891100,0.9666,25.2954,32.3993
1902,20171212,2.25,2.3,2.14,2.18,2004800,0.9379,20.1138,32.0947
1903,20171213,2.18,2.25,2.18,2.2,962000,0.9473,19.0193,31.8119
1904,20171214,2.2,2.21,2.14,2.18,1819100,0.9399,13.5844,31.1105
1905,20171215,2.18,2.24,2.17,2.17,1077740,0.9366,5.7985,30.6669
1906,20171218,2.23,2.23,2.17,2.18,951840,0.9413,2.8719,30.255
1907,20171219,2.2,2.2,2.13,2.14,1956590,0.9242,2.8719,29.3863
1908,20171220,2.11,2.14,2.08,2.09,2273960,0.9033,1.528,28.003
1909,20171221,2.09,2.15,2.06,2.09,1085740,0.9037,1.528,26.4938
1910,20171222,2.07,2.1,2.07,2.08,701490,0.9005,1.528,25.0924
1911,20171225,2.1,2.1,2.06,2.06,563510,0.8932,0.0,23.6665
1912,20171226,2.06,2.09,2.03,2.03,909080,0.8816,0.0,21.9856
1913,20171227,2.03,2.13,2.02,2.02,2308510,0.8793,0.0,20.8854
1914,20171228,2.07,2.07,1.98,2.01,2000770,0.8777,0.0,19.4363
1915,20171229,1.98,2.03,1.97,2.02,634230,0.8843,1.7699,18.2172
1916,20180102,2.02,2.05,1.99,2.02,812310,0.8867,3.5398,17.017
1917,20180103,2.03,2.08,2.02,2.02,1344550,0.8897,5.4947,16.2992
1918,20180104,2.02,2.16,2.02,2.12,3608060,0.9369,25.4947,16.5579
1919,20180105,2.18,2.18,2.08,2.09,2069690,0.926,40.5456,17.0048
1920,20180108,2.1,2.15,2.07,2.13,2399220,0.9459,58.7757,17.2524
1921,20180109,2.16,2.16,2.09,2.15,2509920,0.9569,77.0058,17.5967
1922,20180110,2.15,2.19,2.14,2.18,3122660,0.9724,95.0509,18.2565
1923,20180111,2.2,2.33,2.2,2.33,10760630,1.0404,95.0509,20.0968
1924,20180112,2.47,2.49,2.36,2.4,7230110,1.0726,100.0,22.7024
1925,20180115,2.4,2.4,2.29,2.32,2539000,1.0381,94.5797,24.0531
