,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2716,20171205,43.3911,43.7186,41.7537,42.5737,86510,1.0553,94.4559,17.9753
2717,20171206,41.59,41.9993,40.8531,40.9362,170580,1.014,80.373,17.7871
2718,20171207,40.935,42.1631,40.1163,40.6906,81300,1.0078,64.0368,16.8925
2719,20171208,41.8356,41.8356,40.5257,41.5912,27850,1.0297,52.3716,16.0618
2720,20171211,40.5257,41.59,40.1163,40.1175,46040,0.9931,33.3639,14.9394
2721,20171212,40.1163,41.7537,38.8883,40.1175,94290,0.9929,18.9553,14.9427
2722,20171213,41.3444,41.3444,39.3795,40.5269,8990,1.0029,17.2215,14.9458
2723,20171214,39.7888,40.5257,39.5432,40.1175,44960,0.9929,13.7728,14.9487
2724,20171215,40.1163,40.935,39.707,40.9362,39640,1.0133,10.3246,14.4781
2725,20171218,40.1163,41.0169,40.0344,40.9362,68860,1.0133,14.2189,13.9462
2726,20171219,41.1806,41.1806,40.1163,40.5269,49520,1.0032,15.6886,13.2556
2727,20171220,40.1163,40.8531,39.2976,39.2988,75770,0.9731,12.4504,13.4463
2728,20171221,39.5432,40.5257,39.5432,40.1175,33730,0.9934,16.4007,13.6234
2729,20171222,40.7713,40.7713,39.6251,39.9538,42640,0.9895,15.8595,13.4515
2730,20171225,39.707,39.707,38.8883,38.8894,90570,0.9634,10.9729,14.0275
2731,20171226,38.8883,39.2567,38.6426,38.6438,81750,0.9577,8.5108,14.7866
2732,20171227,38.4789,38.9701,37.7421,37.8251,127370,0.9377,8.5108,16.2251
2733,20171228,37.6602,39.1339,37.6602,39.135,83110,0.9699,15.9877,17.3102
2734,20171229,39.9526,39.9526,38.4789,39.7491,165230,0.985,27.9795,17.165
2735,20180102,39.7479,39.7479,39.2976,39.7081,59500,0.9838,44.0242,17.0302
2736,20180103,38.9701,39.707,38.4789,39.2988,73000,0.9734,57.0957,17.6595
2737,20180104,38.8064,39.6251,38.6426,39.6263,113390,0.9812,72.9464,18.2438
2738,20180105,39.707,39.707,39.4613,39.7081,47910,0.983,77.864,18.6582
2739,20180108,40.1163,40.1163,39.2157,39.5444,65610,0.9785,79.8498,18.4115
2740,20180109,39.5432,39.5432,38.9701,39.2988,111990,0.9721,79.5745,18.4491
2741,20180110,39.052,40.8531,38.9701,40.6087,172990,1.0037,86.5029,17.4933
2742,20180111,40.6075,40.7713,39.1339,40.5269,58830,1.0009,90.0212,16.6058
2743,20180112,39.6251,40.5257,39.6251,40.445,19740,0.998,92.1655,15.7817
2744,20180115,39.707,40.1163,39.6251,39.7081,15770,0.9789,86.8485,15.0164
2745,20180116,39.2976,39.2976,38.8883,38.8894,145610,0.9583,78.6573,14.576
2746,20180117,39.707,39.9526,38.8883,39.2988,51580,0.9678,63.9577,13.7778
2747,20180118,38.8883,39.2976,38.8883,39.2988,21030,0.9671,49.8892,13.0366
2748,20180119,39.2976,39.4613,38.8883,39.4625,33470,0.9704,38.7454,12.5663
2749,20180122,39.6251,39.6251,39.052,39.135,7210,0.9617,29.2632,12.3496
2750,20180125,38.4789,38.4789,37.5783,37.6613,79080,0.9253,21.685,12.6787
2751,20180126,37.7421,38.0696,37.3327,37.6613,18480,0.9253,16.3846,13.2311
2752,20180129,37.0052,37.0052,35.0404,35.0414,94300,0.8616,11.0841,15.4202
2753,20180130,35.0404,36.0228,35.0404,35.5327,14040,0.8745,6.3487,17.4529
2754,20180131,36.8415,36.8415,35.5316,36.0239,15930,0.8874,8.3586,18.2219
2755,20180201,35.6135,36.8415,34.5491,35.2052,16950,0.8681,11.8717,19.5683
2756,20180202,34.8766,34.8766,33.0755,33.1584,114050,0.8188,11.8717,21.5651
2757,20180205,33.1574,33.1574,30.865,30.8659,129630,0.7638,11.8717,24.2122
2758,20180206,29.4732,29.4732,28.7364,29.4741,290200,0.7317,9.0466,27.202
