,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1693,20171205,19.6963,19.897,19.4956,19.6418,989330,1.1294,12.7719,47.9689
1694,20171206,19.639,19.6963,19.5529,19.6704,944980,1.128,6.6657,44.8442
1695,20171207,19.639,19.725,19.5529,19.5558,1055660,1.1186,3.7064,42.021
1696,20171208,19.5243,19.6676,19.4669,19.6418,1005650,1.1206,1.3975,39.1314
1697,20171211,19.6103,19.639,19.2089,19.2117,1615630,1.0937,1.3975,36.9733
1698,20171212,19.2089,19.2376,18.6355,19.2117,1752740,1.0912,1.3975,36.2583
1699,20171213,19.2089,19.2949,19.0942,19.2117,996050,1.0889,1.0866,35.405
1700,20171214,19.2089,19.2662,19.1229,19.269,957080,1.09,1.8415,34.6127
1701,20171215,19.2662,19.3236,19.2089,19.3264,880320,1.0911,2.3552,33.6667
1702,20171218,19.3236,19.725,19.3236,19.6704,1082400,1.1081,9.8491,31.4763
1703,20171219,19.6676,19.7536,19.4669,19.6131,995640,1.1025,16.8983,29.3579
1704,20171220,19.6103,19.6676,19.5243,19.6131,922840,1.1002,23.9476,27.3908
1705,20171221,19.6103,19.811,19.5816,19.7851,1054840,1.1075,43.1926,25.7595
1706,20171222,19.7823,19.8683,19.725,19.8712,923850,1.11,61.5923,24.4235
1707,20171225,19.8396,20.2697,19.8396,20.1292,1530910,1.1222,74.0985,24.2793
1708,20171226,20.1263,20.241,20.069,20.2439,1195120,1.1263,87.0492,24.1454
1709,20171227,20.241,20.3557,20.069,20.3586,1224800,1.1302,100.0,24.3087
1710,20171228,20.3557,20.6137,20.2984,20.4733,1491710,1.1339,100.0,25.0471
1711,20171229,20.4704,20.6137,20.413,20.4733,1304610,1.1306,100.0,25.7327
1712,20180102,20.4704,20.7571,20.4704,20.7601,1369080,1.143,100.0,26.6828
1713,20180103,20.7571,21.1298,20.7571,20.9321,1701600,1.1493,100.0,28.254
1714,20180104,20.9291,20.9864,20.8144,20.9321,1317750,1.1461,100.0,29.7129
1715,20180105,20.9291,21.5025,20.9291,21.3909,1729650,1.1676,100.0,31.8103
1716,20180108,21.3592,21.3878,21.1298,21.2762,1285990,1.1579,96.9851,33.7579
1717,20180109,21.2731,21.3305,21.1585,21.2189,898400,1.1515,92.4705,35.5664
1718,20180110,21.2158,22.0759,21.2158,22.0791,2061120,1.1941,92.4705,38.0281
1719,20180111,22.0759,22.3053,22.0472,22.1938,1238590,1.1961,92.4705,40.4884
1720,20180112,22.1906,22.3053,21.8179,22.1938,1883870,1.1919,92.4705,41.7795
1721,20180115,22.1619,22.4199,21.9612,22.1938,1446000,1.1878,95.4855,43.1015
1722,20180116,22.1619,22.1906,21.6745,21.6776,1755320,1.1565,80.1732,43.1754
1723,20180117,21.6745,21.9039,21.6172,21.6776,1244610,1.1529,60.1732,43.0254
1724,20180118,21.6745,21.7032,20.9864,21.3909,1257180,1.1342,40.1732,40.8599
1725,20180119,21.3878,21.5025,21.1298,21.4482,1118600,1.1338,20.9792,38.8491
1726,20180122,21.4165,21.6172,21.3018,21.4196,886340,1.1291,1.1417,37.2356
1727,20180125,21.4165,22.1046,21.3878,21.907,2359010,1.1513,7.5331,36.676
1728,20180126,21.9039,22.2479,21.8752,22.2224,1807090,1.1641,17.3408,36.3951
1729,20180129,22.2479,22.2766,22.0759,22.2224,1336790,1.1604,27.1485,36.1828
1730,20180130,22.1906,22.3626,21.9326,22.3658,1644720,1.164,37.5837,35.4945
1731,20180131,22.3626,23.0507,22.3053,22.6239,2349170,1.1734,51.0295,35.9595
1732,20180201,22.6206,22.764,22.1619,22.1938,1970540,1.1476,48.2079,35.9338
1733,20180202,22.1619,22.2479,21.9039,22.1938,1077930,1.1441,42.1432,35.1316
1734,20180205,22.0759,22.0759,21.0438,21.0468,1394110,1.0826,32.3355,32.8522
1735,20180206,19.5816,19.7823,19.5816,19.5844,885590,1.0059,21.0944,32.7456
1736,20180207,19.7536,20.8144,19.7536,20.0719,1392890,1.0293,10.5349,30.9482
1737,20180208,20.0403,20.413,19.897,20.0145,870400,1.0247,9.6354,29.2792
1738,20180209,19.7536,20.0403,19.4383,19.8425,1958280,1.0142,8.1068,28.2927
1739,20180212,19.9257,21.1585,19.9257,21.1615,2010800,1.0791,17.2391,26.6765
1740,20180213,21.0438,21.2158,20.9864,21.2189,1140610,1.08,26.6152,25.2431
1741,20180221,21.2158,21.2158,20.9004,21.1615,941510,1.075,32.6705,23.791
1742,20180222,21.1011,21.1871,20.9004,20.9321,1085630,1.0614,37.8299,22.4426
1743,20180223,20.9291,21.0725,20.9004,21.0181,1027620,1.0639,44.0611,21.1905
1744,20180226,20.9864,21.1011,20.8144,20.9034,829640,1.0564,42.7827,19.8819
1745,20180227,20.9004,21.0438,20.8144,20.8748,982470,1.0531,43.6893,18.6667
1746,20180228,20.9291,20.9291,20.3557,20.3586,1176060,1.0256,41.3917,17.9185
1747,20180301,20.241,21.1011,20.1263,20.8748,2544410,1.0498,50.6988,17.5828
1748,20180302,20.8718,21.5312,20.7858,21.4196,1361600,1.075,62.2532,16.4661
1749,20180305,21.9612,22.3053,21.9039,21.907,1985710,1.097,74.3994,16.3284
1750,20180306,21.9039,22.4773,21.9039,22.3658,1484180,1.1173,84.1166,16.428
1751,20180307,22.3913,22.5633,22.0472,22.0504,1267340,1.0991,94.3681,16.636
1752,20180308,22.1046,22.936,22.0472,22.6526,2831470,1.1264,97.0579,17.3135
1753,20180309,22.764,23.0507,22.6493,22.6526,1502250,1.1239,97.0579,18.0857
1754,20180312,23.5094,23.7961,22.6493,23.5128,2479570,1.1635,97.0579,19.6214
1755,20180313,23.5094,23.6241,23.108,23.4554,1622970,1.1575,96.4796,21.0474
1756,20180314,23.4521,23.4807,23.2227,23.226,902860,1.1433,96.499,22.3715
1757,20180315,23.2227,23.3947,22.9073,22.9393,1005680,1.1264,90.7494,22.8261
1758,20180316,22.5346,23.0507,22.5346,22.5379,959640,1.1042,81.3232,22.4206
1759,20180319,22.592,22.6493,22.1906,22.5952,1467420,1.1046,72.2905,21.357
1760,20180320,22.5346,22.764,22.506,22.7099,1377890,1.1079,62.0121,20.5585
1761,20180321,22.7066,22.8787,22.6206,22.6239,932740,1.1013,48.1288,20.009
1762,20180322,22.7066,22.764,22.5633,22.5952,1279020,1.0976,33.9389,19.371
1763,20180323,22.4486,22.4486,22.0186,22.1364,614410,1.0734,23.3651,18.3033
1764,20180326,22.1332,22.5346,22.1046,22.4805,1318040,1.0879,16.6993,17.139
1765,20180327,22.4773,22.7066,22.4486,22.6812,1172850,1.0953,14.209,16.1181
1766,20180328,22.678,22.8787,22.6493,22.7959,1591140,1.0985,19.0016,15.5084
1767,20180329,22.7927,23.2227,22.7353,23.226,1957600,1.1166,31.5902,15.569
1768,20180330,23.2227,23.5094,23.1654,23.3981,1247790,1.122,46.5702,16.0945
1769,20180402,23.3661,23.4521,23.0507,23.1113,892650,1.1056,54.2655,16.2951
1770,20180403,23.1654,23.3374,22.9933,23.14,1020060,1.1043,61.2963,16.3342
1771,20180404,23.1367,23.28,23.022,23.14,1357920,1.1017,66.9933,16.3705
1772,20180405,23.1367,23.28,23.0794,23.2834,1393790,1.1058,70.5496,16.4042
1773,20180406,23.3374,24.8856,23.3374,24.8891,3173110,1.1785,75.5695,18.6757
1774,20180409,25.0576,25.1149,24.7135,24.8318,1341980,1.1724,82.7773,20.9878
1775,20180410,24.8282,24.8856,23.9108,24.0863,1232880,1.1344,79.0023,21.2868
1776,20180411,24.0255,24.0255,23.3947,23.3981,1033050,1.0996,68.4597,20.6164
1777,20180412,23.2227,23.3947,22.85,23.2834,945890,1.0919,52.2543,19.1533
1778,20180413,23.28,23.4234,22.4773,22.5379,886380,1.0553,32.2543,18.3185
1779,20180416,22.506,22.936,22.1332,22.9393,1228890,1.0723,15.8524,17.9931
1780,20180417,23.0507,23.7961,22.8213,23.7995,1342150,1.1104,13.8399,16.9828
1781,20180418,23.7674,23.8248,23.3661,23.5128,1015240,1.0951,16.6382,16.0826
1782,20180419,23.4807,23.5094,22.9073,23.0827,1109120,1.0735,19.8027,15.2693
1783,20180420,23.0794,23.7961,22.936,23.7995,2075510,1.1049,27.0223,14.2566
1784,20180423,22.8787,24.0255,22.764,22.882,1606770,1.0607,26.066,13.6375
1785,20180424,22.8787,23.108,22.5346,22.882,926810,1.0591,20.0163,12.7105
1786,20180426,22.8787,22.9933,22.3339,22.3371,834820,1.0331,14.0769,12.0584
1787,20180427,22.3665,22.8827,22.3665,22.8485,870290,1.0557,13.9947,11.4529
1788,20180502,21.8848,22.9515,21.8848,21.885,520530,1.0107,6.7751,11.6135
1789,20180503,21.8848,21.8848,20.7148,21.8161,754440,1.0069,4.9287,13.0905
1790,20180504,21.8848,22.0912,21.5751,22.0226,524940,1.0157,5.5984,14.0905
1791,20180507,22.0224,22.4353,21.8159,22.4355,724570,1.0338,12.9919,14.4205
1792,20180508,22.4353,22.5041,22.0912,22.4355,792250,1.0325,17.303,14.6083
1793,20180509,22.2289,22.2977,21.8848,21.9538,713940,1.0093,19.7176,15.039
1794,20180510,21.8848,22.1945,21.6783,21.6785,550540,0.9957,19.7176,15.6914
1795,20180511,21.6783,21.8159,21.0933,21.6097,841010,0.9916,17.2015,16.9452
1796,20180514,21.7127,21.8159,21.5407,21.6785,608360,0.9938,10.8703,18.1095
1797,20180515,21.6783,21.7471,21.4374,21.5409,622860,0.9865,3.4769,19.3046
1798,20180516,21.5407,21.5407,21.3686,21.472,430160,0.9823,1.0623,20.4928
1799,20180517,21.4718,21.5751,21.3342,21.3344,495570,0.9751,1.0623,21.6373
1800,20180518,21.3342,21.5407,20.9901,21.3,559630,0.9726,1.0623,23.1008
1801,20180521,21.2998,21.3342,21.0245,21.3,789630,0.9717,0.0,24.4598
1802,20180522,21.1277,21.1277,20.0266,20.6462,1598090,0.9415,0.0,26.6688
1803,20180523,20.5772,20.646,20.061,20.6118,589470,0.9395,0.0,28.7201
1804,20180524,20.6116,20.6804,20.5084,20.6462,445310,0.9406,0.8444,30.5241
1805,20180525,20.646,20.646,20.4395,20.6462,465550,0.9402,1.6887,32.2624
1806,20180528,20.5428,20.5428,19.8202,20.543,665880,0.9352,1.6887,34.3819
1807,20180529,20.4395,20.8181,20.4051,20.6462,718800,0.9397,6.2627,35.5426
1808,20180530,20.5772,20.6804,20.3707,20.6118,450770,0.938,10.0513,36.6532
1809,20180531,20.5084,20.8181,20.5084,20.715,1448660,0.9425,17.904,37.2683
1810,20180601,20.7148,20.9901,20.6116,20.8527,807590,0.9486,34.2523,37.3277
1811,20180604,20.8525,21.1277,20.5772,21.1279,865960,0.9609,54.2523,36.9808
1812,20180605,21.1277,21.2998,21.0589,21.1624,568110,0.9623,69.6783,36.1662
1813,20180606,21.1622,22.3665,20.9213,22.2291,2172790,1.0102,85.8897,34.0686
1814,20180607,22.16,22.16,21.6783,22.0914,517980,1.0034,95.5728,32.1208
