,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2042,20171205,22.4784,22.4784,21.7451,21.748,367320,1.0669,87.0765,25.9167
2043,20171206,21.7198,21.8462,21.1888,21.3939,307090,1.0475,76.5452,25.5367
2044,20171207,21.3405,22.1497,21.3405,22.1526,302030,1.0821,68.6529,25.5674
2045,20171208,22.0485,22.2508,21.7451,21.748,150860,1.06,56.6398,25.7212
2046,20171211,21.3405,21.9474,21.2394,21.2422,231990,1.0334,40.467,24.8316
2047,20171212,21.2394,21.29,20.228,21.141,722210,1.0266,30.1103,23.6959
2048,20171213,21.1888,21.1888,20.5314,20.964,157780,1.0168,23.4896,22.6413
2049,20171214,20.7337,21.1635,20.6578,21.141,109170,1.0243,13.1798,21.662
2050,20171215,20.936,20.9866,20.6326,20.9387,144950,1.0135,5.1929,20.7921
2051,20171218,20.759,21.0877,20.6326,20.8882,260670,1.0104,1.6713,19.7848
2052,20171219,20.936,21.1383,20.7337,20.9893,169610,1.0145,2.7452,18.746
2053,20171220,20.9866,21.5681,20.9866,21.5457,293010,1.0405,9.2147,17.8627
2054,20171221,21.5681,21.7451,21.5681,21.7227,252660,1.048,15.7003,17.3546
2055,20171222,21.7198,21.7451,21.3911,21.4951,584190,1.0363,24.8007,16.5042
2056,20171225,21.6692,21.7451,20.9866,20.9893,146190,1.0115,25.0016,15.73
2057,20171226,20.9866,21.467,20.8348,21.2928,238680,1.0256,29.21,15.2864
2058,20171227,21.29,21.6945,21.2394,21.6974,411810,1.0444,39.5988,14.3906
2059,20171228,21.5428,22.1244,21.5175,22.1273,863520,1.0639,51.4419,13.9872
2060,20171229,21.9474,22.1497,21.8968,21.925,242390,1.0532,57.8592,13.6585
2061,20180102,21.9221,23.3633,21.9221,23.2653,532430,1.1159,77.6582,15.0788
2062,20180103,23.2622,23.4139,22.7059,23.0124,735510,1.1022,89.1351,16.4538
2063,20180104,23.0094,24.0208,23.0094,23.771,531360,1.137,92.2768,18.3523
2064,20180105,23.6162,24.2736,23.1105,23.771,720320,1.1356,92.2768,20.3435
2065,20180108,23.5656,24.7793,23.5656,24.5803,292900,1.1722,96.7592,22.6067
2066,20180109,24.577,24.6782,23.869,24.2768,299830,1.1556,93.6438,24.7082
2067,20180110,24.2736,24.5265,23.869,24.2262,410540,1.1511,93.2454,26.6596
2068,20180111,24.2736,24.5265,23.9196,24.2262,400680,1.1488,89.6062,28.4717
2069,20180112,24.1219,24.9816,23.9702,24.0745,283610,1.1394,84.2218,30.55
2070,20180115,24.3242,25.4367,24.0713,25.1872,1171960,1.1892,84.0474,32.8151
2071,20180116,25.285,25.9424,24.9563,25.7435,939440,1.2122,87.1628,35.2335
2072,20180117,25.7907,25.7907,24.2736,24.732,426720,1.1621,77.5254,35.7499
2073,20180118,24.2736,25.1839,23.7679,25.1366,1007790,1.1785,70.415,35.1727
2074,20180119,24.931,26.0436,24.8804,25.4401,447140,1.1903,62.3358,35.4621
2075,20180122,25.4367,27.055,25.4367,26.2999,496620,1.2274,55.9059,36.4615
2076,20180125,26.2964,26.2964,25.3861,25.3895,475100,1.1823,35.9059,37.2936
2077,20180126,25.3861,25.7907,24.577,24.9849,423900,1.1612,29.1825,36.6484
2078,20180129,24.931,24.931,23.2622,23.2653,799400,1.0801,19.9321,34.3088
2079,20180130,23.2622,24.2736,23.2622,23.6699,302500,1.0974,15.2331,32.1363
2080,20180131,23.5656,24.6276,23.1611,23.9228,335700,1.1073,4.8094,30.5034
2081,20180201,23.5656,23.9196,23.4392,23.4423,41870,1.0831,5.6069,28.9872
2082,20180202,23.3886,23.7679,23.2116,23.3158,122460,1.0757,5.8376,27.2664
2083,20180205,23.2622,23.2622,21.998,22.0008,156710,1.0144,5.8376,26.371
2084,20180206,21.9474,21.998,20.4809,21.9503,809310,1.0115,4.0,26.765
2085,20180207,22.5037,22.5037,20.4809,22.0008,114420,1.0133,1.2951,26.4963
2086,20180208,21.2394,21.7451,21.0371,21.6974,53440,0.9993,0.4976,26.2468
2087,20180209,20.3797,21.7198,20.3797,21.7227,210210,1.0002,0.4118,26.5222
2088,20180212,21.4923,23.0094,21.1383,23.0124,183560,1.0588,7.0458,25.263
2089,20180213,22.3519,24.0208,22.3519,23.8216,102150,1.0948,20.5692,23.7646
2090,20180221,23.3128,24.5265,23.3128,23.3664,74000,1.0731,33.0218,22.7915
2091,20180222,23.2622,23.3128,22.7565,23.0124,94850,1.0562,46.1219,21.3563
2092,20180223,23.0094,23.2622,22.7565,23.2653,62900,1.067,61.2732,20.0236
2093,20180226,23.0599,23.7679,23.0599,23.2653,99890,1.066,69.9356,19.2483
2094,20180227,23.0094,23.0094,21.8462,22.9112,50230,1.0487,68.3992,18.3623
2095,20180228,22.9082,24.223,22.7565,24.2262,372570,1.1074,75.6796,17.6029
2096,20180301,24.7287,24.9816,24.223,24.5803,673960,1.1217,82.5796,17.452
2097,20180302,24.2736,24.8804,24.223,24.8837,376920,1.1333,87.2833,17.3119
2098,20180305,24.8804,25.285,23.7679,24.2768,534100,1.1039,87.4901,16.7258
2099,20180306,24.6276,25.3861,24.0208,25.2883,423330,1.1475,95.5031,16.2663
2100,20180307,25.285,25.7907,25.1839,25.5412,339160,1.1567,95.5031,16.1809
2101,20180308,25.5379,26.2964,25.5379,26.047,562710,1.1769,95.5031,16.5074
2102,20180309,26.2964,26.7515,24.7793,25.5412,568250,1.1518,90.3763,15.9694
2103,20180312,24.8804,25.5884,24.7793,24.8837,268320,1.1203,83.6761,15.4698
2104,20180313,24.8804,24.8804,24.2736,24.5297,295890,1.1027,69.4345,14.4601
2105,20180314,24.5265,25.285,24.5265,25.1872,350890,1.1302,59.8832,13.9241
2106,20180315,25.3861,25.3861,24.6782,24.6814,275280,1.1059,45.9468,13.5267
2107,20180316,24.4759,24.7287,24.2736,24.4791,234170,1.0952,35.4308,12.6848
