,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2163,20171204,59.7662,60.2368,59.3897,59.7751,256930,1.1609,76.4409,36.8794
2164,20171205,59.7662,60.0015,58.825,58.8337,468260,1.1395,74.9491,37.5515
2165,20171206,58.6368,59.2956,58.2132,58.8337,480400,1.1364,72.9766,37.4447
2166,20171207,59.2956,59.3897,57.6956,57.7041,274350,1.1119,58.0391,36.7634
2167,20171208,57.6956,58.3544,57.6956,58.1277,246170,1.1173,40.5614,36.1307
2168,20171211,58.1191,59.1544,57.6485,57.8924,163830,1.1101,20.9309,36.0426
2169,20171212,58.3544,58.825,55.0602,58.1277,349730,1.1118,13.8091,33.5274
2170,20171213,58.1191,58.6838,57.1779,57.4217,322040,1.0958,4.7896,31.1918
2171,20171214,57.225,59.2956,57.225,59.3044,233910,1.1292,14.0983,29.4817
2172,20171215,59.3427,61.6486,58.9662,61.6578,517860,1.1707,28.9607,29.2947
2173,20171218,62.1192,62.8251,61.0368,61.6578,542880,1.1677,45.9759,29.6551
2174,20171219,62.0285,62.0285,61.3656,61.9888,317400,1.171,62.4778,29.9898
2175,20171220,62.2179,62.502,61.7918,62.273,244000,1.1734,81.7593,30.5142
2176,20171221,62.502,63.7805,62.3126,62.9833,273660,1.1835,92.4506,31.5246
2177,20171222,62.502,62.9755,61.9812,61.9888,326190,1.162,87.5858,32.1362
2178,20171225,62.2653,62.502,61.7918,62.0362,197100,1.1603,82.8871,32.5131
2179,20171226,62.1232,62.9755,62.0285,62.3677,159460,1.1639,78.3736,33.0816
2180,20171227,62.502,62.9755,62.36,62.6518,234490,1.1662,74.0105,33.6095
2181,20171228,62.9282,63.9699,62.6441,63.9778,276470,1.1874,73.245,34.552
2182,20171229,64.3487,64.8695,64.1119,64.8775,306890,1.2004,80.725,35.784
2183,20180102,65.7692,65.7692,63.2123,63.2674,798850,1.1675,77.1213,37.2442
2184,20180103,63.2596,63.9225,62.502,62.9833,715160,1.1593,63.2353,37.7918
2185,20180104,62.9755,63.9225,62.6914,63.4569,364810,1.1651,50.9563,38.3003
2186,20180105,63.449,63.7331,62.7861,63.4569,308200,1.1621,34.3614,38.7724
2187,20180108,63.449,64.1593,62.8335,63.741,225860,1.1642,18.6927,39.4134
2188,20180109,64.0646,64.1593,63.2596,63.3148,216780,1.1535,9.6103,40.0087
2189,20180110,63.449,65.343,63.449,64.9249,453520,1.1794,18.6938,41.0924
2190,20180111,64.8695,64.8695,64.2066,64.546,148850,1.1692,21.0614,42.0987
2191,20180112,64.396,64.8222,63.9225,64.6408,281300,1.1676,23.9631,42.6109
2192,20180115,64.6328,66.7162,64.254,66.0614,246360,1.1896,32.4236,43.8646
2193,20180116,66.7635,67.0003,66.0533,66.7244,479470,1.1977,48.0988,45.1242
2194,20180117,66.5268,66.9529,65.343,65.3511,190050,1.1697,40.3454,45.3387
2195,20180118,64.4434,65.343,63.449,65.3511,332260,1.1664,36.6684,43.5056
2196,20180119,69.5572,69.5572,67.237,67.7189,888650,1.205,47.1132,43.6118
2197,20180122,68.1367,69.131,67.7105,68.666,388760,1.218,54.3215,43.7104
2198,20180125,68.6575,69.3678,68.6575,68.7607,432090,1.2158,58.6463,43.8811
2199,20180126,69.0363,69.3678,66.29,67.9557,267620,1.1979,67.4035,42.1809
2200,20180129,67.9473,68.184,66.7635,66.8665,201200,1.1753,66.0734,40.6021
2201,20180130,66.29,69.3678,65.8639,69.1396,537170,1.2113,61.4133,39.6705
2202,20180131,70.5515,71.2618,69.8413,70.5602,232940,1.2321,58.2896,39.5242
2203,20180201,70.1254,71.972,69.6045,70.5602,200350,1.2279,55.166,39.625
