,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2860,20171205,17.0869,17.0869,16.307,16.3074,296360,1.0964,86.4916,24.2133
2861,20171206,16.307,16.5906,16.1652,16.591,379330,1.1141,76.8233,24.2355
2862,20171207,16.5906,16.6615,16.2361,16.3428,226530,1.0961,64.3599,24.3702
2863,20171208,16.5286,16.6034,16.3042,16.3435,255270,1.0955,50.9963,24.4953
2864,20171211,15.8929,16.4538,15.6311,15.6329,212220,1.0472,32.6444,22.9091
2865,20171212,15.5563,15.8555,14.7336,15.2589,474960,1.0215,24.5047,22.6687
2866,20171213,15.332,15.7059,15.1076,15.1093,297870,1.0113,14.173,22.4455
2867,20171214,15.1824,15.4067,15.1824,15.4085,141930,1.0309,9.2825,22.2383
2868,20171215,15.4067,15.9303,15.4067,15.8947,164560,1.0631,9.1003,20.8966
2869,20171218,15.7059,16.2668,15.7059,16.2313,393270,1.085,17.8768,19.7869
2870,20171219,16.2294,16.4164,16.1546,16.2687,311570,1.0874,26.9071,19.0215
2871,20171220,16.2668,16.3042,15.7807,15.8573,134770,1.0599,32.5006,17.7584
2872,20171221,15.8555,16.2294,15.8555,15.9321,276430,1.065,36.4851,16.5856
2873,20171222,16.0799,16.2668,15.9303,16.2687,276790,1.0874,44.6263,15.4173
2874,20171225,16.2668,16.2668,16.0425,16.1565,56810,1.0796,48.7488,14.3324
2875,20171226,16.1546,16.4164,16.1172,16.3809,234120,1.0941,59.28,13.6384
2876,20171227,16.379,16.753,16.379,16.6053,274490,1.1085,73.6866,13.7084
2877,20171228,16.7904,16.8278,16.379,16.7549,313350,1.1173,87.0558,13.9227
2878,20171229,16.9025,17.0147,16.753,17.0167,500290,1.133,92.4605,14.4893
2879,20180102,17.1269,17.7252,17.0521,17.7273,527150,1.1778,99.5616,16.1425
2880,20180103,17.8748,17.9496,17.4261,17.5029,225930,1.1609,96.7641,17.9639
2881,20180104,17.7252,17.9496,17.2017,17.2037,269290,1.1393,87.6963,19.0003
