,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1561,20171205,70.6661,70.6661,69.6307,69.6382,135260,1.0196,61.0413,13.5111
1562,20171206,70.1484,70.1484,68.8541,69.6382,48520,1.0182,65.3211,13.3241
1563,20171207,69.3718,69.6824,68.6988,68.8615,68310,1.0057,68.8368,13.0131
1564,20171208,68.3364,68.8541,68.3364,68.6027,126420,1.0009,60.6102,12.3993
1565,20171211,68.8023,68.8023,67.5599,67.5672,107210,0.9849,40.6102,11.8534
1566,20171212,67.301,67.7669,65.4891,66.7905,122300,0.9727,25.8524,12.7176
1567,20171213,66.7833,67.2492,66.7833,66.7905,55740,0.9718,11.0945,13.52
1568,20171214,67.5081,67.7669,66.9386,67.7743,16240,0.9851,10.757,13.7763
1569,20171215,67.7669,70.0966,67.301,69.6382,76910,1.0111,22.6514,13.3359
1570,20171218,70.4072,70.4072,68.9059,69.3793,32510,1.0068,37.2321,13.121
1571,20171219,69.8377,69.8377,66.2656,68.292,28580,0.9909,45.5447,13.1179
1572,20171220,69.6307,69.6307,68.2329,68.3438,25610,0.9915,54.139,13.115
1573,20171221,67.8187,69.8895,67.8187,68.9651,54220,1.0003,59.6357,13.3431
1574,20171222,68.3882,69.2683,68.1293,68.1367,36520,0.9882,52.0168,13.5549
1575,20171225,68.1293,69.0612,68.1293,68.2402,39810,0.9898,46.718,13.7516
1576,20171226,68.2846,68.7506,68.0776,68.2402,52670,0.9897,47.9703,13.9687
1577,20171227,68.1293,68.3364,67.5599,68.2402,51860,0.9896,48.9409,14.5179
1578,20171228,67.6116,68.1811,67.4045,68.0849,59870,0.9873,45.1746,15.1317
1579,20171229,67.6634,68.0776,67.6116,68.0849,22310,0.9872,44.8321,15.7016
1580,20180102,68.2329,68.2329,67.6634,68.0849,33130,0.987,43.7605,16.0457
1581,20180103,68.0776,68.3364,67.8187,67.8778,83100,0.984,34.1956,16.2371
1582,20180104,67.7669,70.459,67.301,70.4148,180570,1.0207,44.6307,15.838
1583,20180105,70.6661,70.9249,69.3718,69.3793,107050,1.0059,47.1271,15.82
1584,20180108,69.3718,72.478,68.8541,71.9681,294890,1.0431,58.9169,16.8013
1585,20180109,72.0638,72.2192,71.1838,71.4503,106510,1.0353,67.2986,17.7125
1586,20180110,71.4426,73.2546,71.4426,72.4858,166690,1.0496,87.2986,19.1295
1587,20180111,72.478,72.7369,71.9603,72.4858,90640,1.0487,87.2986,20.4453
1588,20180112,71.9603,72.3745,70.9249,70.9326,108360,1.0258,86.8035,20.5246
1589,20180115,70.9249,71.9603,70.6661,71.5539,81030,1.0341,79.5597,20.3347
1590,20180116,71.4426,72.9957,71.2355,72.4858,112740,1.0466,79.261,20.8369
1591,20180117,72.6851,72.8404,71.1838,71.1915,121330,1.0271,68.2107,21.247
1592,20180118,70.9249,71.4426,70.6661,71.1915,99720,1.0264,57.1604,21.0629
1593,20180119,71.0802,72.9957,71.0802,72.4341,163820,1.0436,60.9578,21.8676
1594,20180122,72.478,72.478,70.4072,71.4503,131170,1.0288,56.7678,21.9279
1595,20180125,70.9249,70.9249,68.3364,68.7062,276960,0.9891,40.4745,20.4407
1596,20180126,68.8541,68.8541,66.5245,67.3083,108560,0.9689,31.5248,20.1519
1597,20180129,68.3364,68.3364,65.7479,66.2728,130370,0.9542,22.5751,20.2815
1598,20180130,65.3337,67.8187,65.3337,66.8941,57910,0.9635,10.5199,20.6073
1599,20180131,68.3364,68.3364,65.7479,65.9103,164920,0.9498,1.9907,20.4884
1600,20180201,66.2656,67.2492,65.7997,65.8586,55810,0.9496,1.9907,20.378
1601,20180202,66.0068,66.7833,65.2302,66.7905,55560,0.9637,5.5342,20.6047
1602,20180205,65.2302,67.301,65.2302,65.755,60950,0.9497,6.5603,20.3498
1603,20180206,62.6417,65.2302,61.3475,62.6485,166760,0.9059,4.6066,21.8832
1604,20180207,65.2302,65.2302,63.2112,63.9429,72760,0.9258,8.447,23.3071
1605,20180208,62.4864,65.2302,62.4864,63.4251,80590,0.9196,11.5003,24.8817
1606,20180209,61.0886,65.1784,61.0886,65.1855,117150,0.9463,15.8739,26.7811
1607,20180212,66.2656,66.2656,65.2302,66.2728,14850,0.9632,27.6191,27.6167
1608,20180213,66.2656,67.8187,66.2656,67.2565,41270,0.9786,47.6191,27.2395
