,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2486,20171205,15.6869,15.8206,15.5978,15.5981,662330,1.1692,22.0687,40.3338
2487,20171206,15.3304,15.6423,14.7956,15.3307,466140,1.1473,20.1367,38.3227
2488,20171207,15.1521,15.4195,14.9738,15.4199,188100,1.152,21.0653,36.4553
2489,20171208,15.4195,15.4195,14.7065,15.1525,323740,1.1302,12.999,34.0208
2490,20171211,15.1521,15.1521,14.751,14.9296,215380,1.1118,4.2212,31.7602
2491,20171212,15.063,15.1521,13.9043,15.1525,1388720,1.1266,4.2918,31.0995
2492,20171213,15.1521,15.6869,14.7956,14.9742,211720,1.1116,4.3759,29.2445
2493,20171214,14.9738,15.1521,14.8847,15.1525,64220,1.1233,6.296,27.522
2494,20171215,14.7956,15.1521,14.7956,15.1525,377850,1.1217,9.1447,26.1033
2495,20171218,15.3304,15.5532,15.2858,15.3753,234710,1.1365,15.4726,24.5724
2496,20171219,15.3304,15.5086,15.1521,15.3753,246590,1.1346,18.4374,22.8556
2497,20171220,15.4641,16.4445,15.4195,16.4449,2035660,1.2104,37.1421,22.8913
2498,20171221,16.9347,17.0684,16.4445,16.4449,646810,1.2072,53.0824,23.6987
2499,20171222,16.3554,16.801,16.1771,16.4003,408490,1.2009,69.1213,23.8611
2500,20171225,16.8456,16.8456,16.3108,16.4895,439380,1.2043,82.6357,24.0694
2501,20171226,16.4891,16.4891,16.3554,16.3558,411290,1.1915,92.5804,24.2629
2502,20171227,16.9347,17.3358,16.5782,17.158,1216580,1.2461,93.7914,25.4537
2503,20171228,17.2912,17.2912,16.8456,17.158,357740,1.242,95.0025,26.5595
2504,20171229,17.0238,17.113,16.801,16.8014,381030,1.2125,88.9426,27.4688
2505,20180102,16.801,16.9347,16.0434,16.8906,981760,1.2149,82.7372,26.5624
2506,20180103,16.8901,17.0238,16.3108,16.6232,1063600,1.1921,73.4751,25.8535
2507,20180104,16.8456,17.113,16.5336,16.846,964960,1.2043,63.0991,25.3319
2508,20180105,16.8456,16.8901,16.5782,16.5786,518220,1.1818,43.9282,24.8476
2509,20180108,16.5782,16.5782,15.9543,16.2666,968420,1.1565,31.1005,23.0774
2510,20180109,16.3108,17.0684,16.2662,16.8906,1457990,1.1972,24.6846,22.2627
2511,20180110,17.4695,18.0043,17.3804,17.559,1980670,1.2402,30.7126,22.732
2512,20180111,17.5586,17.6477,16.9347,17.559,828570,1.2358,34.1271,22.3339
2513,20180112,17.6477,17.6477,16.9347,17.0243,925960,1.1944,37.9172,21.9643
2514,20180115,16.5782,16.9347,16.4891,16.6677,778850,1.1658,37.9172,20.8254
2515,20180116,16.5782,16.6673,16.3999,16.6677,600540,1.1625,30.6962,19.6157
2516,20180117,16.3999,16.6673,15.9543,15.9547,623850,1.1101,17.6577,18.6604
2517,20180118,15.776,16.2217,15.1075,16.2221,1250580,1.1258,7.5851,18.8875
2518,20180119,16.1325,16.3108,15.9988,16.1329,539080,1.1172,5.0065,18.9374
2519,20180122,16.3108,16.3108,15.8651,16.1775,689130,1.1178,7.6037,19.1505
2520,20180125,16.7119,16.7564,16.3554,16.4895,2742100,1.1366,13.8675,18.5265
2521,20180126,16.7564,16.7564,15.9097,16.6232,1488210,1.1433,21.63,18.5375
2522,20180129,16.6673,17.3804,16.3108,17.3808,2216340,1.1921,33.6504,17.5124
2523,20180130,16.9347,17.4695,16.7564,17.1134,909650,1.1707,43.1019,16.4233
2524,20180131,16.9347,17.3804,16.801,17.3362,1788530,1.1826,53.9736,15.412
2525,20180201,17.2021,17.5586,16.9347,17.559,1990250,1.194,63.0802,14.4489
2526,20180202,17.7369,17.7369,17.2912,17.3808,1357360,1.1785,72.069,13.851
2527,20180205,16.7564,16.9347,16.1771,16.9351,975160,1.1456,66.395,14.1068
2528,20180206,16.3999,16.8456,15.776,16.4003,798140,1.1073,56.7127,14.811
2529,20180207,16.7564,16.7564,15.776,16.2221,603320,1.0933,43.2438,15.4649
2530,20180208,15.3304,16.3108,15.2858,16.0438,514050,1.0794,27.8734,16.6199
2531,20180209,15.063,15.9543,14.9738,15.5981,598320,1.0479,11.1221,18.0081
2532,20180212,15.5978,16.1325,15.5086,16.1329,432280,1.0817,7.848,18.9254
2533,20180213,15.9543,16.3108,15.8651,16.2666,260290,1.0883,13.4622,19.4073
2534,20180221,16.3108,16.4891,15.9097,16.4895,600000,1.1006,23.1683,19.4877
2535,20180222,16.4891,16.4891,15.9097,15.9547,1060760,1.0629,27.9214,19.5624
2536,20180223,15.9543,16.1325,15.5532,15.7318,659310,1.0464,30.8204,20.1233
2537,20180226,15.7314,15.776,15.1521,15.1525,468020,1.0065,24.7823,21.1365
2538,20180227,15.5978,16.1325,15.1521,16.1329,1037010,1.0696,26.3782,21.278
2539,20180228,16.0434,16.6673,15.8651,16.5786,727180,1.0968,30.492,20.3661
2540,20180301,16.4891,16.4891,15.7314,16.2221,283900,1.071,40.7272,19.7216
2541,20180302,15.776,16.1325,15.776,16.1329,211450,1.0629,52.3471,19.1231
2542,20180305,16.1325,16.3999,15.9097,16.3558,382320,1.0752,69.7921,18.0346
2543,20180306,16.3554,17.0684,16.088,16.5786,1143770,1.0873,80.7722,17.6027
2544,20180307,16.5782,17.0684,16.4891,16.8906,1244360,1.105,86.9522,17.2017
2545,20180308,16.8901,17.0238,16.6673,16.7569,308980,1.0935,90.2613,16.8293
2546,20180309,16.9347,17.0238,16.3554,16.7569,694180,1.0909,94.0397,15.8295
2547,20180312,16.6227,16.801,16.3554,16.6232,339600,1.0796,93.0394,14.9011
2548,20180313,16.4891,16.8456,16.2217,16.846,662810,1.0913,92.2131,13.9213
2549,20180314,16.8456,16.8901,16.5782,16.846,891020,1.0885,91.3869,12.9421
2550,20180315,16.8456,18.0043,16.6673,17.9601,2058310,1.1567,93.0896,13.9665
2551,20180316,17.6032,18.3608,17.4695,17.6036,940640,1.1303,89.0277,15.3618
2552,20180319,17.826,18.1825,17.6477,17.8264,729280,1.141,88.9809,16.6574
2553,20180320,17.6477,17.826,17.6477,17.8264,388420,1.1374,86.205,17.8604
2554,20180321,17.826,18.6282,17.7369,18.183,724700,1.1562,86.919,19.8977
2555,20180322,18.6282,18.6282,18.0934,18.2721,633230,1.158,86.919,21.7894
2556,20180323,17.5586,18.2717,17.3804,18.2721,670780,1.1539,92.6835,21.8057
2557,20180326,18.2717,19.0738,18.0043,18.0938,1712670,1.1388,91.6756,22.7556
2558,20180327,17.9151,18.0934,17.3804,17.8264,785200,1.1185,84.1098,22.4483
2559,20180328,17.826,18.2717,17.4249,17.8264,345530,1.1149,73.054,22.3758
