,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1876,20171205,8.0,8.0,7.8,7.8,273700,0.9922,72.2951,26.8315
1877,20171206,7.8,7.96,7.7,7.75,156080,0.9868,66.7839,25.6612
1878,20171207,7.75,7.76,7.6,7.6,254410,0.9688,58.1398,24.1477
1879,20171208,7.4,7.5,7.39,7.39,311650,0.9433,44.0244,22.9169
1880,20171211,7.01,7.29,7.01,7.01,205160,0.8964,27.2496,22.939
1881,20171212,7.1,7.4,6.95,7.2,127770,0.922,20.1067,22.5036
1882,20171213,7.2,7.7,7.13,7.5,319380,0.9613,18.5967,20.9974
1883,20171214,7.32,7.49,7.32,7.45,105110,0.9558,19.7332,19.5988
1884,20171215,7.45,7.77,7.4,7.59,150230,0.9746,28.5259,19.0036
1885,20171218,7.68,8.12,7.68,8.12,657310,1.043,46.1375,19.3641
1886,20171219,8.12,8.51,8.12,8.49,795360,1.0903,62.8719,20.4985
1887,20171220,8.66,9.08,8.56,9.08,1614120,1.1653,75.1253,22.4229
1888,20171221,9.0,9.6,8.9,9.16,587440,1.1745,88.0903,24.796
1889,20171222,9.15,9.27,8.7,8.91,368500,1.1419,94.2142,26.3243
1890,20171225,8.91,9.5,8.75,9.45,887910,1.2098,96.1203,28.0123
1891,20171226,9.5,10.1,9.5,10.1,1250500,1.2906,96.1203,30.1669
1892,20171227,10.7,10.8,10.25,10.65,1507230,1.3573,96.1203,32.6787
1893,20171228,10.5,11.0,10.1,10.6,932270,1.3468,95.62,35.1349
1894,20171229,10.7,11.05,10.3,10.3,748910,1.3054,95.1037,37.4469
1895,20180102,10.4,10.8,9.85,9.96,772300,1.2594,86.8569,38.229
1896,20180103,10.1,10.45,9.99,10.35,703430,1.3049,80.1832,38.9552
1897,20180104,10.7,11.05,10.7,11.05,1844350,1.3879,76.1398,40.1822
1898,20180105,11.0,11.1,10.6,10.8,740320,1.3518,65.9241,41.0293
1899,20180108,10.75,11.05,10.5,10.8,821590,1.3471,55.2164,41.5178
1900,20180109,11.25,11.25,10.6,10.8,1138900,1.3423,49.2814,42.1793
1901,20180110,11.2,11.55,11.0,11.5,2119520,1.423,48.5372,43.0843
1902,20180111,11.4,11.55,11.0,11.3,377170,1.3924,39.7214,43.9247
1903,20180112,11.45,11.55,10.8,11.0,1140830,1.3503,30.4374,44.0402
1904,20180115,11.0,11.0,10.5,10.7,593910,1.3089,25.0588,43.2274
1905,20180116,10.5,10.7,10.4,10.45,661390,1.2744,19.7229,42.1809
1906,20180117,10.3,10.45,9.72,9.72,1116970,1.1828,7.1408,39.5193
1907,20180118,9.3,9.9,9.3,9.9,526590,1.2017,1.5724,37.1624
1908,20180119,10.0,10.0,9.6,9.6,404040,1.1628,1.5724,34.7669
1909,20180122,9.5,10.25,9.4,10.2,910960,1.2319,6.3901,32.5296
1910,20180125,9.49,10.2,9.49,9.49,2210510,1.1439,6.3901,30.4521
1911,20180126,9.4,9.4,8.83,8.83,939040,1.0631,6.3901,29.3078
1912,20180129,8.31,8.83,8.31,8.33,464670,1.0023,4.8177,29.0268
1913,20180130,8.03,8.3,8.02,8.3,456020,0.9982,4.8177,29.1461
1914,20180131,8.5,8.88,8.3,8.88,409670,1.0667,3.5685,28.0137
1915,20180201,9.1,9.1,8.5,8.5,237320,1.0203,5.728,26.5447
1916,20180202,8.53,8.76,8.5,8.5,211940,1.0195,8.2648,25.1806
1917,20180205,8.5,8.5,7.91,7.91,223720,0.9487,8.2648,24.8281
1918,20180206,7.36,7.36,7.36,7.36,447020,0.8833,8.2648,25.1951
1919,20180207,7.85,7.85,7.4,7.55,263250,0.907,6.9827,24.5639
1920,20180208,7.55,7.6,7.35,7.35,141620,0.8846,5.8357,24.0458
1921,20180209,6.9,7.0,6.84,6.86,593030,0.8276,3.2989,24.2207
1922,20180212,7.33,7.34,6.86,7.34,143190,0.887,8.6526,23.7158
1923,20180213,7.79,7.8,7.6,7.78,140010,0.9412,22.9696,22.434
1924,20180221,7.89,7.9,7.7,7.74,106750,0.9375,37.4481,21.0757
1925,20180222,7.69,7.69,7.41,7.43,145170,0.9013,49.3354,20.2625
1926,20180223,7.82,7.82,7.45,7.69,157380,0.9341,67.1067,19.2692
1927,20180226,7.9,8.1,7.4,7.8,435610,0.9485,81.5741,17.9392
1928,20180227,7.8,7.88,7.65,7.79,97340,0.9484,87.1052,16.7042
1929,20180228,7.85,8.33,7.85,8.33,704760,1.0145,90.3402,16.3334
1930,20180301,8.43,8.8,8.33,8.33,449820,1.0147,97.4404,16.6813
1931,20180302,8.2,8.63,8.2,8.55,191200,1.0412,99.6691,16.7308
1932,20180305,8.75,8.75,8.3,8.3,321830,1.0107,96.9882,16.9565
1933,20180306,8.1,8.3,8.1,8.2,214920,0.9983,93.1539,16.7223
1934,20180307,8.1,8.2,7.65,7.8,288550,0.9498,84.9138,15.599
1935,20180308,7.9,8.05,7.83,7.9,110900,0.9619,75.258,14.5559
1936,20180309,7.45,7.9,7.45,7.65,151080,0.9316,59.7731,14.1556
1937,20180312,7.62,7.95,7.6,7.62,98290,0.9282,46.6414,13.6767
1938,20180313,7.6,7.75,7.45,7.5,291580,0.914,32.5478,13.5135
1939,20180314,7.41,7.5,7.35,7.45,204330,0.9084,20.7879,13.5497
1940,20180315,7.36,7.78,7.36,7.62,148950,0.9293,15.3315,12.9147
1941,20180316,7.62,7.7,7.45,7.62,158800,0.9295,15.7042,12.325
1942,20180319,7.76,7.77,7.62,7.76,140030,0.9465,20.7853,11.6037
1943,20180320,7.76,7.76,7.51,7.6,79050,0.9272,24.0632,11.1983
1944,20180321,7.76,8.0,7.6,7.6,198670,0.9274,29.2613,10.5931
1945,20180322,7.7,8.0,7.7,7.71,278760,0.9402,36.1622,10.0311
1946,20180323,7.71,7.71,7.45,7.67,199880,0.9347,43.0559,9.779
1947,20180326,7.67,7.8,7.3,7.3,278190,0.8893,33.9664,9.9112
1948,20180327,7.56,7.56,7.2,7.22,266270,0.879,28.7683,10.2731
1949,20180328,7.45,7.45,7.2,7.25,62490,0.8824,25.4668,10.6092
1950,20180329,7.35,7.4,7.21,7.21,144990,0.877,13.9608,10.9213
1951,20180330,7.21,7.21,7.17,7.2,156120,0.8751,2.1793,11.3239
1952,20180402,7.4,7.4,7.1,7.15,149690,0.8686,2.1793,10.9752
1953,20180403,7.15,7.65,6.95,7.65,760200,0.9277,22.1793,10.5637
1954,20180404,8.1,8.15,7.65,7.65,361260,0.9263,40.2826,11.4737
1955,20180405,7.5,7.7,7.44,7.68,81920,0.9287,60.0,11.6188
1956,20180406,7.5,7.68,7.32,7.32,176630,0.8848,68.8109,11.3756
1957,20180409,7.32,7.32,7.1,7.11,287420,0.8595,72.2538,10.6279
1958,20180410,7.1,7.2,7.07,7.12,163770,0.8607,56.0924,10.0201
1959,20180411,7.12,7.37,7.05,7.1,184600,0.8583,39.396,9.6595
1960,20180412,7.24,7.3,7.03,7.2,106620,0.8703,27.0205,9.2593
1961,20180413,7.3,7.3,7.05,7.1,33270,0.8582,22.8457,8.8876
1962,20180416,7.1,7.2,7.09,7.19,57730,0.8688,28.0472,8.5425
1963,20180417,7.2,7.2,7.13,7.13,58660,0.8614,30.9048,8.222
1964,20180418,7.1,7.18,7.09,7.1,56740,0.8577,33.301,7.7541
1965,20180419,7.1,7.3,7.01,7.1,130090,0.8576,31.3763,7.8038
1966,20180420,7.1,7.1,6.97,7.05,104540,0.8515,27.4182,7.6629
1967,20180423,6.84,7.1,6.8,6.84,124600,0.8264,18.7738,7.4515
1968,20180424,7.0,7.0,6.75,6.8,66450,0.8222,12.0776,7.4632
1969,20180426,7.0,7.0,6.65,6.65,246310,0.8053,6.3778,7.8817
1970,20180427,6.65,6.65,6.21,6.43,156880,0.7802,0.678,9.672
1971,20180502,6.13,6.23,6.1,6.13,176520,0.7454,0.0,11.6096
1972,20180503,6.03,6.3,6.02,6.19,82620,0.7542,2.539,13.6032
1973,20180504,6.19,6.3,6.11,6.12,65330,0.7473,4.1197,15.4544
1974,20180507,6.3,6.39,6.12,6.35,84640,0.7769,14.9884,16.6433
1975,20180508,6.35,6.4,6.26,6.35,44280,0.7786,25.8571,17.6876
1976,20180509,6.4,6.4,6.2,6.35,40060,0.7799,37.5253,18.85
1977,20180510,6.4,6.58,6.35,6.35,107840,0.7813,47.1106,18.8523
1978,20180511,6.26,6.45,6.2,6.3,59740,0.7764,56.3935,19.386
1979,20180514,6.39,6.39,6.25,6.37,2200,0.786,61.2448,19.8816
1980,20180515,6.43,6.6,6.26,6.49,136140,0.8013,70.3761,19.1718
1981,20180516,6.6,6.94,6.5,6.8,318010,0.84,78.7079,18.5401
1982,20180517,6.9,6.93,6.68,6.8,135900,0.8407,86.5835,17.9535
1983,20180518,6.9,6.9,6.7,6.79,92720,0.8402,95.4753,17.4088
1984,20180521,6.78,6.79,6.45,6.52,28380,0.8078,93.6551,16.5688
1985,20180522,6.7,6.7,6.07,6.07,326310,0.754,80.1683,17.0803
1986,20180523,6.15,6.15,6.05,6.07,170470,0.7563,66.6814,17.6138
1987,20180524,6.07,6.2,6.04,6.1,84630,0.7628,48.8053,17.859
1988,20180525,6.1,6.1,5.9,5.9,122810,0.7409,29.0501,18.5275
1989,20180528,5.9,6.0,5.49,5.49,177420,0.6923,15.1502,20.1762
1990,20180529,5.6,5.6,5.3,5.59,89670,0.7084,11.3488,22.0818
1991,20180530,5.26,5.68,5.26,5.5,142840,0.7011,6.6262,23.4408
1992,20180531,5.5,5.6,5.5,5.55,103530,0.7121,7.704,24.7027
1993,20180601,5.54,5.55,5.5,5.5,145070,0.7103,10.3308,25.8744
1994,20180604,5.49,5.6,5.49,5.52,43270,0.7173,13.576,26.6637
1995,20180605,5.83,5.83,5.6,5.75,54180,0.7513,20.6994,26.1443
1996,20180606,5.99,5.99,5.7,5.7,47990,0.7493,28.0704,24.9155
1997,20180607,5.7,5.79,5.7,5.73,276130,0.7586,39.6048,23.7745
1998,20180608,5.72,5.79,5.71,5.79,235210,0.7717,56.9781,22.715
1999,20180611,5.75,5.8,5.72,5.72,44140,0.7675,71.4355,21.6784
2000,20180612,5.7,5.7,5.55,5.7,38710,0.7701,78.6385,21.4404
2001,20180613,5.75,5.75,5.55,5.55,43500,0.7559,81.7601,20.9335
2002,20180614,5.62,5.62,5.55,5.56,91390,0.7633,79.8963,20.4629
2003,20180615,5.69,5.69,5.56,5.57,150700,0.7704,72.2059,19.6007
2004,20180618,5.69,5.69,5.4,5.5,135860,0.7662,63.9935,19.5433
2005,20180619,5.49,5.5,5.13,5.13,60000,0.72,46.9555,20.4824
2006,20180620,5.25,5.25,5.14,5.14,41520,0.7261,35.3557,21.3544
2007,20180621,5.17,5.2,5.14,5.2,59830,0.7394,27.3642,22.1641
2008,20180622,5.15,5.21,5.14,5.15,18720,0.737,18.5247,22.8416
2009,20180625,5.2,5.22,5.16,5.2,67890,0.7495,16.1553,23.3918
2010,20180626,5.19,5.19,5.0,5.18,32410,0.7513,22.6207,24.529
2011,20180627,5.18,5.21,5.15,5.18,137670,0.7553,28.4026,25.4187
2012,20180628,5.2,5.2,5.11,5.19,14430,0.7602,31.8777,26.4012
2013,20180629,5.11,5.17,5.1,5.12,40370,0.7535,33.9478,27.3538
2014,20180702,5.12,5.12,5.01,5.01,75040,0.7415,28.1556,28.5931
2015,20180703,5.0,5.36,4.85,4.85,127840,0.7217,21.6903,27.7658
2016,20180704,4.57,4.85,4.57,4.82,26410,0.7212,15.2249,28.1466
2017,20180705,4.83,4.84,4.7,4.8,57160,0.7216,6.8689,28.5002
2018,20180706,4.7,4.9,4.6,4.9,41370,0.7394,16.6867,29.1838
2019,20180709,4.9,4.95,4.8,4.85,25020,0.7348,27.8543,29.439
2020,20180710,4.85,4.95,4.85,4.9,80930,0.7452,47.8257,29.676
2021,20180711,4.89,4.9,4.8,4.8,41610,0.7322,61.6398,30.1013
2022,20180712,4.8,4.9,4.8,4.89,9380,0.7488,81.6398,30.4962
2023,20180713,4.89,5.0,4.89,4.93,37710,0.7582,86.2818,29.9894
2024,20180716,5.0,5.0,4.83,4.9,16450,0.7569,92.3287,29.82
2025,20180717,4.9,5.0,4.9,4.99,29390,0.7737,92.3573,29.6627
2026,20180718,5.03,5.03,4.91,5.0,76820,0.7785,98.5432,29.2347
2027,20180719,5.0,5.01,4.95,4.95,17000,0.7742,96.348,28.8372
2028,20180720,4.95,5.0,4.85,4.95,116690,0.7776,94.1527,29.0505
2029,20180723,4.95,5.0,4.9,4.92,66580,0.7771,92.0204,29.2486
2030,20180724,4.95,4.95,4.8,4.83,55070,0.7671,84.5409,29.9693
2031,20180725,4.75,4.9,4.75,4.85,144570,0.7748,76.2398,30.8813
2032,20180726,4.85,4.85,4.75,4.76,54120,0.7648,64.9386,31.7281
2033,20180727,4.76,4.76,4.48,4.51,197900,0.7289,47.1338,33.5769
2034,20180730,4.52,4.82,4.5,4.82,341010,0.7828,50.723,34.6348
2035,20180731,5.0,5.15,4.8,5.0,136550,0.8159,58.2025,32.8888
2036,20180801,4.95,5.1,4.95,5.0,58520,0.8194,66.5036,31.2675
2037,20180802,4.95,5.0,4.85,4.93,74750,0.8115,77.8295,30.2942
2038,20180803,5.0,5.27,5.0,5.27,313780,0.8707,97.8295,28.5033
