,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2663,20171128,118.9758,118.9758,118.0476,118.8075,1800,1.1078,38.9007,44.1012
2664,20171129,118.132,118.8914,117.2882,118.1324,13170,1.1008,22.8553,43.0201
2665,20171130,117.2882,118.8914,117.2882,118.8075,9530,1.1065,10.1524,42.0162
2666,20171201,118.8914,118.8914,117.0351,118.1324,7890,1.1002,10.1524,40.8728
2667,20171204,118.132,118.132,114.588,114.5885,27570,1.0678,6.112,38.0766
2668,20171205,115.0943,117.8789,114.7568,114.7572,12830,1.0699,3.8256,35.4802
2669,20171206,114.7568,116.4444,114.7568,116.4448,1250,1.086,8.9172,33.0692
2670,20171207,117.2882,117.2882,114.7568,116.4448,1950,1.0866,10.6662,31.3684
2671,20171208,116.4444,117.2882,116.0225,117.0355,7310,1.0927,17.3646,29.789
2672,20171211,118.0476,118.0476,113.913,116.4448,15380,1.0869,22.2803,28.4187
2673,20171212,116.0225,116.0225,114.7568,116.0229,6000,1.0819,25.4407,27.1463
2674,20171213,117.2882,118.132,117.2882,118.048,460,1.0991,34.5322,25.8254
2675,20171214,114.7568,118.0476,114.7568,117.7105,10220,1.0943,41.9547,24.7882
2676,20171215,115.6006,117.6257,114.7568,117.373,3060,1.0895,46.5272,23.8251
2677,20171218,118.8914,118.8914,115.685,117.9637,1970,1.0933,56.3207,22.1654
2678,20171219,116.4444,118.0476,116.1913,117.9637,1820,1.0918,67.3865,20.6243
2679,20171220,116.4444,117.2882,114.7568,114.7572,4090,1.0607,53.2034,19.9908
2680,20171221,113.913,116.4444,113.913,116.1917,480,1.0723,49.1822,19.8213
2681,20171222,114.7568,116.0225,113.913,116.0229,1720,1.0689,45.4969,19.6639
2682,20171225,113.238,114.7568,111.3816,111.382,7170,1.0247,30.7877,20.6224
2683,20171226,113.913,113.913,109.7784,111.8039,13290,1.0274,17.6503,22.055
2684,20171227,113.913,113.913,111.3816,112.2258,3460,1.0301,20.8282,23.3852
2685,20171228,110.6222,113.8286,110.6222,112.2258,10320,1.0288,15.5131,24.8691
2686,20171229,110.0315,112.2254,110.0315,112.2258,6250,1.0275,11.1054,26.4339
2687,20180102,113.8286,113.913,113.0692,113.0696,20670,1.0339,17.945,26.5658
2688,20180103,113.0692,113.0692,110.5378,112.9852,10270,1.032,23.1452,27.5547
2689,20180104,113.8286,113.8286,109.6096,111.7195,37970,1.0195,22.7018,28.7395
2690,20180105,111.7191,113.0692,109.8628,109.8632,8280,1.0018,19.524,29.8396
2691,20180108,112.9848,112.9848,110.1159,112.2258,860,1.0222,25.5133,30.8612
2692,20180109,112.2254,113.238,109.694,112.2258,17890,1.0211,31.8916,31.9467
2693,20180110,111.8035,113.0692,111.3816,112.2258,11200,1.02,38.3373,32.9547
2694,20180111,111.3816,112.6473,111.3816,112.2258,49180,1.019,49.3427,33.8907
2695,20180112,113.0692,114.6724,113.0692,113.2384,8990,1.0268,69.3427,32.9795
2696,20180115,113.913,117.2882,113.913,117.2886,24320,1.062,80.1755,30.7741
2697,20180116,117.7101,117.7101,116.5288,117.2042,13380,1.0595,86.7073,28.9518
2698,20180117,113.913,117.2038,113.913,115.601,28490,1.0434,88.6886,27.8401
2699,20180118,114.7568,117.7101,113.913,116.4448,11990,1.0492,91.9536,26.5193
2700,20180119,116.4444,119.8196,115.6006,118.2168,54210,1.0633,91.9536,25.0334
2701,20180122,118.2164,118.2164,116.5288,117.2886,28950,1.053,89.3821,23.6537
2702,20180125,125.4731,125.4731,125.3043,125.4735,41680,1.1238,89.6325,24.7613
2703,20180126,129.1014,129.5233,125.5574,126.0642,59660,1.1263,94.4333,26.5535
2704,20180129,129.4389,129.4389,125.9793,126.1486,22700,1.1242,97.4286,28.2177
2705,20180130,126.1481,126.1481,122.4354,125.7267,10360,1.1179,96.3653,28.1431
2706,20180131,126.57,126.57,123.6167,124.4609,32630,1.1044,94.7391,28.1728
2707,20180201,122.351,123.9542,121.5072,123.6171,22420,1.0947,88.5382,27.3467
2708,20180202,121.0853,122.351,121.0853,122.3514,8910,1.0813,77.8715,26.4161
2709,20180205,122.351,122.351,119.9884,120.6638,37190,1.0646,58.0687,25.1266
2710,20180206,116.8663,118.0476,112.6473,116.8667,38080,1.0294,39.1319,24.8475
2711,20180207,120.6634,120.6634,118.132,118.1324,34110,1.0389,25.595,23.7673
