,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
4170,20171205,35.6085,35.8691,34.1321,34.1355,2792710,1.1068,79.4577,33.5664
4171,20171206,33.8715,34.1321,33.0899,33.9618,3529720,1.0998,65.0577,32.7925
4172,20171207,33.9584,34.1755,32.9162,33.0932,1779580,1.0704,48.586,31.8489
4173,20171208,33.0899,33.7847,32.5688,33.3103,1324440,1.0764,31.8318,30.5251
4174,20171211,32.8293,34.0452,32.699,33.3538,1310300,1.0768,14.7596,29.5472
4175,20171212,33.4373,33.9584,31.874,33.3538,1847250,1.0757,9.2302,27.6243
4176,20171213,33.4373,35.1743,33.2201,34.2224,2623350,1.1026,9.143,26.964
4177,20171214,34.2189,35.1743,34.1321,35.1778,2054870,1.1321,18.3906,26.3509
4178,20171215,35.4348,35.9125,34.8269,35.6121,2463150,1.1448,28.3413,26.3778
4179,20171218,36.0428,36.3467,35.4782,35.4818,1983770,1.1393,37.0321,26.7212
4180,20171219,35.5217,37.5192,35.2611,37.0887,3999500,1.189,52.4488,27.779
4181,20171220,36.9113,37.5192,36.3033,36.915,1673650,1.1816,62.0791,28.7613
4182,20171221,36.9113,37.1718,36.2165,36.2201,1561350,1.1578,62.0492,29.5446
4183,20171222,36.0428,36.2599,35.2611,35.4384,2366200,1.132,55.4222,28.9623
4184,20171225,35.2611,35.6954,34.9137,34.9607,1697470,1.1162,45.9747,27.9978
4185,20171226,34.9571,36.1296,34.9571,36.1332,1244990,1.1524,36.2758,27.4749
4186,20171227,36.477,36.6507,35.2611,35.4384,1212720,1.129,22.2404,27.4079
4187,20171228,35.6085,35.9993,35.348,35.5252,1076720,1.1302,14.4825,27.3457
4188,20171229,35.7822,36.3902,35.6085,36.0464,1457830,1.1451,14.7865,27.6049
4189,20180102,36.477,37.5192,36.1296,37.523,1991730,1.1896,26.1878,28.6253
4190,20180103,37.8666,37.91,37.085,37.4361,1691120,1.1847,30.3491,29.8039
4191,20180104,37.6929,38.1706,37.2587,37.523,1699280,1.1851,40.7618,31.049
4192,20180105,37.5192,37.5192,36.477,36.915,2636900,1.1637,45.0225,31.0434
4193,20180108,36.9113,37.5192,36.4336,37.1756,1721420,1.1693,47.7089,30.9768
4194,20180109,37.5192,38.0403,37.1718,37.7836,1529800,1.1857,47.5016,31.3054
4195,20180110,37.7798,38.8654,37.7798,38.0441,2273020,1.1911,56.3931,32.152
4196,20180111,37.7798,37.9535,37.2587,37.7836,1242500,1.1802,60.3334,32.1804
4197,20180112,37.6929,37.9535,36.781,36.915,2296800,1.1507,56.0299,31.5614
4198,20180115,36.5639,36.9981,36.3033,36.9584,1610610,1.1499,49.2355,30.3833
4199,20180116,36.8678,37.4758,36.6507,36.9584,1149990,1.1476,38.1062,29.7055
4200,20180117,36.9547,37.4758,35.6085,35.6121,1737460,1.1041,18.1062,27.8775
4201,20180118,35.2177,35.9559,34.8269,35.9595,1611730,1.1129,5.1959,26.3421
4202,20180119,36.0428,36.3902,35.6085,35.6121,1152120,1.1002,3.746,24.4841
4203,20180122,35.6085,36.5639,35.6085,36.307,1129770,1.1196,8.4036,22.8831
4204,20180125,36.8244,37.6061,36.5204,36.5241,2327770,1.1243,14.5559,22.3328
4205,20180126,36.5639,36.7376,36.1296,36.307,945140,1.1156,19.5043,21.3999
4206,20180129,36.3033,36.7376,35.8691,35.9595,1367070,1.1031,19.1535,20.2565
4207,20180130,36.477,36.8244,35.9559,36.0464,2155910,1.1041,21.9487,19.2798
4208,20180131,36.0428,38.214,35.8691,37.0453,2804390,1.1324,27.1197,19.5621
4209,20180201,37.0415,37.7363,36.7376,37.0453,1120050,1.1302,32.2299,19.8243
4210,20180202,37.085,37.4758,36.5639,37.0887,924850,1.1294,47.2816,19.846
4211,20180205,36.9113,36.9113,34.5229,34.5264,2202850,1.0504,45.082,19.0646
4212,20180206,32.5688,33.6544,32.1345,32.572,4166260,0.9904,42.1653,19.8581
4213,20180207,33.8715,33.9584,33.003,33.2669,1101160,1.011,35.6359,20.3066
4214,20180208,33.003,33.4373,32.5688,32.572,700370,0.9896,25.6762,20.9633
4215,20180209,30.9186,32.3951,30.9186,32.3115,1182310,0.9814,6.7914,22.364
4216,20180212,32.4819,33.4373,32.4819,33.4406,1053670,1.0151,13.9421,22.6955
4217,20180213,33.9584,34.5229,33.611,34.4829,722310,1.0457,25.8195,22.1171
4218,20180221,35.0006,35.0006,32.8293,34.4829,803420,1.0448,33.8606,22.0096
4219,20180222,34.3058,34.4795,33.8715,33.9184,848920,1.0268,41.712,21.9098
4220,20180223,34.3926,34.6097,34.0452,34.5698,809150,1.0454,53.3164,21.7015
4221,20180226,34.74,35.348,34.6532,34.7435,1291820,1.0493,59.6761,20.8642
4222,20180227,34.74,35.1743,34.5663,34.7001,876120,1.0465,61.1105,20.1479
4223,20180228,34.9253,35.2872,34.6538,34.8376,1024770,1.0493,63.2431,19.3788
4224,20180301,34.4729,34.6991,33.749,34.0232,1344790,1.0236,68.0452,19.3235
4225,20180302,33.5228,33.93,33.4776,33.7518,1363310,1.0142,68.1113,19.4573
4226,20180305,33.749,34.9253,33.749,34.1137,1563660,1.0239,70.0194,18.6146
4227,20180306,34.5181,34.6991,34.0205,34.4757,618330,1.0334,75.2954,17.8321
4228,20180307,34.3824,34.7896,33.749,33.9327,736380,1.0159,75.6561,17.3306
4229,20180308,34.111,34.2919,33.93,34.2042,397470,1.0228,75.2644,16.8649
4230,20180309,34.2014,35.061,34.2014,34.9281,1545820,1.043,82.4787,15.686
4231,20180312,36.1015,36.192,35.0158,36.1044,2034170,1.0762,87.0601,15.5713
4232,20180313,36.192,36.2825,35.6944,36.1044,1187080,1.0743,88.4724,15.5367
4233,20180314,36.011,37.1873,35.9206,36.9188,2362580,1.0962,94.1018,16.1845
4234,20180315,36.9158,37.504,36.5539,37.1903,1825010,1.1019,100.0,17.0043
4235,20180316,36.373,37.1873,36.192,36.3759,1958180,1.0759,93.7408,17.3322
4236,20180319,35.6491,36.5539,35.6491,35.652,1359300,1.0528,82.6255,17.0175
4237,20180320,35.3777,36.1015,35.2872,35.5615,813900,1.0485,70.9242,16.3325
4238,20180321,35.9206,35.9206,34.8348,35.2901,1675000,1.0389,57.4255,15.2244
4239,20180322,35.2872,35.7396,34.9705,35.0186,911920,1.0291,40.7072,14.1955
4240,20180323,33.749,34.3824,33.3871,34.1137,2518560,1.0011,26.9663,14.5619
4241,20180326,33.93,34.2919,33.93,34.1137,791450,0.9996,18.0817,14.9022
4242,20180327,34.3824,34.7896,34.2919,34.3852,760560,1.006,11.8788,14.6395
4243,20180328,34.3824,35.1062,34.2919,34.9281,656670,1.0206,11.4441,14.0425
4244,20180329,35.242,35.242,34.2014,34.2042,701180,0.9982,9.7195,13.3354
4245,20180330,34.2014,34.4729,33.93,34.1137,471800,0.9943,10.7409,12.9629
4246,20180402,34.111,34.5634,34.111,34.5662,780060,1.0059,15.2284,12.5036
4247,20180403,34.6086,35.7396,34.6086,35.7425,1725110,1.0377,25.1638,12.4411
4248,20180404,36.192,36.373,35.3324,35.5615,997840,1.0303,34.4992,12.9511
4249,20180405,35.6491,35.9206,35.3324,35.4258,719060,1.0245,49.1485,13.4246
4250,20180406,35.4229,36.2825,35.3777,35.6972,1360090,1.0302,67.2524,14.1875
4251,20180409,35.6944,35.9206,35.4682,35.6068,762360,1.0255,80.6698,14.8959
4252,20180410,35.6039,36.373,35.6039,36.1044,2169530,1.0379,88.6387,15.9626
4253,20180411,36.5539,36.5539,34.8348,34.8376,1612660,0.9999,79.8751,15.8279
4254,20180412,34.6538,35.3777,34.5181,34.9281,776530,1.0008,71.2219,15.2868
4255,20180413,35.2872,35.2872,34.5181,34.5209,1284990,0.9877,54.5701,14.7844
4256,20180416,34.3824,34.5181,32.3014,33.9327,1201100,0.9698,36.6652,15.4046
4257,20180417,33.93,34.6086,33.93,34.4757,660420,0.9842,22.3111,15.8683
4258,20180418,34.4729,34.8348,34.3824,34.3852,336890,0.9804,20.5409,16.0107
4259,20180419,34.4729,34.6538,33.6586,33.6613,876760,0.9589,12.9877,16.7437
4260,20180420,33.6586,34.3824,33.6586,34.0232,596050,0.9683,14.2663,17.4243
4261,20180423,32.6633,34.5181,32.6633,32.6659,901800,0.9293,14.2663,18.7955
