,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
4162,20171204,7.258,7.7199,7.2486,7.7203,1876710,1.1393,95.4404,29.0127
4163,20171205,7.7765,8.0121,7.5408,7.6449,2879910,1.1279,97.3397,31.2106
4164,20171206,7.6256,7.7293,7.4465,7.5412,1475760,1.1122,95.104,32.7229
4165,20171207,7.5408,7.6351,7.3052,7.3055,1210630,1.0773,87.6732,33.3702
4166,20171208,7.4465,7.4937,7.2674,7.3338,799510,1.0813,79.0159,33.7724
4167,20171211,7.4465,7.4465,6.9941,6.9944,1020230,1.0314,62.6421,32.8288
4168,20171212,7.0224,7.1355,6.5228,6.7965,923510,1.0022,44.1068,30.7173
4169,20171213,6.7961,6.9752,6.7867,6.7871,586620,1.001,27.5381,28.7566
4170,20171214,6.7867,6.9375,6.7867,6.9285,294090,1.0222,17.322,26.936
4171,20171215,6.9281,6.9281,6.815,6.8342,509490,1.009,6.7079,25.2454
4172,20171218,6.8339,7.0318,6.8339,6.9379,502610,1.0253,5.569,23.6164
4173,20171219,6.9752,7.0035,6.8433,6.8436,354320,1.0119,6.3599,22.1037
4174,20171220,6.8433,6.8716,6.8056,6.8436,315760,1.0122,7.1507,20.5325
4175,20171221,6.9187,6.9187,6.815,6.8248,87750,1.0099,5.2207,19.2856
4176,20171222,6.7961,6.8244,6.5793,6.5985,634110,0.9772,4.4921,18.7049
4177,20171225,6.5982,6.6076,6.4568,6.4571,405730,0.9574,2.0047,18.621
4178,20171226,6.5982,6.683,6.5134,6.6834,322480,0.9917,7.1577,18.162
4179,20171227,6.683,6.8433,6.683,6.6928,541280,0.9935,12.5427,16.9813
4180,20171228,6.683,6.8998,6.683,6.8907,561290,1.023,30.8634,15.9022
4181,20171229,6.8998,6.9941,6.8998,6.9096,601310,1.0257,50.8634,15.3095
4182,20180102,6.9752,7.258,6.9752,7.2112,804670,1.0699,70.8634,15.7468
4183,20180103,7.258,7.258,7.0224,7.1547,762240,1.0607,83.1477,16.1528
4184,20180104,7.258,7.258,6.9752,7.0604,481640,1.0462,92.2815,16.2687
4185,20180105,7.0035,7.0695,6.8998,7.0227,577530,1.04,87.6851,15.9621
4186,20180108,7.0224,7.2109,6.9375,7.1453,966100,1.0573,84.9092,16.2461
4187,20180109,7.3523,7.3994,7.1449,7.249,1359770,1.0715,84.5679,17.1671
4188,20180110,7.258,7.3523,7.1638,7.2584,926970,1.0718,86.2199,18.0223
4189,20180111,7.2957,7.2957,7.0506,7.1453,779940,1.0544,86.7029,18.1328
4190,20180112,7.0884,7.2674,6.9752,7.117,907130,1.0494,87.3467,17.8042
4191,20180115,7.1072,7.1732,7.0695,7.0699,1101370,1.0422,79.5801,17.4991
