,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2439,20171205,18.61,19.8296,18.61,19.7404,10745110,0.795,72.2923,24.4923
2440,20171206,19.7393,20.3265,19.2424,19.8759,5352700,0.8052,72.2923,24.0534
2441,20171207,20.1007,20.1458,19.5134,19.7856,2911320,0.8064,82.7255,23.6459
2442,20171208,19.6038,19.6038,19.2424,19.2435,3026720,0.7893,88.0478,22.7804
2443,20171211,19.1521,19.3328,18.5197,18.5207,2904320,0.7651,81.2693,21.4609
2444,20171212,18.7004,18.9262,17.797,18.7466,3854450,0.7798,71.6121,21.1422
2445,20171213,18.9262,19.1069,18.5649,18.837,1085770,0.7893,62.8459,20.5581
2446,20171214,18.8359,18.9262,18.5197,18.9273,2000750,0.7993,55.8938,20.073
2447,20171215,18.9262,19.6038,18.7456,19.0628,4197660,0.8113,55.4832,18.7071
2448,20171218,19.3779,19.5586,19.1521,19.2435,3821050,0.8252,61.4112,17.4388
2449,20171219,19.2424,19.3779,19.0166,19.0628,2525350,0.8237,62.5631,16.3353
2450,20171220,19.2424,19.2424,18.6552,18.6563,2929640,0.8127,57.3182,15.8511
2451,20171221,18.6552,18.8359,18.5197,18.5207,1865960,0.8136,45.1582,15.5968
2452,20171222,18.5197,18.61,18.339,18.5207,1939120,0.8199,31.5676,15.6213
2453,20171225,18.61,18.7004,18.2487,18.2497,1956800,0.814,17.4836,15.4625
2454,20171226,18.4745,18.5649,18.2487,18.4756,2072020,0.8294,10.7229,15.315
2455,20171227,18.4745,18.8359,18.4745,18.5659,2106860,0.838,13.6682,14.6044
2456,20171228,18.6552,18.7004,18.339,18.4304,1415280,0.8356,19.4533,14.1929
2457,20171229,18.5197,18.7907,18.2487,18.7918,3222440,0.855,35.5854,13.611
2458,20180102,18.7907,18.7907,18.4294,18.4304,1786570,0.8419,43.0453,13.0707
2459,20180103,18.5197,19.1521,18.5197,18.7014,3007320,0.8579,53.2575,12.5122
2460,20180104,18.7907,19.1973,18.5649,19.1983,4704640,0.8837,64.3233,12.0893
2461,20180105,19.4683,19.8296,19.4231,19.4242,10040090,0.8969,78.5382,12.8687
2462,20180108,19.8748,20.6879,19.1973,20.689,13403530,0.9577,82.4061,14.7163
2463,20180109,20.9589,21.0492,20.0555,20.8697,10371310,0.9686,94.9463,16.8029
2464,20180110,20.7782,21.5913,20.5072,21.5021,11584090,1.0,100.0,19.223
2465,20180111,21.5009,22.2236,21.0944,21.999,9819050,1.0251,100.0,21.9333
2466,20180112,21.8623,21.8623,21.0041,21.0052,13065270,0.9812,92.7368,24.2275
2467,20180115,20.9589,21.0492,20.4168,20.5083,9353260,0.961,81.5361,25.0168
2468,20180116,20.5072,20.9137,20.3265,20.8697,8396710,0.9804,71.9683,25.5585
2469,20180117,21.1396,21.1396,19.8296,19.8308,8176080,0.9345,56.4248,25.0677
2470,20180118,19.4683,21.0492,19.4683,21.0504,10877770,0.9954,45.7932,23.9683
2471,20180119,21.1396,21.2751,20.733,21.0504,11145610,0.9993,42.4247,23.2613
2472,20180122,20.9589,21.1396,20.3717,20.5083,7689520,0.9775,38.0548,21.975
2473,20180125,20.5072,20.733,19.7393,20.2373,11519110,0.9685,28.7676,20.9862
2474,20180126,20.5524,20.6879,19.8296,19.8308,6222840,0.9528,24.3111,20.0681
2475,20180129,19.8748,20.2362,18.5649,18.6563,11621380,0.9001,14.9427,20.7102
2476,20180130,18.61,18.61,18.2035,18.3852,5597090,0.8911,5.5744,21.6383
2477,20180131,18.7004,18.7456,18.2939,18.4756,6832330,0.8994,1.6075,22.2539
2478,20180201,18.61,18.61,17.3453,18.3852,8412960,0.8985,0.6026,23.6358
2479,20180202,18.2035,18.8811,18.1132,18.7918,5527540,0.9218,4.2295,24.4368
2480,20180205,18.5197,18.5197,17.4808,17.4818,6391700,0.8612,4.2295,25.6784
2481,20180206,16.2612,16.8936,16.2612,16.2621,7238980,0.8054,4.2295,27.5866
2482,20180207,16.8032,16.8032,15.4481,15.449,5225130,0.7692,3.767,29.7511
2483,20180208,15.3578,16.216,14.7254,15.8104,6723540,0.7914,5.7486,32.0603
2484,20180209,14.8158,15.5385,14.8158,15.5394,2920250,0.782,3.564,34.2045
2485,20180212,15.5837,16.1709,15.0868,16.1718,4195710,0.8172,9.5698,35.1337
2486,20180213,16.0805,16.6226,15.8095,16.1266,3709030,0.8185,15.9301,35.3036
2487,20180221,16.4419,16.4871,16.0805,16.2169,3898740,0.8267,24.0339,35.4614
2488,20180222,16.216,16.8032,16.1709,16.5783,5251030,0.8483,36.804,35.1092
2489,20180223,16.7129,16.8484,16.6226,16.8042,3701960,0.863,52.8604,34.7099
2490,20180226,16.7581,16.8032,16.2612,16.5332,5181890,0.8526,62.1682,34.6543
2491,20180227,16.3515,16.4419,16.0805,16.3525,4275590,0.8468,69.6674,34.7566
2492,20180228,16.1257,16.2612,15.8095,16.1718,3635330,0.8406,73.9537,35.08
2493,20180301,15.9902,16.5322,15.8998,16.3525,4715220,0.8529,76.0983,34.8716
2494,20180302,16.3515,16.6677,16.1709,16.3073,3269840,0.8531,75.1584,34.4251
2495,20180305,16.3064,16.5322,15.8998,16.0814,5407030,0.8441,73.9732,34.2888
2496,20180306,15.945,16.2612,15.8547,16.2621,4489180,0.8566,77.022,34.2089
2497,20180307,16.1257,16.3515,16.0354,16.1718,3644700,0.8545,80.2577,33.9402
2498,20180308,16.1709,16.2612,16.0354,16.0363,1870900,0.8501,71.4196,33.6907
2499,20180309,16.0805,16.1709,15.9902,16.0363,2379750,0.8529,63.0588,33.5173
2500,20180312,15.3578,16.1709,15.3578,15.3587,3143640,0.8198,48.9305,34.094
2501,20180313,15.4933,16.3967,15.0416,16.3976,10852130,0.8777,52.0223,34.9418
2502,20180314,16.6226,17.4356,16.6226,17.4366,14317460,0.9355,56.3964,33.546
2503,20180315,17.4356,17.797,17.3453,17.4818,7816670,0.94,68.1982,31.6503
2504,20180316,16.6226,17.2549,16.6226,16.6235,8325560,0.8961,73.2516,30.7896
2505,20180319,16.1709,16.7581,16.0354,16.1718,5100990,0.874,83.4822,30.5988
2506,20180320,16.216,16.8484,16.1709,16.7138,6807440,0.9052,77.9072,30.2638
2507,20180321,16.8032,16.8936,16.4871,16.759,3552720,0.9089,72.6726,29.8699
2508,20180322,16.7581,16.8484,16.2612,16.4428,4223640,0.893,65.1014,29.758
2509,20180323,15.5385,16.1709,15.5385,15.72,5653060,0.8554,59.5164,30.3708
2510,20180326,15.5385,15.8998,15.4933,15.9007,2815600,0.8675,58.5299,30.9809
2511,20180327,15.8095,15.9902,15.5837,15.72,2958330,0.8598,52.1623,31.3518
2512,20180328,15.7643,15.7643,15.4481,15.6749,1872540,0.8592,45.1487,31.8369
2513,20180329,15.674,15.7643,15.3126,15.449,2208690,0.8484,38.9122,32.4294
2514,20180330,15.3126,15.9902,15.1771,15.9007,6225690,0.8746,37.8348,32.4334
2515,20180402,15.945,16.3967,15.7192,15.72,3715030,0.8662,33.1819,31.5321
2516,20180403,15.7192,15.8095,15.403,15.7652,3033400,0.8703,30.3992,31.12
2517,20180404,15.7643,15.8095,15.5385,15.7652,3298420,0.8718,31.1429,30.7374
2518,20180405,15.674,15.8095,15.5837,15.8104,2390220,0.8754,34.6964,30.3821
2519,20180406,15.7192,16.5774,15.674,16.3073,7605580,0.904,48.1071,28.4024
2520,20180409,16.7129,17.0743,16.3064,16.3073,5434160,0.9051,63.516,27.0152
2521,20180410,16.6226,16.6226,15.9902,16.0363,2097670,0.8911,72.1622,25.1655
2522,20180411,16.0354,16.0354,15.4933,15.4942,3422410,0.8629,66.9922,24.0739
2523,20180412,15.3578,15.6288,15.3578,15.6297,2545070,0.8723,64.0176,23.2596
2524,20180413,15.8095,15.9902,15.7192,15.9459,3938950,0.8917,58.4972,21.8461
2525,20180416,16.0354,16.2612,15.7643,16.2621,2919240,0.9109,58.4972,20.495
2526,20180417,16.3967,16.8936,16.3515,16.8494,7631300,0.9451,64.5763,20.1735
2527,20180418,16.8936,17.0743,16.3967,16.4428,6055860,0.9238,75.0382,20.1136
2528,20180419,16.4419,16.5322,16.1257,16.2169,3618740,0.9127,78.8524,19.5436
2529,20180420,16.216,16.7129,16.0805,16.7138,3896820,0.9421,81.3461,19.2749
2530,20180423,16.0805,16.8032,15.8095,16.0814,4464910,0.908,69.8519,18.5055
