,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2840,20171205,27.4202,28.2971,27.3405,27.4217,1143410,1.1632,84.0585,32.2553
2841,20171206,27.5,28.1376,27.2608,27.7406,593350,1.1741,83.3541,33.5967
2842,20171207,27.9384,28.2173,27.3405,27.342,541610,1.1549,77.2132,34.8969
2843,20171208,27.3405,27.5,26.7029,26.7043,563180,1.1259,72.0854,34.817
2844,20171211,25.9058,26.3043,25.4275,25.668,370650,1.0807,56.1818,32.7967
2845,20171212,25.5072,25.9058,23.913,25.668,300620,1.079,39.144,31.5598
2846,20171213,25.1087,25.6666,25.1087,25.1499,102930,1.0555,19.8485,30.4113
2847,20171214,25.1087,25.9058,25.1087,25.4289,133850,1.0656,8.1082,29.044
2848,20171215,25.4673,26.2644,25.3478,25.9072,178750,1.0838,7.6922,27.3324
2849,20171218,26.2246,26.2246,25.4275,25.4687,197340,1.0641,10.2779,25.7431
2850,20171219,25.5072,25.6666,25.1884,25.1897,123960,1.0516,11.0458,24.5468
2851,20171220,25.1884,25.9058,25.1884,25.5086,195330,1.0637,14.3846,23.1049
2852,20171221,25.7463,25.7463,25.3079,25.3492,175790,1.0558,14.4492,21.766
2853,20171222,25.0289,25.7463,25.0289,25.3492,240190,1.0545,11.0593,20.8943
2854,20171225,25.1884,25.3478,24.8695,25.2695,179270,1.0498,10.016,20.2941
2855,20171226,25.2681,25.5072,24.8695,25.5086,181970,1.0585,13.9996,19.466
2856,20171227,25.5072,25.6268,25.3478,25.5883,55260,1.0603,19.3061,18.4912
2857,20171228,26.0005,26.165,25.5068,25.5073,88570,1.0555,30.5364,17.6153
2858,20171229,25.6714,25.6714,24.3549,24.7667,266850,1.0237,28.3529,17.4894
2859,20180102,24.9308,25.8771,24.7663,24.7667,75950,1.0226,26.8105,17.0544
2860,20180103,24.9308,24.9308,23.8612,24.6433,376740,1.0164,22.059,17.6255
2861,20180104,24.0258,24.6429,24.0258,24.2731,62920,1.0002,13.4137,18.1559
2862,20180105,24.2726,24.5194,23.7789,23.7794,167740,0.9791,0.0,18.8972
2863,20180108,23.7378,24.6017,23.6966,24.1085,147120,0.9916,5.8285,19.5855
2864,20180109,24.3137,24.4372,23.8612,24.4376,266350,1.0041,17.0551,20.2247
2865,20180110,24.4372,25.0954,24.2726,24.6845,502550,1.0132,32.1025,19.5878
2866,20180111,24.5194,24.7663,24.1903,24.3553,76150,0.9987,43.2165,19.1087
2867,20180112,24.3549,25.0131,23.9846,24.0262,99310,0.9843,50.696,18.2273
2868,20180115,24.0258,24.4372,23.9846,24.2319,178780,0.9916,55.775,17.4088
2869,20180116,24.2315,24.5194,23.9846,23.9851,150470,0.9805,52.6286,16.4925
2870,20180117,23.9023,23.9023,23.203,23.2034,232180,0.9479,38.0875,16.8236
2871,20180118,23.203,23.8612,23.0384,23.8617,120860,0.9738,41.3119,17.3442
2872,20180119,23.8612,23.8612,23.2852,23.6148,37220,0.9628,44.9296,17.8276
2873,20180122,23.8612,24.6017,23.203,23.4502,192060,0.9552,42.9842,16.8148
2874,20180125,23.3675,23.4498,22.051,23.4502,546780,0.9544,43.866,17.364
2875,20180126,23.0795,23.8201,23.0795,23.7794,135070,0.9668,59.5384,17.2541
2876,20180129,23.7789,24.5194,23.7789,24.1908,254460,0.9823,65.2001,16.1248
2877,20180130,24.3549,25.8771,24.1903,25.8775,596660,1.0488,74.1028,16.3632
2878,20180131,26.0828,26.0828,25.0954,25.2604,465600,1.0222,80.9085,16.7717
2879,20180201,25.0954,25.26,24.9308,24.9313,124750,1.0078,85.6492,16.9132
2880,20180202,24.7663,24.9308,24.5194,24.6845,226740,0.9968,81.6639,16.4646
2881,20180205,24.3549,24.4372,23.0384,23.0388,258250,0.9301,65.9028,16.185
2882,20180206,23.6966,23.6966,21.5574,23.6971,276260,0.9563,53.859,17.0755
2883,20180207,23.6966,25.0954,23.6966,24.6845,1027480,0.9955,50.8011,16.4529
2884,20180208,24.684,26.165,24.684,25.5073,233920,1.0276,52.2927,15.5704
2885,20180209,25.5068,26.0828,24.2726,25.5896,270420,1.0296,55.68,14.5035
2886,20180212,25.5891,25.8359,24.7663,25.7541,47180,1.0349,67.8252,13.5128
2887,20180213,25.7536,26.0005,25.3422,26.001,78980,1.0434,77.476,12.6508
2888,20180221,26.453,26.453,24.8486,25.3427,50980,1.0159,77.508,12.0971
2889,20180222,25.3422,25.3422,25.0543,25.0547,61660,1.0033,73.1109,11.5829
2890,20180223,25.1777,26.3296,25.0954,25.5073,30470,1.0202,71.0591,11.355
2891,20180226,25.5068,25.5068,25.0954,25.2604,225450,1.0094,68.1196,11.1434
2892,20180227,25.1777,25.8359,25.1777,25.3427,317600,1.0117,64.5676,11.2524
2893,20180228,25.26,25.9182,25.0954,25.3427,162460,1.0108,65.8807,11.3536
2894,20180301,24.8074,25.3422,24.7663,25.137,58270,1.0016,67.1969,11.0342
2895,20180302,24.6017,25.4657,24.6017,25.425,120650,1.0124,66.2955,10.5321
2896,20180305,25.4245,26.0828,25.3422,25.425,317680,1.0119,59.1941,10.7381
2897,20180306,25.5068,27.1524,25.5068,26.8238,712670,1.0666,65.1392,11.8861
2898,20180307,27.1524,27.1524,26.0416,26.0421,126690,1.0348,59.0725,12.9521
2899,20180308,26.165,26.2473,25.7536,26.2478,78440,1.0424,57.1379,13.5246
2900,20180309,26.2473,26.3296,25.9593,26.001,198250,1.0327,51.0213,14.1351
2901,20180312,26.0828,26.165,25.7125,26.0833,64020,1.0363,52.1707,14.3253
2902,20180313,25.6714,26.2062,24.7251,24.9725,128370,0.993,32.1707,13.4116
2903,20180314,25.9182,26.0828,25.5068,25.7541,166230,1.0246,31.0861,12.5632
2904,20180315,25.7536,27.1113,25.7536,26.4947,181360,1.054,33.3624,12.7122
2905,20180316,26.6587,27.1113,26.3296,26.6592,235350,1.0605,40.4631,12.8505
2906,20180319,26.3296,27.1113,26.2473,26.3301,39810,1.0473,43.2685,12.8596
2907,20180320,26.3296,26.4942,26.2473,26.3712,75420,1.0483,53.8971,12.868
2908,20180321,26.3707,27.1113,26.3707,26.5769,441330,1.0558,59.3283,13.5751
2909,20180322,26.4942,26.9878,26.0005,26.001,90240,1.032,53.0635,13.6375
2910,20180323,25.3422,26.6587,25.3422,25.9187,80010,1.028,44.8008,12.7567
2911,20180326,25.5068,25.9182,24.7251,25.5073,180510,1.0113,36.2802,12.504
2912,20180327,25.5068,25.5068,24.7251,25.3427,169710,1.0044,25.6517,12.2694
2913,20180328,24.8486,25.7125,24.7663,25.0959,48460,0.9943,13.3168,11.7503
2914,20180329,25.0954,25.5068,24.9308,24.9313,38040,0.9873,7.1262,11.2683
2915,20180330,24.9308,25.4245,24.6017,24.6022,120100,0.9739,1.7775,11.2744
2916,20180402,25.0954,25.4245,24.684,25.0547,71540,0.9912,5.5714,11.28
2917,20180403,25.0543,25.4245,24.7663,25.425,148170,1.005,15.2935,11.2852
2918,20180404,25.4657,25.9182,25.4245,25.9187,219450,1.0237,30.0231,10.5536
2919,20180405,26.4936,27.014,26.399,26.7775,78060,1.0568,50.0231,11.3598
2920,20180406,27.0585,27.0585,26.207,26.6828,112240,1.0524,69.0091,11.7764
2921,20180409,26.5882,26.5882,25.784,26.0205,60390,1.026,75.7943,11.4686
2922,20180410,25.8285,25.9231,24.5986,25.1689,108370,0.9926,71.4438,11.6536
2923,20180411,25.7366,25.7366,24.1281,24.3647,55440,0.9612,56.7261,12.3095
2924,20180412,24.1754,24.6958,24.1754,24.6012,59160,0.9705,38.8981,12.9185
2925,20180413,24.5986,24.5986,23.1795,23.2765,128060,0.9189,19.9121,14.4011
2926,20180416,23.2765,23.6077,22.8034,23.6077,22000,0.9326,9.9094,16.071
2927,20180417,23.6077,23.655,22.7088,23.655,58330,0.935,7.2336,17.6949
2928,20180418,23.5604,23.655,23.1819,23.5604,31450,0.9317,9.4781,19.2028
2929,20180419,23.6077,23.6077,22.8034,23.5604,42710,0.9322,9.5625,20.9136
2930,20180420,23.0848,23.3687,22.7064,23.3711,40240,0.9254,10.8489,22.5803
2931,20180423,21.9495,24.5986,21.9495,21.9518,205920,0.8703,8.4952,21.9847
2932,20180424,23.4633,23.4633,22.7064,23.3238,110000,0.9253,13.9267,21.4316
2933,20180426,23.6525,24.5986,23.2741,23.7496,79700,0.9431,22.2274,20.3698
2934,20180427,23.7496,23.9389,23.0873,23.9389,25970,0.9515,34.7238,19.1458
2935,20180502,24.0808,24.0808,23.2765,24.0808,108950,0.9579,53.4374,18.1816
2936,20180503,23.655,24.1281,23.655,23.8916,215750,0.9514,71.9712,17.3461
2937,20180504,23.2741,24.0309,23.2741,23.8442,42670,0.9508,81.9968,16.1874
2938,20180507,23.2741,23.7944,22.801,23.2765,68430,0.9294,85.1762,15.7275
2939,20180508,23.3687,23.3687,23.3687,23.3711,8870,0.9347,85.1584,15.3005
2940,20180509,22.801,23.8417,22.801,23.2765,159260,0.9324,79.128,15.6019
2941,20180510,23.655,23.655,23.2765,23.5604,5330,0.9454,77.7836,15.8817
2942,20180511,23.5604,23.655,23.1819,23.5604,135000,0.9468,76.8199,16.2594
2943,20180514,23.1819,23.5604,22.9927,23.5604,14640,0.948,80.2728,16.8481
2944,20180515,23.5604,23.5604,23.1819,23.5604,44380,0.9488,82.7273,17.3948
2945,20180516,23.655,23.655,23.4658,23.4658,40,0.9459,76.3277,17.6896
2946,20180517,23.4633,23.6052,22.7064,23.3711,30690,0.9427,63.1593,18.9242
2947,20180518,23.1819,23.1819,22.7088,23.1819,13970,0.9359,45.9698,20.0706
2948,20180521,22.8034,23.0873,22.7088,23.0873,17950,0.9332,28.7804,21.1351
2949,20180522,22.7088,22.9927,21.4787,21.7626,27890,0.8809,11.591,23.3195
2950,20180523,20.8615,22.5172,20.8142,22.4249,77560,0.9088,14.9195,25.7971
2951,20180524,21.0056,22.3776,20.911,22.2357,2390,0.9023,20.6195,28.0978
2952,20180525,21.0056,22.0465,20.8164,21.5734,85850,0.8768,24.6881,30.2973
2953,20180528,20.8164,20.8164,20.1068,20.8164,143870,0.8476,24.6881,32.7665
2954,20180529,19.4917,21.2895,19.3971,20.8164,102270,0.8491,24.6881,35.3991
2955,20180530,20.0573,21.6657,19.9627,20.9583,114620,0.8565,16.1905,36.9745
2956,20180531,19.7735,21.098,19.7735,21.0056,106260,0.86,9.6987,38.551
2957,20180601,20.8164,21.0056,20.6272,20.7218,62400,0.8501,6.7186,40.0149
2958,20180604,20.8164,20.8164,19.4917,20.7218,82380,0.8515,7.8762,41.9785
