,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
855,20171205,20.9623,21.0529,20.6602,20.6918,466400,0.959,53.4898,18.412
856,20171206,20.6602,20.7206,20.3582,20.6011,191710,0.9582,52.407,17.9748
857,20171207,20.5998,20.5998,20.2374,20.5105,312350,0.9575,47.1486,17.3083
858,20171208,20.4488,20.7206,20.3582,20.5105,125640,0.9609,40.3066,16.91
859,20171211,20.479,20.479,20.1165,20.1178,198770,0.9456,27.2619,15.9984
860,20171212,20.1165,20.1165,19.0292,19.8158,249310,0.934,15.9756,16.4004
861,20171213,19.8145,19.8145,19.3916,19.4533,89820,0.92,8.2566,16.7737
862,20171214,19.15,19.6333,19.15,19.4533,143460,0.923,4.1283,17.4559
863,20171215,19.1802,19.3916,19.0292,19.121,333280,0.9104,0.0,18.254
864,20171218,19.1198,19.452,19.1198,19.272,144270,0.9206,2.6067,18.8429
865,20171219,19.15,19.2708,19.0292,19.0304,245010,0.9128,2.8448,19.5265
866,20171220,19.0896,19.3312,19.0292,19.1512,168930,0.9222,5.2223,19.9929
867,20171221,19.15,19.3916,19.15,19.3324,117100,0.9345,10.7238,20.2514
868,20171222,19.3312,19.3312,19.1198,19.1814,98620,0.9309,14.7399,20.5478
869,20171225,19.0292,19.1802,18.6667,18.8793,265930,0.9201,12.7856,21.5956
870,20171226,18.8781,18.8781,18.4855,18.4867,187610,0.9051,12.5475,22.8371
871,20171227,18.3042,19.15,18.3042,19.0304,85330,0.9355,19.4003,23.1387
872,20171228,19.1802,19.1802,18.8177,19.0606,102390,0.9407,27.4975,23.3266
873,20171229,19.0292,19.3312,18.7875,19.121,117180,0.947,43.4814,23.0354
874,20180102,19.1802,19.8145,19.15,19.8158,244100,0.9846,62.8289,21.4739
875,20180103,19.9353,20.0561,19.5124,19.5137,102710,0.9726,78.9914,20.4014
876,20180104,19.5124,19.6333,19.3916,19.3929,57350,0.9689,84.4591,19.1087
877,20180105,19.3916,19.5728,19.2104,19.2116,101500,0.9625,83.3919,18.0128
878,20180108,19.2104,19.6333,19.15,19.5741,90250,0.983,80.7228,16.8404
879,20180109,19.7541,19.8749,19.452,19.6345,128870,0.9882,78.8137,16.1214
880,20180110,19.6333,19.7541,19.452,19.5439,248700,0.9851,79.4871,15.4538
881,20180111,19.5426,19.6333,19.3312,19.5439,240940,0.9864,81.6251,14.486
882,20180112,19.6333,19.6333,19.0896,19.4533,220440,0.9827,84.5594,13.9664
883,20180115,19.2104,19.6333,19.0292,19.3324,197890,0.9768,80.8702,13.6397
884,20180116,19.15,19.3312,19.0292,19.1512,115960,0.9676,66.2225,13.3364
885,20180117,19.2104,19.2708,18.9385,18.9398,124040,0.9566,49.3866,13.3094
886,20180118,18.9385,19.5728,18.9385,19.0606,147610,0.963,36.4451,12.4307
887,20180119,19.2708,19.3312,18.9989,19.0908,76200,0.9652,25.8634,11.6148
888,20180122,18.6969,18.9989,18.4855,18.7887,507250,0.9505,12.2217,12.1272
889,20180125,17.4887,17.5189,17.4887,17.4898,1140890,0.8856,8.7786,14.2892
890,20180126,16.2805,17.096,16.2805,16.9159,491220,0.8576,8.7786,17.4286
891,20180129,17.1564,17.2169,15.7368,15.8284,325140,0.804,4.8842,20.6946
892,20180130,15.5858,16.9148,15.5858,16.3118,311160,0.8303,4.6081,23.8167
893,20180131,16.3107,16.945,16.3107,16.5534,347120,0.8445,11.6397,26.6305
894,20180201,16.794,16.945,16.4617,16.5534,336350,0.8461,18.6713,29.2433
895,20180202,16.794,16.794,16.4919,16.493,47010,0.8447,25.7992,31.6695
896,20180205,16.4315,16.4617,15.5858,15.768,208210,0.8096,30.4968,34.4848
897,20180206,14.6796,15.1025,14.6796,14.6806,350960,0.7561,27.5421,37.4859
898,20180207,14.9213,15.7066,14.9213,15.4055,138230,0.7957,29.7673,38.7782
899,20180208,15.7066,16.0087,15.4046,15.7076,39200,0.8133,34.8184,39.3113
900,20180209,15.4046,15.8274,15.1629,15.768,60340,0.8184,40.3429,39.9951
901,20180212,15.767,16.2201,15.767,16.1305,35060,0.839,55.3377,39.7877
902,20180213,16.2503,16.3711,16.0087,16.0097,55010,0.8346,72.8282,39.2841
903,20180221,16.7638,16.7638,16.3107,16.493,45780,0.8615,83.5714,38.0421
904,20180222,16.3107,16.8846,16.1597,16.342,85000,0.8552,90.488,37.0713
905,20180223,16.3711,16.9148,16.3107,16.6138,160290,0.8708,97.8357,36.1076
906,20180226,16.6128,16.794,16.3107,16.6742,177040,0.8753,98.1432,35.2128
907,20180227,16.7336,16.7336,16.4617,16.6742,136000,0.8765,98.9993,34.3819
908,20180228,16.6128,16.6732,16.3107,16.6138,173960,0.8745,98.4836,33.8389
909,20180301,16.6128,16.7336,16.3107,16.3118,67210,0.86,96.4384,33.1742
910,20180302,16.3107,16.5825,16.1899,16.3118,23710,0.8612,93.3925,32.7551
911,20180305,16.3711,16.4013,16.2503,16.2513,55350,0.8593,87.6293,32.366
912,20180306,16.2503,17.0356,16.0691,16.7951,177180,0.8891,87.6293,30.3416
913,20180307,16.9752,17.3377,16.8846,16.9159,449850,0.8966,88.145,28.5242
914,20180308,16.9148,17.1564,16.6732,16.8555,193700,0.8945,89.8965,26.5918
915,20180309,16.7336,16.9148,16.643,16.7951,50050,0.8928,90.3035,24.8625
916,20180312,16.4013,16.794,16.4013,16.4024,105160,0.8737,81.246,23.7718
917,20180313,16.4919,16.5825,16.0389,16.5534,84040,0.8835,71.4886,23.4471
918,20180314,16.5523,16.5523,16.3107,16.493,52140,0.882,59.9756,23.1456
919,20180315,16.8544,16.8544,16.3711,16.5534,20370,0.8868,51.9481,22.0702
920,20180316,16.4919,16.5523,16.3107,16.493,80330,0.8852,43.3032,21.2011
921,20180319,16.5825,16.6128,16.3711,16.5836,53670,0.8916,50.44,20.2306
922,20180320,16.3107,17.0356,16.3107,16.3722,98340,0.8818,45.2786,19.2831
923,20180321,16.6732,16.6732,16.3409,16.4628,19030,0.8881,45.7198,18.4032
924,20180322,16.4617,16.4617,16.2503,16.2513,97630,0.8783,36.7734,17.3373
925,20180323,16.2503,16.2503,15.8878,16.0701,116420,0.8703,28.0572,16.76
926,20180326,16.0691,16.0691,15.8274,15.8284,40050,0.8589,15.7411,16.364
927,20180327,16.0087,16.2503,15.5254,15.5264,103280,0.8445,10.6599,16.6572
928,20180328,15.7066,15.8274,15.5254,15.8284,110670,0.8627,9.7897,16.9295
929,20180329,15.8878,16.0087,15.7066,15.8586,150060,0.8662,18.051,16.6002
930,20180330,16.0993,16.0993,15.918,16.0399,17630,0.8779,33.2433,16.0125
931,20180402,16.1295,16.7336,16.0389,16.493,221820,0.9043,53.2433,15.8916
932,20180403,16.1899,16.5825,16.1899,16.493,60150,0.9058,73.2433,15.7794
933,20180404,16.3711,16.5523,16.1899,16.1909,86120,0.8907,79.7981,15.6752
934,20180405,16.0389,16.4919,16.0389,16.1305,31030,0.8891,83.4026,15.0998
935,20180406,16.0691,16.4013,16.0691,16.1909,76220,0.8945,83.0533,14.5655
936,20180409,16.4919,16.4919,16.0087,16.0097,79500,0.8865,74.6715,14.328
937,20180410,16.3107,16.3107,15.4046,16.0097,270260,0.8883,66.2897,14.2466
938,20180411,15.5858,16.6128,15.5858,15.9493,68220,0.8869,62.1662,13.316
939,20180412,16.1899,16.3107,15.8878,16.1909,40550,0.9017,64.8252,12.4518
940,20180413,16.1899,16.1899,15.8878,15.8889,69250,0.8865,60.508,11.6494
941,20180416,15.8878,16.1899,15.7066,15.8284,54820,0.8848,52.7529,11.4222
942,20180417,15.8274,16.0087,15.5858,15.6774,66180,0.8782,41.1347,11.5386
943,20180418,15.9784,15.9784,15.6764,15.7076,52750,0.8818,31.8893,11.6467
944,20180419,15.7066,15.7066,15.5254,15.5264,53240,0.8741,15.6327,12.1673
945,20180420,15.5254,15.5858,15.1025,15.4962,62320,0.875,5.1069,13.6322
946,20180423,14.9817,15.465,14.9515,14.9826,88680,0.8487,1.2437,15.2867
947,20180424,14.9213,15.1025,14.6192,14.892,138330,0.8464,1.2437,17.3948
948,20180426,15.0421,15.0421,14.4984,14.6806,129970,0.8374,0.0,19.5386
949,20180427,14.8609,14.9213,14.4984,14.8618,87710,0.8508,4.7751,21.5293
950,20180502,15.0119,15.4046,14.9213,15.0129,30020,0.8622,13.2725,21.4848
951,20180503,15.0421,15.2233,14.74,14.9222,48800,0.8596,20.6069,21.826
952,20180504,14.9213,14.9817,14.6192,14.6202,43210,0.8449,24.4229,22.3869
953,20180507,14.9817,14.9817,14.6192,14.6202,28760,0.8477,29.5105,22.9077
954,20180508,14.6796,14.9817,14.6796,14.9222,99780,0.8682,40.8338,23.3913
955,20180509,14.9817,15.465,14.9817,15.4055,127410,0.8991,52.3365,22.0989
956,20180510,15.2233,15.465,15.1025,15.2243,70840,0.8913,62.2946,20.8988
957,20180511,15.4046,15.4046,14.9817,15.2243,37830,0.8941,75.7713,20.1341
958,20180514,15.2233,15.5254,14.9213,14.9222,49130,0.8792,83.6452,19.009
959,20180515,15.1025,15.1629,14.9213,14.9826,70580,0.8855,81.6876,17.9643
960,20180516,14.9817,15.1025,14.8911,14.9826,32120,0.888,75.8284,17.097
961,20180517,15.0421,15.4046,14.9213,15.1639,93400,0.901,76.3758,16.5148
962,20180518,15.1629,15.1629,14.9213,15.1639,40400,0.9033,76.4345,15.9742
963,20180521,15.1629,15.4046,15.1025,15.3149,98720,0.9144,83.473,16.2179
964,20180522,15.2233,15.4046,14.9213,15.1639,76300,0.9076,85.979,15.7217
965,20180523,15.1629,15.2233,15.0421,15.1035,50640,0.9061,87.1795,15.261
966,20180524,15.2233,15.2233,15.1025,15.1639,53890,0.9119,86.2753,14.8332
967,20180525,15.2837,15.2837,14.8609,14.9222,63780,0.8998,74.5698,14.0765
968,20180528,14.8005,14.9213,14.3172,14.4993,54260,0.8768,54.5698,14.9509
969,20180529,14.4984,15.1025,14.438,15.1035,88800,0.9154,55.6299,15.0733
970,20180530,15.1025,15.1025,14.9213,15.0431,17140,0.9136,56.6271,15.1869
971,20180531,15.0421,15.2233,14.8005,15.1337,61350,0.9213,58.3555,15.2924
972,20180601,15.1025,15.1025,14.9213,15.0431,103390,0.918,69.1269,15.3904
973,20180604,15.1025,16.0691,15.1025,16.0701,215200,0.9825,89.1269,16.0521
974,20180605,17.0054,17.1866,16.3711,17.1878,268830,1.0526,91.42,18.3134
975,20180606,17.3981,17.4585,16.9148,17.1575,135950,1.0522,94.7929,20.6904
976,20180607,16.8846,17.0356,16.3409,16.8555,124390,1.0353,93.0,21.3344
977,20180608,16.8544,16.8544,16.4315,16.6742,54230,1.0258,91.8384,21.9324
978,20180611,16.6732,17.821,16.6732,17.52,495230,1.0792,90.6127,23.5922
979,20180612,17.5189,18.123,17.2169,17.4596,105340,1.0769,88.8619,25.4033
980,20180613,17.3981,17.5793,17.3377,17.3388,82760,1.0709,86.3186,27.0851
981,20180614,17.5189,17.6397,16.9148,17.2482,111160,1.0668,85.7886,27.5758
982,20180615,16.9752,17.5189,16.9752,17.1575,115670,1.0627,83.7597,28.0315
983,20180618,17.3377,17.4585,16.0087,16.2815,298020,1.0104,67.9619,26.4395
984,20180619,16.2731,16.6569,15.352,15.7368,79750,0.9787,49.7128,25.1492
985,20180620,15.8893,16.3499,15.7358,16.1206,82230,1.0043,35.8272,23.9511
986,20180621,16.1196,16.4266,15.9277,15.9671,43820,0.9966,21.5409,22.701
987,20180622,15.9661,16.0428,15.8126,15.8135,75790,0.9891,9.1398,21.7267
988,20180625,15.9277,15.9277,15.7358,15.7368,68210,0.9862,6.3682,20.9497
989,20180626,15.7358,15.7742,15.5055,15.5449,44350,0.9753,6.3682,20.6084
990,20180627,15.7358,15.7358,15.352,15.5065,36350,0.9738,3.0857,20.5375
991,20180628,15.5439,15.7358,15.1217,15.1994,81910,0.9549,1.0306,20.8292
992,20180629,15.1985,15.4288,15.1217,15.1994,46330,0.9555,0.2049,21.1
993,20180702,15.1601,15.1601,14.6228,14.8156,47250,0.9324,0.0,22.0798
994,20180703,14.7379,15.1217,14.546,14.5853,64380,0.9191,0.0,23.0917
995,20180704,14.5076,14.5844,14.1238,14.355,46010,0.9058,0.0,24.5547
996,20180705,14.8147,14.8147,13.8936,13.8944,51440,0.8778,0.0,25.2646
