,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2720,20171205,21.8225,21.8978,21.07,21.2227,6557080,1.1575,89.6568,45.4312
2721,20171206,21.1453,21.2205,20.2799,21.0346,8655410,1.1455,76.8232,45.579
2722,20171207,21.0324,21.07,20.2423,20.3949,5225010,1.1094,56.8232,45.6198
2723,20171208,20.468,20.769,20.2046,20.4701,3859820,1.1121,37.306,45.5556
2724,20171211,20.2423,20.3928,19.4145,19.4165,4164300,1.0543,17.306,43.626
2725,20171212,19.565,19.9036,18.6996,19.9057,5025080,1.0797,10.0355,40.5653
2726,20171213,19.9036,20.0165,19.5274,19.7175,2998760,1.0686,4.2321,37.8994
2727,20171214,19.6779,20.0918,19.6779,20.0562,2149240,1.0861,7.22,35.5451
2728,20171215,20.2423,20.6185,19.9036,20.3949,4526560,1.1033,11.2439,34.1513
2729,20171218,20.769,20.8819,20.5433,20.6959,4340510,1.1183,17.0215,33.2117
2730,20171219,20.8443,21.1829,20.769,20.9593,6370700,1.1314,21.4753,32.722
2731,20171220,21.07,21.4086,20.9195,21.0722,4275100,1.1361,27.4045,32.5405
2732,20171221,21.07,21.2581,20.769,20.7712,3513330,1.1186,29.5938,32.0376
2733,20171222,20.6185,20.9571,20.5056,20.7335,2724100,1.1153,32.658,31.0018
2734,20171225,20.769,21.1453,20.769,20.9593,2111030,1.1264,37.5218,30.3142
2735,20171226,21.07,21.2205,20.9948,21.0722,5812250,1.1312,48.6381,29.786
2736,20171227,21.1076,21.2581,20.8443,20.8464,4074240,1.1179,54.3914,28.939
2737,20171228,21.0324,21.6344,20.9571,21.5614,5966090,1.1541,69.2143,28.7304
2738,20171229,21.8601,22.0859,21.5968,21.6742,8515590,1.158,81.6433,29.1337
2739,20180102,21.7473,22.0483,21.7473,21.9,4495320,1.1678,91.0019,29.5082
2740,20180103,22.0483,22.7255,21.973,22.7279,10288870,1.209,93.0456,30.6259
2741,20180104,22.8008,22.9513,22.575,22.6526,7008620,1.2022,98.3639,31.8819
2742,20180105,22.7255,22.8008,21.7473,21.7495,8352050,1.1521,79.1132,31.1401
2743,20180108,21.7473,22.1988,21.5215,22.201,8373690,1.1732,64.6352,30.0149
2744,20180109,22.575,22.7255,22.0859,22.4268,5444200,1.1824,52.3915,29.6479
2745,20180110,22.6879,23.177,22.4998,22.8407,10488420,1.2009,44.0074,29.8106
2746,20180111,22.8384,22.9136,22.4245,22.8031,6501660,1.1955,36.5357,29.8055
2747,20180112,22.9513,23.8919,22.8008,23.5557,12631800,1.2311,53.0956,30.7454
2748,20180115,23.6285,24.2305,23.177,24.0449,6137200,1.2525,67.5736,31.8853
2749,20180116,23.779,24.1553,23.5156,23.9696,7478000,1.2446,78.3573,32.9437
2750,20180117,23.9295,24.0424,22.9513,22.9536,9686960,1.1889,67.4967,32.7481
2751,20180118,22.6503,23.7038,22.3493,23.7062,7995830,1.2243,64.0423,31.5023
2752,20180119,23.8543,24.6444,23.7038,24.4588,9547150,1.2589,59.7006,31.3221
2753,20180122,24.8325,25.8108,24.682,25.7382,10543620,1.3196,59.7006,32.0546
2754,20180125,25.585,27.3158,25.585,26.6413,12487460,1.36,61.1607,33.5599
2755,20180126,26.8643,27.3158,25.9613,26.566,7800330,1.3504,79.4947,34.9576
2756,20180129,26.5633,27.9178,26.488,27.5444,5129430,1.3934,92.057,36.5368
2757,20180130,26.789,27.5791,26.7138,27.4691,8691900,1.383,98.2296,38.0032
2758,20180131,27.4663,27.8049,25.6603,25.6629,7354310,1.2872,80.1489,37.7304
2759,20180201,26.3375,26.7138,25.6603,26.0016,6872490,1.2989,63.662,37.4771
2760,20180202,26.187,26.6009,25.9613,26.4155,3569790,1.3139,49.9904,37.2419
2761,20180205,25.585,26.1118,24.5691,24.5717,9615070,1.2183,29.9904,35.1656
2762,20180206,23.478,24.3058,22.876,23.4804,12223040,1.1613,10.8502,33.6343
2763,20180207,24.983,25.0959,24.5315,24.8351,5380150,1.2244,13.1178,31.4622
2764,20180208,24.2305,24.8325,23.779,23.7815,2490480,1.1695,10.6293,30.0434
2765,20180209,22.4998,23.779,22.4998,23.7815,5374370,1.1666,6.2361,29.5894
2766,20180212,24.6068,25.284,24.381,25.2866,4601160,1.2363,11.6114,27.8631
2767,20180213,25.4345,25.9613,25.4345,25.7005,3788310,1.252,18.0489,25.9886
2768,20180221,25.9613,26.789,25.8484,26.4155,5567150,1.2818,22.0646,24.8157
2769,20180222,26.0365,26.4504,25.6226,25.8887,4411070,1.2517,27.3677,23.5451
2770,20180223,26.1118,26.5633,25.9236,26.4907,4271290,1.2758,34.4181,22.4472
2771,20180226,27.09,27.2405,26.3751,26.3779,7218640,1.2655,42.1454,21.9116
2772,20180227,26.5633,26.6761,26.2246,26.566,4419640,1.2694,49.7203,21.2718
2773,20180228,26.3375,27.7673,26.1494,27.7701,9313900,1.3208,60.8877,21.4196
2774,20180301,27.7673,28.9336,27.692,28.4474,8972120,1.3464,74.5601,22.2181
2775,20180302,28.0683,28.7831,27.7673,28.598,6267180,1.3467,86.4851,22.9595
2776,20180305,28.896,29.3099,26.6009,26.6036,8925540,1.2479,80.066,22.4844
2777,20180306,27.2781,28.4445,26.9395,28.4474,7628590,1.3281,80.1118,22.0432
2778,20180307,28.595,29.2723,28.0683,28.7485,8682010,1.3358,75.857,22.1825
2779,20180308,28.6703,28.7455,28.2188,28.7108,5641340,1.3278,68.1644,22.3119
2780,20180309,29.2723,29.6861,28.9336,29.2,9301060,1.3438,63.2444,23.0181
2781,20180312,28.896,29.6861,28.8208,28.899,4999020,1.3236,68.5285,23.544
2782,20180313,29.0465,29.7238,28.8208,29.7268,5269610,1.3545,71.284,24.0568
2783,20180314,29.9871,30.0624,29.498,29.5011,4990260,1.3374,70.526,24.758
2784,20180315,29.2723,29.6109,29.197,29.5387,4764650,1.3323,72.8133,25.0102
2785,20180316,30.8525,30.9654,29.6485,30.8557,14370650,1.3841,77.7332,26.1057
2786,20180319,30.8525,31.4545,30.4763,30.8557,5351810,1.3766,85.7657,27.3845
2787,20180320,30.401,31.3793,30.401,30.8933,5022610,1.3707,88.952,28.4684
2788,20180321,31.1159,31.1535,30.5515,30.8181,5884400,1.3598,93.656,29.4748
2789,20180322,31.0783,31.1159,30.2881,30.3289,6711150,1.3308,92.0371,30.0095
2790,20180323,29.4228,29.799,28.6703,29.8021,9963470,1.3007,72.0371,28.4892
2791,20180326,29.5733,30.3258,29.498,30.2536,4121060,1.3132,57.0602,27.517
2792,20180327,30.7773,30.9278,29.9495,30.1031,5638950,1.2995,39.3376,27.0801
2793,20180328,29.7614,30.1,29.5733,29.7268,3125890,1.2765,20.2763,26.2492
2794,20180329,29.7614,29.9119,29.2346,29.3505,3861330,1.2538,7.3005,25.1034
2795,20180330,29.4604,29.498,28.7455,29.3505,4561950,1.2472,7.3005,23.5205
2796,20180402,29.7238,30.7396,29.5733,30.7052,6731550,1.2971,13.57,23.1093
2797,20180403,30.702,32.0189,30.4763,31.7588,12295680,1.3333,29.2179,23.5786
2798,20180404,32.3575,32.508,31.5298,31.533,6024780,1.3159,44.4077,24.2972
2799,20180405,31.7555,31.8684,31.304,31.533,4500600,1.3081,59.5975,24.7045
2800,20180406,31.605,32.0941,31.4169,31.533,6142670,1.3005,74.7873,25.2251
2801,20180409,31.605,33.3358,31.5298,33.3392,9138680,1.3659,83.4948,26.4097
2802,20180410,33.1853,33.411,32.3951,32.7371,6851810,1.333,79.6921,27.5485
2803,20180411,32.809,32.8843,31.3793,31.4578,8254090,1.2737,68.0809,27.3912
2804,20180412,31.2288,31.9436,30.702,31.6083,6199070,1.2728,57.2771,26.5377
2805,20180413,31.9813,31.9813,30.9278,31.0815,3210960,1.2452,42.4977,25.7736
2806,20180416,30.9278,31.7555,30.1753,31.1567,3355220,1.2418,23.3726,24.3029
