,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2840,20171204,13.1,13.7,13.05,13.7,10088860,1.1502,94.7212,48.5578
2841,20171205,13.7,13.7,13.0,13.0,5927870,1.0903,79.8418,50.501
2842,20171206,13.0,13.25,12.8,13.25,7182320,1.1102,67.5838,51.2967
2843,20171207,13.3,13.35,12.85,13.0,5844310,1.0884,51.0345,52.1492
2844,20171208,12.95,13.05,12.85,12.95,3170840,1.0831,35.2801,52.9408
2845,20171211,12.8,12.85,12.3,12.3,4124060,1.0283,15.2801,51.2369
2846,20171212,12.4,12.55,11.45,12.45,6713650,1.0403,11.6558,47.8806
2847,20171213,12.5,12.5,12.0,12.0,1791790,1.0031,3.9139,44.764
2848,20171214,11.9,12.5,11.9,12.5,2535990,1.0452,6.4512,42.1028
2849,20171215,12.5,12.7,12.3,12.7,3316180,1.0618,11.4544,39.1072
2850,20171218,12.95,12.95,12.6,12.75,3899560,1.0661,17.5693,36.9045
2851,20171219,12.9,12.9,12.5,12.55,2998760,1.0498,20.3442,34.5884
2852,20171220,12.55,12.75,12.45,12.55,2961790,1.0502,24.6154,32.2997
2853,20171221,12.6,12.65,12.3,12.3,3185360,1.0295,22.325,30.2237
2854,20171222,12.3,12.65,12.3,12.55,4056860,1.0502,23.6636,28.296
2855,20171225,12.65,12.75,12.3,12.35,3767280,1.0338,21.5052,26.3518
2856,20171226,12.45,12.6,12.35,12.6,3685430,1.0547,27.4433,24.5465
2857,20171227,12.65,13.1,12.6,12.85,18184020,1.075,38.9848,24.2482
2858,20171228,12.9,13.1,12.85,12.95,9637560,1.0823,57.0514,23.9712
2859,20171229,13.0,13.05,12.8,12.85,7267650,1.0732,67.0512,23.5238
2860,20180102,12.85,13.5,12.7,13.4,16330710,1.1177,83.0947,24.146
2861,20180103,13.5,13.6,13.25,13.35,15695370,1.1124,91.5741,24.92
2862,20180104,13.35,13.85,13.35,13.6,26486080,1.1316,95.7614,26.0957
2863,20180105,13.7,13.8,13.45,13.6,17260770,1.1301,95.7614,27.1874
2864,20180108,13.7,14.55,13.7,14.55,33849130,1.2064,98.6888,29.269
2865,20180109,15.05,15.25,14.6,14.85,36237040,1.2281,98.6888,31.8383
2866,20180110,14.7,15.65,14.5,15.6,49555650,1.286,100.0,34.5011
2867,20180111,15.4,16.5,15.2,16.25,24136660,1.3345,100.0,37.4223
2868,20180112,16.1,16.5,15.5,15.5,34240510,1.2691,92.777,40.1349
2869,20180115,15.35,15.6,14.95,15.35,37458060,1.2531,83.1969,40.9948
2870,20180116,15.0,15.2,14.75,14.95,42132270,1.2173,68.4454,41.2575
2871,20180117,15.1,15.2,14.3,14.3,27468280,1.162,48.4454,40.3988
2872,20180118,14.15,15.0,13.9,15.0,31286260,1.2155,32.55,38.7459
2873,20180119,15.1,15.6,14.9,15.45,28631100,1.2479,26.1574,37.9806
2874,20180122,15.3,15.5,14.85,15.1,24126670,1.2163,19.235,37.1644
2875,20180125,15.2,15.9,14.85,15.4,48551070,1.2367,19.0769,36.8813
2876,20180126,15.6,15.9,15.2,15.7,22848750,1.2569,25.6969,36.6184
2877,20180129,15.8,16.75,15.75,16.75,34304980,1.3355,32.7014,37.2445
2878,20180130,16.6,17.3,16.25,17.1,30030790,1.3576,38.6773,38.2658
