,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2238,20171109,32.8597,32.8597,32.0975,32.0984,560,0.9955,24.3368,17.7497
2239,20171110,32.0975,32.0975,31.3353,32.0137,2550,0.9921,22.4011,17.0439
2240,20171113,33.7066,33.7066,31.3776,32.3525,1540,1.0023,27.8082,17.7788
2241,20171114,32.6057,33.0291,32.1822,32.5219,5130,1.0076,27.9127,18.4612
2242,20171115,32.521,32.521,32.4363,32.5219,1480,1.0078,36.1491,19.0948
2243,20171117,32.8597,32.8597,31.3353,32.1831,7870,0.9973,37.8709,18.2922
2244,20171120,33.876,34.2148,32.1822,32.1831,530,0.9973,41.1825,18.6562
2245,20171121,33.0291,33.0291,30.4884,32.5642,4710,1.0089,47.0262,17.3645
2246,20171122,32.775,32.8597,30.4884,31.7596,11530,0.9841,34.7849,16.165
2247,20171123,32.1399,32.1399,30.7425,31.3362,4010,0.9714,22.5436,15.0512
2248,20171124,30.5731,31.3353,30.5731,31.3362,3870,0.9716,18.3596,14.0975
2249,20171127,32.0975,32.1822,30.9119,30.9127,3620,0.9588,14.1755,13.7565
2250,20171128,31.3353,31.3353,30.9119,30.9127,3140,0.9592,0.0,13.4398
2251,20171129,31.3353,31.3353,30.9119,30.9974,10420,0.9621,1.7218,13.1458
2252,20171130,31.6741,31.7588,30.9119,30.9127,7310,0.9597,2.4967,13.2834
2253,20171201,32.1822,32.1822,31.1659,31.3362,17320,0.9729,11.7553,13.7988
2254,20171204,31.3353,32.9868,31.3353,32.0984,9730,0.9971,31.7553,14.9341
2255,20171205,31.42,31.7588,31.3353,31.5903,5400,0.9822,45.3207,15.9883
2256,20171206,31.5047,31.5047,30.9542,31.4209,530,0.9777,55.211,16.4138
2257,20171207,31.6741,32.0975,31.3353,31.5056,3540,0.981,67.2732,17.3161
2258,20171208,32.1822,32.6057,32.1822,32.6066,90,1.0155,78.0146,18.5465
2259,20171212,30.6154,31.8858,30.5731,31.8867,3310,0.9934,71.4791,17.6809
2260,20171213,30.4884,31.8434,29.7262,30.7433,6810,0.9581,63.6249,16.7639
2261,20171214,31.7588,31.7588,31.3353,31.7173,6190,0.9883,64.8902,15.9124
2262,20171215,31.7588,32.1822,31.42,32.1831,3250,1.0024,67.8397,14.8631
2263,20171218,32.2669,32.521,31.0812,31.7596,6650,0.9887,60.8325,14.0574
2264,20171219,32.0975,32.0975,31.3353,31.7596,10140,0.9882,60.1542,13.3093
2265,20171220,31.1659,31.5047,31.1659,31.5056,3800,0.9803,65.4423,12.7992
2266,20171221,31.7588,31.7588,31.2506,31.2515,1730,0.9727,57.9374,12.0108
2267,20171222,31.547,31.547,31.3353,31.3362,1810,0.9749,48.4977,11.2788
2268,20171225,30.6578,31.5047,29.8109,31.1668,2860,0.9697,40.1406,12.171
2269,20171226,30.9119,31.2506,30.4037,31.2091,9330,0.9711,32.5373,12.9994
2270,20171227,31.2083,31.5047,30.2343,31.2091,2600,0.9712,26.721,13.4017
2271,20171228,31.293,31.3353,30.4884,30.9127,1570,0.9622,23.1512,13.7753
2272,20171229,31.2506,31.2506,30.4884,31.2515,3750,0.9728,26.3598,14.1222
2273,20180102,30.065,31.2083,29.1757,31.2091,2010,0.9718,30.53,15.6721
2274,20180103,31.1659,31.1659,30.8272,30.8704,240,0.9619,25.7814,17.1113
2275,20180104,30.8272,30.8272,30.7425,30.7433,2350,0.9585,20.5984,18.519
2276,20180105,31.1236,31.1659,30.4884,30.9551,1110,0.9655,26.1369,19.2124
2277,20180108,30.4884,30.9119,30.4884,30.9127,390,0.9644,22.7518,19.8562
2278,20180109,30.4884,30.9119,30.4884,30.5739,1900,0.9543,13.946,20.454
2279,20180110,30.8272,30.8272,30.4884,30.828,2400,0.9626,25.5184,21.0091
2280,20180111,30.4884,30.4884,30.319,30.4893,10610,0.9522,26.099,21.7324
2281,20180112,30.7425,30.8272,30.7425,30.828,60,0.963,34.7487,21.6519
2282,20180115,30.4884,30.7425,30.4884,30.7433,4500,0.9608,41.5204,21.9225
2283,20180116,30.4884,30.8272,30.4884,30.828,2120,0.9637,58.4292,21.9821
2284,20180117,30.4884,30.7848,30.1496,30.6586,5650,0.9589,56.7228,22.5031
2285,20180118,30.4884,30.6578,30.319,30.4893,4300,0.954,60.0185,22.9869
2286,20180119,30.7425,30.9119,30.065,30.0658,7990,0.9412,44.0277,22.8046
2287,20180122,30.8272,30.8272,29.8109,30.6586,1720,0.9601,51.0855,23.0252
2288,20180125,30.065,30.4037,29.6415,30.2352,3550,0.9472,44.2778,23.4785
2289,20180126,30.065,30.4884,29.2181,30.0234,14670,0.9409,39.5596,24.4653
2290,20180129,30.4037,30.4037,29.2181,30.3199,1680,0.9506,50.6474,25.3816
2291,20180130,29.2181,30.1496,29.2181,30.1505,1610,0.9458,61.6891,26.2324
2292,20180131,30.2343,30.2343,28.7946,30.1505,10680,0.9465,52.7309,27.573
2293,20180201,28.8793,29.4721,28.7946,29.2189,5610,0.9177,42.6298,28.8178
2294,20180202,29.3027,29.3874,28.7946,29.3883,5720,0.9236,41.1769,29.9737
2295,20180205,29.2181,30.9119,28.7946,29.2189,14680,0.919,28.1213,28.3047
2296,20180206,29.4721,30.065,29.2181,29.4729,1050,0.9278,25.3027,26.7549
2297,20180207,29.2181,29.9379,29.2181,29.9388,1020,0.9431,32.8497,25.3158
2298,20180208,28.8793,29.7685,28.7946,29.4306,670,0.9279,43.6447,23.8726
2299,20180209,29.2604,29.2604,28.5405,29.1765,2240,0.9208,46.821,22.9819
2300,20180212,29.1757,31.1659,29.1757,31.1668,540,0.9839,64.9126,23.301
2301,20180213,31.7588,32.0975,31.7588,32.0984,50,1.0133,76.6895,24.4013
