,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1912,20171107,14.728,14.728,14.202,14.6771,2270,0.9791,12.8719,39.2123
1913,20171109,14.6754,15.4907,14.2546,15.4925,9100,1.0334,32.8719,36.4213
1914,20171110,14.991,15.254,14.991,15.2558,1020,1.0179,46.6186,33.8296
1915,20171113,15.254,15.254,15.254,15.2558,150,1.0182,56.0745,31.4231
1916,20171115,14.8858,14.991,14.3072,14.8875,1030,0.9942,57.1337,31.1109
1917,20171116,14.8858,14.8858,14.728,14.7297,140,0.9845,55.1849,30.821
1918,20171117,14.728,15.1488,14.3072,14.7297,50890,0.9852,37.5268,31.1874
1919,20171120,15.4381,15.7011,14.728,15.3347,10040,1.0259,36.605,30.0996
1920,20171121,14.8332,15.3329,14.8332,15.3347,14490,1.0261,35.6831,29.0895
1921,20171122,15.254,15.3066,14.991,14.9927,26360,1.0034,36.3763,28.1515
1922,20171123,15.3329,15.3329,14.8858,14.9927,17370,1.0043,40.0773,27.4834
1923,20171124,15.2277,15.2277,15.2277,15.2295,1020,1.0205,46.3902,26.8631
1924,20171127,15.2277,15.4118,14.991,15.2558,7960,1.0227,42.6961,26.7572
1925,20171128,14.991,15.254,14.728,15.2032,6480,1.0199,37.6867,27.1301
1926,20171129,14.8858,15.2014,14.8858,15.2032,1020,1.0206,39.4592,27.4764
1927,20171130,15.2014,15.2014,14.728,15.1769,530,1.0196,44.381,28.0795
1928,20171201,14.8069,15.2014,14.728,15.2032,2550,1.022,47.6663,28.6396
1929,20171204,15.2014,15.2014,15.1488,15.1506,1930,1.0191,48.794,29.1596
1930,20171205,15.1225,15.1225,14.6228,14.6771,4150,0.9877,40.9785,30.5322
1931,20171206,15.2014,15.2014,14.6228,14.6245,2650,0.9844,33.1631,31.4841
1932,20171207,15.0962,15.0962,14.4124,14.4141,3550,0.9704,22.1983,32.6905
1933,20171208,14.6754,14.6754,14.3598,14.4141,2370,0.9708,10.2583,33.8888
1934,20171211,14.465,14.465,14.4124,14.4667,15870,0.9743,1.7786,35.0015
1935,20171212,14.465,15.0962,14.3598,14.8612,2110,1.0008,14.847,33.6035
1936,20171213,14.728,14.728,14.3598,14.3615,5690,0.9672,18.0817,32.3053
1937,20171214,14.3598,14.6228,14.202,14.3878,7000,0.9687,21.9843,31.474
1938,20171215,14.4124,14.728,14.4124,14.6508,3260,0.9862,32.9393,30.3351
1939,20171218,14.465,14.465,14.465,14.4667,4510,0.974,38.4171,29.2776
1940,20171219,14.728,15.1488,14.465,14.5719,1130,0.9811,35.2913,28.0821
1941,20171220,14.5702,14.991,14.202,14.4667,9160,0.9742,39.8051,26.2369
1942,20171221,14.2546,14.8858,14.0442,14.7034,8050,0.9902,50.8408,24.6096
1943,20171225,14.4387,14.465,14.4387,14.4667,12000,0.9744,52.1264,23.0985
1944,20171226,14.5176,14.9384,14.2546,14.4667,3490,0.9746,57.1104,22.403
1945,20171227,14.2546,14.465,14.2546,14.4667,60,0.9747,59.4083,21.7572
1946,20171228,14.8332,14.8332,14.202,14.4667,3530,0.9749,63.9004,21.9489
1947,20171229,14.2546,14.4124,14.202,14.4141,6190,0.9721,57.8267,22.1269
1948,20180102,14.728,14.991,14.6228,14.7823,540,0.997,65.5862,23.3122
1949,20180103,14.7806,14.991,14.3861,14.8349,1170,1.0005,73.3457,23.6512
1950,20180104,14.7806,15.8589,14.202,14.9927,2470,1.0109,81.1052,25.1625
1951,20180105,14.2546,14.9384,14.2546,14.9401,2950,1.0072,86.7116,26.5659
1952,20180108,14.2546,14.7017,14.2546,14.7034,80,0.9912,86.7422,27.869
1953,20180109,14.7017,14.8858,14.7017,14.7034,440,0.9912,75.6305,29.3081
1954,20180110,14.728,14.8332,14.728,14.8349,4010,0.9999,69.2742,30.6444
1955,20180111,14.6228,14.6754,14.465,14.6771,1710,0.9898,56.9156,30.9568
1956,20180112,14.6754,14.6754,14.6754,14.6771,160,0.9903,46.71,31.2469
1957,20180115,14.728,15.7011,14.5176,14.9138,5570,1.0066,54.169,32.8358
1958,20180116,14.9121,15.254,14.728,14.9138,4480,1.0069,61.635,34.3112
1959,20180117,15.0436,15.0436,14.5176,14.8875,2270,1.0053,63.1461,34.9867
1960,20180118,14.728,14.728,14.728,14.7297,3500,0.9951,63.7512,35.614
1961,20180119,14.728,15.0436,14.6754,14.7297,14560,0.9954,57.0891,36.5951
1962,20180122,15.0436,15.0436,14.3072,15.0453,4750,1.0168,60.7348,36.3233
1963,20180125,14.991,14.991,14.728,14.8875,4090,1.0061,53.5668,36.0709
1964,20180126,14.8858,15.78,14.2546,14.7297,22960,0.9956,38.412,36.8737
1965,20180129,14.991,14.991,14.991,14.9927,20,1.0136,44.2971,37.6191
1966,20180130,14.728,14.728,14.4124,14.4141,19870,0.975,43.3179,36.678
1967,20180131,14.6754,14.728,14.3598,14.7297,15520,0.9963,32.1369,35.6711
1968,20180202,14.991,14.991,14.2546,14.7297,1680,0.9965,31.7696,35.1486
1969,20180205,14.5702,14.6228,14.3598,14.6245,6740,0.9898,37.8123,34.6634
1970,20180206,14.465,14.6228,13.676,14.4667,15530,0.9796,25.7391,32.5294
1971,20180207,14.8858,14.8858,14.8858,14.8875,210,1.0082,39.1849,31.0285
1972,20180208,14.2546,14.8332,14.2546,14.7823,5120,1.001,41.0345,29.2199
1973,20180209,14.465,14.6754,14.4124,14.6508,580,0.9921,39.499,27.5405
1974,20180212,14.728,14.991,14.728,14.9927,250,1.0151,49.1345,25.7863
