,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2526,20171205,21.8708,21.8708,21.0897,21.0904,1163070,0.9861,90.5277,18.7224
2527,20171206,20.9335,21.4021,20.5429,21.1685,919730,0.9897,89.8023,18.7542
2528,20171207,21.1678,22.2614,21.1678,22.1839,1002410,1.0363,89.0301,19.5712
2529,20171208,22.4566,22.5738,21.8708,21.9496,472590,1.0249,86.6865,20.5826
2530,20171211,21.8317,22.1051,21.324,21.8715,484000,1.0212,83.8059,20.6886
2531,20171212,21.8708,22.027,20.3867,21.4809,738410,1.0028,83.5291,19.5779
2532,20171213,21.6365,21.7146,20.9725,21.0904,420110,0.9846,77.1954,18.5465
2533,20171214,21.0116,21.9489,21.0116,21.9496,700400,1.025,71.5604,17.8507
2534,20171215,21.988,22.8081,21.9489,22.6135,1665050,1.0557,71.7815,18.0672
2535,20171218,22.6519,22.9253,22.6519,22.8088,723010,1.0646,73.7246,18.3761
2536,20171219,22.8472,23.1987,22.4566,23.0041,922510,1.0738,79.2768,18.9165
2537,20171220,22.9643,23.0425,22.3004,22.4183,997070,1.0467,80.4042,19.172
2538,20171221,22.3395,22.7691,21.8708,21.8715,609130,1.0218,68.2434,18.7531
2539,20171222,21.8708,22.2223,21.6365,21.9496,525830,1.0264,52.754,18.0226
2540,20171225,21.9489,22.2223,21.6365,21.6371,709000,1.0128,33.6915,17.3443
2541,20171226,21.5584,22.2614,21.5584,22.262,439630,1.0424,20.7656,16.59
2542,20171227,22.5347,22.5347,21.988,22.1839,299890,1.039,16.8263,16.2693
2543,20171228,22.2223,22.8081,22.2223,22.4573,889960,1.0515,24.404,16.335
2544,20171229,22.4957,22.8081,22.3004,22.3011,630990,1.0442,28.5229,16.396
2545,20180102,22.6128,23.3549,22.2614,23.3556,1487330,1.0929,45.9541,17.1528
2546,20180103,23.433,23.5892,23.0034,23.2775,952320,1.0888,55.0147,18.1257
2547,20180104,23.3549,23.433,23.0815,23.1994,577830,1.0848,63.8603,19.0291
2548,20180105,23.1206,23.1596,22.027,22.1058,1865810,1.0337,54.8507,17.88
2549,20180108,21.9489,22.4957,21.6365,22.4964,1389640,1.0519,52.5639,16.968
2550,20180109,22.8081,22.8081,22.3395,22.4964,743870,1.0523,39.9185,15.865
2551,20180110,22.4566,22.4566,21.988,22.262,1253990,1.0417,24.9809,15.1382
2552,20180111,22.2614,22.691,21.7927,22.5745,895430,1.0564,15.6381,14.0967
2553,20180112,22.73,23.7454,22.73,23.1994,2033100,1.0853,28.7048,14.4179
2554,20180115,23.1987,24.0969,23.1206,24.0586,1254810,1.1245,44.4844,15.0883
2555,20180116,23.9798,24.2922,23.3549,23.5509,779480,1.0999,52.0599,15.9116
2556,20180117,23.1987,23.6283,22.3395,22.3792,1093160,1.0451,50.8629,15.1281
2557,20180118,22.1051,22.3785,21.7146,22.3792,891590,1.0449,45.4279,14.4581
2558,20180119,22.4957,22.4957,21.8708,21.9105,860050,1.0232,32.3613,13.6837
2559,20180122,21.7146,21.7927,20.6601,20.856,2400480,0.9746,12.3613,14.2259
2560,20180125,21.6755,22.3004,21.6755,22.3011,1491330,1.0424,8.3703,14.0675
