,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1897,20171205,5.4138,5.4138,5.2669,5.3138,118070,0.9804,11.4468,26.8003
1898,20171206,5.3751,5.3751,5.2669,5.2829,109970,0.9748,15.879,26.2417
1899,20171207,5.2823,5.3983,5.2823,5.368,195980,0.9903,22.3412,25.5027
1900,20171208,5.3674,5.7386,5.3674,5.7006,524640,1.0507,34.9348,24.9504
1901,20171211,5.7,5.7,5.5685,5.5923,71450,1.0299,39.0265,24.4375
1902,20171212,5.5839,5.6458,5.3442,5.4144,157500,0.9961,42.1461,22.9512
1903,20171213,5.6845,5.6845,5.4215,5.4221,81600,0.9964,47.1121,21.3293
1904,20171214,5.4602,5.5221,5.4293,5.4917,57240,1.0078,51.5485,19.8233
1905,20171215,5.5453,5.553,5.4602,5.4608,270490,1.0011,50.9876,18.6001
1906,20171218,5.5221,5.6458,5.5221,5.6077,196240,1.0272,58.2459,18.0669
1907,20171219,5.6304,5.8778,5.5762,5.7856,368260,1.0581,70.2131,18.7732
1908,20171220,5.7618,5.8005,5.7541,5.7779,257350,1.0549,80.5892,19.429
1909,20171221,5.7773,5.8392,5.6845,5.7006,132080,1.0394,86.0064,19.4733
1910,20171222,5.7,5.7618,5.5685,5.6619,119850,1.0312,88.6368,18.6584
1911,20171225,5.6458,5.8005,5.6458,5.7083,244680,1.0385,87.1376,18.1291
1912,20171226,5.8005,5.8005,5.6149,5.7238,121710,1.0403,83.2891,17.4079
1913,20171227,5.6149,5.7618,5.6149,5.716,78330,1.038,78.2355,16.7382
1914,20171228,5.7232,5.7309,5.6922,5.7083,50020,1.0359,75.9989,16.1163
1915,20171229,5.7077,5.7618,5.7077,5.7083,89340,1.0353,75.4151,15.7678
1916,20180102,5.7232,5.8392,5.7232,5.7856,176210,1.0489,78.6407,15.989
1917,20180103,5.8005,5.8778,5.7696,5.7702,157000,1.0461,80.2657,16.4501
1918,20180104,5.8005,5.8005,5.7,5.7006,127680,1.0335,75.4553,16.1881
1919,20180105,5.7386,5.7928,5.7,5.7238,131400,1.0373,65.8177,15.9449
