,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2730,20171205,9.2634,9.6065,9.2322,9.3576,1092180,1.0046,92.098,33.9787
2731,20171206,9.2946,9.5441,9.2011,9.42,503190,1.0109,95.7297,34.3919
2732,20171207,9.513,9.513,9.2634,9.3576,165890,1.004,95.6607,34.7756
2733,20171208,9.357,9.357,9.1699,9.2328,182630,0.9903,91.7233,34.6059
2734,20171211,8.9515,9.1075,8.9515,8.9521,169350,0.9602,78.8969,33.3416
2735,20171212,8.858,8.9827,8.6084,8.9209,434510,0.9568,63.5176,31.1326
2736,20171213,8.9203,9.0763,8.9203,8.9209,126950,0.957,43.5176,29.0751
2737,20171214,8.858,9.0139,8.858,9.0145,155890,0.9674,28.9076,27.0669
2738,20171215,9.0139,9.0451,8.9203,8.9521,139350,0.9612,15.7307,25.1878
2739,20171218,8.9515,9.2946,8.9515,9.2328,271290,0.9917,19.043,24.3496
2740,20171219,9.2946,9.6689,9.1699,9.5448,894600,1.0252,32.1837,24.63
2741,20171220,9.7001,9.7001,9.357,9.7007,619410,1.0418,52.1837,24.9679
2742,20171221,9.6689,9.7937,9.4818,9.4824,422860,1.0184,60.752,25.517
2743,20171222,9.4818,9.4818,8.8892,8.8897,578860,0.9555,59.8207,23.7409
2744,20171225,9.1699,9.2946,8.9827,9.2952,252190,1.0001,57.016,22.0916
2745,20171226,9.2946,9.2946,9.0763,9.2328,123340,0.9944,45.3823,20.5602
2746,20171227,9.2946,9.2946,9.0451,9.2016,207320,0.9919,30.8922,19.1574
2747,20171228,9.2322,9.2946,9.1387,9.1704,231940,0.9892,23.8197,17.8548
2748,20171229,9.0451,9.5441,9.0451,9.2328,467480,0.9966,29.937,17.4257
2749,20180102,9.3882,9.3882,9.2011,9.2952,157370,1.0038,30.007,17.0272
2750,20180103,9.2946,9.4194,9.1699,9.3576,482860,1.0111,32.5554,16.6572
2751,20180104,9.4818,9.8249,9.357,9.7943,1076530,1.0585,43.3016,17.6002
2752,20180105,9.6689,9.9808,9.6065,9.7943,910140,1.0587,54.6953,18.8667
2753,20180108,9.856,10.1368,9.856,10.1374,1438490,1.0957,68.5779,20.4009
2754,20180109,10.1679,10.2927,9.9808,10.2934,1272940,1.1127,81.1883,22.1537
2755,20180110,10.3863,10.3863,9.9808,10.1998,749930,1.103,90.1527,23.9679
2756,20180111,10.1056,10.1679,9.9808,10.0438,622260,1.0861,87.7661,25.6525
2757,20180112,10.0432,10.2927,10.0432,10.2622,1186570,1.1096,87.1552,27.4728
2758,20180115,10.3551,10.9789,10.3551,10.9796,2470580,1.1858,87.1552,30.1686
2759,20180116,11.166,11.2908,10.9789,11.0732,1577290,1.1944,87.1552,32.9789
2760,20180117,10.9165,11.1972,10.5422,10.5429,1116290,1.1365,78.8695,33.6865
2761,20180118,10.0432,10.6046,10.0432,10.5429,1161120,1.1358,73.7165,32.6903
2762,20180119,10.5422,10.8853,10.3551,10.7301,1106660,1.1551,68.2683,32.2776
2763,20180122,10.7294,11.0725,10.6358,10.886,846760,1.1708,59.6485,32.2092
2764,20180125,10.8853,10.9165,10.511,10.5429,2189820,1.1333,39.6485,31.7564
2765,20180126,10.7294,10.7917,10.1056,10.1686,1400040,1.0931,30.2937,30.1961
2766,20180129,10.1056,10.3863,9.9184,9.9814,1113790,1.0732,21.5772,28.2816
2767,20180130,9.7937,10.6358,9.6065,10.6365,1459360,1.1424,18.3736,26.7294
2768,20180131,10.667,10.7294,10.1679,10.1686,724060,1.0914,8.5525,25.0586
2769,20180201,10.1679,10.2927,9.9808,10.075,319010,1.0807,9.1156,23.9279
2770,20180202,9.9184,10.1368,9.8249,9.9814,329570,1.0703,9.1156,23.2142
2771,20180205,9.7313,9.9808,9.2946,9.2952,559600,0.9971,9.1156,23.5327
2772,20180206,8.6708,9.1699,8.6708,8.6714,981730,0.9311,2.1223,24.6973
2773,20180207,8.858,9.1699,8.7644,9.1081,320130,0.9785,4.539,25.7788
2774,20180208,9.1075,9.1699,8.7332,8.7338,218630,0.9393,5.89,26.8245
2775,20180209,8.4213,8.7644,8.3589,8.765,242020,0.9436,8.0885,28.2678
2776,20180212,9.0451,9.0451,8.702,8.9209,164160,0.9611,11.7461,28.7442
2777,20180213,9.0451,9.1387,8.9827,9.1081,230420,0.9818,18.7876,28.91
2778,20180221,9.357,9.4194,9.1699,9.2328,303390,0.9958,23.6537,28.2701
2779,20180222,9.2322,9.2946,8.9827,9.1081,369050,0.9829,29.3196,28.0041
2780,20180223,9.1075,9.1699,8.8892,9.1081,370070,0.9834,34.701,27.9186
2781,20180226,9.1075,9.1699,8.8892,8.9209,464540,0.9637,38.9975,27.8392
2782,20180227,8.9203,9.0139,8.7956,8.8585,348110,0.9577,39.5578,27.9412
2783,20180228,8.7956,8.858,8.6708,8.7961,702070,0.9518,37.8763,28.2685
2784,20180301,8.7332,8.9827,8.6708,8.9209,253370,0.966,44.7214,28.1256
2785,20180302,8.858,9.4194,8.858,9.42,777930,1.0199,57.1414,26.63
2786,20180305,9.5441,9.6377,9.1699,9.1704,1160690,0.9934,63.4165,24.7904
2787,20180306,9.1699,9.357,9.1075,9.3576,466160,1.0139,74.5919,23.1202
2788,20180307,9.2322,9.3258,9.1075,9.2016,418700,0.9973,82.3635,21.5693
2789,20180308,9.1699,9.5441,9.1699,9.3888,537070,1.0177,87.6453,20.5373
2790,20180309,9.5441,9.8249,9.3882,9.8255,1174020,1.0647,87.6453,20.2714
2791,20180312,9.7001,9.8249,9.6689,9.7007,545420,1.0509,90.9254,20.0244
2792,20180313,9.7001,9.856,9.6689,9.7943,705260,1.0607,91.1778,19.8737
2793,20180314,9.856,9.9184,9.7313,9.7631,482130,1.0568,94.594,19.8967
2794,20180315,9.7313,10.1056,9.7313,10.0126,723850,1.083,94.8871,20.3876
2795,20180316,9.7937,10.012,9.7937,9.7943,490550,1.0589,90.5073,20.8434
2796,20180319,9.8872,10.0432,9.6689,9.8879,683820,1.068,90.081,20.7245
2797,20180320,9.8249,9.9496,9.7313,9.9191,603010,1.0705,88.2779,20.6141
2798,20180321,9.9184,9.9496,9.7625,9.7943,571060,1.0562,81.6204,20.5116
2799,20180322,9.7937,9.7937,9.6689,9.7319,400770,1.0486,71.1149,19.9643
2800,20180323,9.4194,9.513,9.3882,9.4824,413100,1.021,55.746,18.8007
2801,20180326,9.6065,9.6065,9.2946,9.2952,444310,1.0004,38.6629,18.0639
2802,20180327,9.357,9.6065,9.2946,9.3576,361110,1.0064,23.3056,17.3797
2803,20180328,9.3258,9.4194,9.2634,9.3576,228080,1.0054,13.4839,16.8682
2804,20180329,9.4818,9.4818,9.2322,9.4512,213550,1.0144,8.8882,16.0846
2805,20180330,9.4506,9.5753,9.357,9.5448,340550,1.0231,16.518,14.9645
2806,20180402,9.7937,9.7937,9.5753,9.6695,585910,1.0348,28.2413,14.8505
2807,20180403,9.5441,9.7001,9.357,9.5136,813140,1.0164,32.9535,13.8301
2808,20180404,9.4506,9.9184,9.4194,9.8879,1302430,1.0549,51.0844,13.6415
2809,20180405,9.9496,10.2615,9.7937,10.231,1521080,1.0895,66.1856,14.5142
2810,20180406,10.2927,10.4175,10.1679,10.2934,1084110,1.0939,78.3046,15.7208
2811,20180409,10.2303,10.2615,10.1056,10.1998,940070,1.082,83.9749,16.5486
2812,20180410,10.1679,10.1679,9.7313,9.8255,1085410,1.0408,85.6287,15.7908
2813,20180411,9.856,9.9184,9.4818,9.5136,1031460,1.0066,67.6997,15.0524
2814,20180412,9.4506,9.6689,9.3882,9.5759,484590,1.0117,51.092,14.648
2815,20180413,9.6689,9.6689,9.4506,9.5448,477410,1.0069,32.5241,14.2725
2816,20180416,9.6065,9.9184,9.4506,9.7319,335800,1.0252,21.0137,13.4734
2817,20180417,9.6689,9.7937,9.5441,9.7943,362990,1.0303,19.6487,12.7314
2818,20180418,9.856,9.9184,9.7313,9.7943,403940,1.0287,24.4479,12.4716
2819,20180419,9.7937,10.0432,9.6065,9.7943,945280,1.0272,27.9258,12.6371
2820,20180420,9.7937,10.1056,9.7937,10.1062,601690,1.058,41.0513,12.9894
2821,20180423,10.2927,10.6982,9.9808,10.2934,2688850,1.0754,53.6016,14.7898
2822,20180424,10.2303,10.3239,9.856,9.8567,872720,1.0282,52.735,15.9315
2823,20180426,9.7625,9.9184,9.4506,9.4512,699650,0.9854,45.8648,15.5144
2824,20180427,9.357,9.357,8.7956,8.8585,2339580,0.9239,38.9946,15.3823
2825,20180502,8.9827,9.2946,8.7332,8.9833,680230,0.937,26.3985,15.3933
2826,20180503,9.1699,9.1699,8.702,8.8585,300610,0.9241,8.7312,15.473
2827,20180504,8.858,8.9827,8.7644,8.9209,428960,0.9308,4.54,15.547
2828,20180507,8.858,9.1387,8.858,9.1393,376580,0.9535,9.9038,15.0942
2829,20180508,9.0763,9.1075,8.9515,9.0457,457400,0.944,14.1754,14.6738
2830,20180509,9.0139,9.0451,8.858,9.0457,557610,0.9443,16.4856,14.5541
2831,20180510,9.0451,9.357,8.858,9.2328,683600,0.964,23.1974,13.6385
2832,20180511,9.0451,9.2946,9.0451,9.2952,276040,0.9706,29.8998,12.7883
2833,20180514,9.2322,9.357,9.1387,9.3264,418700,0.9737,33.587,12.205
2834,20180515,9.2011,9.3882,9.2011,9.3264,363880,0.9733,38.3664,11.7694
2835,20180516,9.3882,9.4506,9.1075,9.1081,382200,0.9504,43.3993,11.002
2836,20180517,9.1075,9.1699,8.9827,8.9833,170320,0.9373,44.0129,10.6071
2837,20180518,9.0451,9.2946,8.9203,9.2016,222500,0.9599,53.1441,9.9463
2838,20180521,9.1699,9.2946,8.9827,9.2328,232480,0.9628,62.9456,9.3327
2839,20180522,9.2322,9.2946,8.9827,9.2328,684570,0.9628,72.7471,8.7629
2840,20180523,9.1075,9.3258,9.0451,9.2328,411290,0.9632,82.1292,8.3735
2841,20180524,9.2946,9.4818,9.2011,9.4824,618150,0.9894,94.0377,8.6783
2842,20180525,9.4818,9.5753,9.2634,9.3576,612280,0.9765,91.1582,9.3271
2843,20180528,9.357,9.5753,8.9827,9.1081,501140,0.9503,77.8603,8.7325
2844,20180529,9.0451,9.357,9.0451,9.3576,400140,0.9762,74.1884,8.1803
2845,20180530,9.4506,9.6377,9.2634,9.3264,455610,0.9729,69.5164,8.6497
2846,20180531,9.3258,9.4194,9.2322,9.3888,233390,0.9792,65.9131,8.9353
2847,20180601,9.357,9.4818,9.3258,9.4824,432600,0.9887,71.079,9.4374
