,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1509,20171205,29.7158,29.7802,29.3299,29.5889,13770,0.908,99.0108,34.8419
1510,20171206,29.4586,29.4586,28.3008,29.0743,59350,0.8933,95.9867,34.0268
1511,20171207,29.0726,29.4586,28.5581,28.8813,17860,0.8887,92.2051,33.2699
1512,20171208,28.8797,28.944,28.3651,28.8813,28510,0.8899,88.7655,32.7502
1513,20171211,28.944,29.2013,28.6224,29.2029,14640,0.9011,87.1774,31.8548
1514,20171212,28.944,28.944,28.3008,28.817,16520,0.8905,83.1305,31.3548
1515,20171213,28.3651,28.8154,28.3651,28.7527,600,0.8897,79.6774,30.8905
1516,20171214,28.3651,28.751,28.3651,28.7527,120,0.8909,72.3229,30.4594
1517,20171215,28.751,28.751,27.6576,28.2381,40560,0.876,56.4281,30.7986
1518,20171218,28.2365,28.2365,27.6576,27.6592,6200,0.8591,38.0162,31.1136
1519,20171219,27.4003,27.6576,27.0144,27.6592,24430,0.8603,22.0632,31.9931
1520,20171220,27.6576,27.7219,27.0144,27.3375,35220,0.8516,8.5403,32.6718
1521,20171221,27.4646,27.6576,27.0787,27.2089,6550,0.8488,0.0,33.302
1522,20171222,27.336,27.6254,27.2074,27.5305,7130,0.8599,5.4894,33.8872
1523,20171225,27.5933,27.5933,27.4003,27.5948,11140,0.8631,12.951,34.4306
1524,20171226,27.6576,27.8506,27.5933,27.7235,9890,0.8681,22.9365,34.2519
1525,20171227,27.7862,27.7862,27.4003,27.7235,5820,0.8692,32.9219,34.3377
1526,20171228,27.8827,27.8827,27.529,27.7878,8880,0.8722,44.2981,34.1549
1527,20171229,27.7862,29.5872,27.6576,28.6883,16500,0.9013,58.8087,32.6493
1528,20180102,28.6867,28.6867,27.7219,28.1738,19280,0.8859,65.7994,31.2512
1529,20180103,27.7862,28.0435,27.0144,27.0481,45090,0.8517,61.1912,29.2221
1530,20180104,27.0787,27.336,26.7571,26.823,46200,0.8458,55.1159,27.7006
1531,20180105,27.0144,27.2395,26.4998,26.9516,16680,0.8511,49.2229,26.6382
