,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1754,20171106,62.6293,62.6293,62.6293,62.6308,20,0.9751,51.214,15.9942
1755,20171107,62.7561,63.1364,62.5659,62.6308,1050,0.9748,54.0361,15.9965
1756,20171108,63.1998,63.1998,62.6293,62.6308,210,0.9745,56.5244,16.034
1757,20171109,62.1222,63.1364,61.8053,62.7576,2610,0.9761,59.989,15.434
1758,20171110,62.7561,62.7561,62.7561,62.7576,1410,0.9761,69.2024,14.8769
1759,20171113,62.7561,62.7561,62.7561,62.7576,13360,0.9761,71.4445,14.3595
1760,20171115,62.7561,62.7561,62.7561,62.7576,10,0.9761,72.4207,13.8791
1761,20171117,62.1222,62.1222,60.8544,62.1237,510,0.9666,68.0792,13.8143
1762,20171120,62.1222,62.1222,62.1222,62.1237,10,0.9674,64.8678,13.7542
1763,20171121,62.6927,63.39,62.1222,62.7576,20480,0.9781,70.1884,12.8856
1764,20171122,63.39,63.39,62.4392,62.4407,2490,0.974,71.0858,12.0791
1765,20171123,62.1222,62.1222,60.3473,62.1237,1120,0.9698,67.714,12.5386
1766,20171124,62.7561,63.3266,57.8117,62.7576,11240,0.9802,78.3525,14.1602
1767,20171127,63.39,64.0239,58.6358,62.6942,5730,0.9798,84.8277,15.1123
1768,20171128,62.1222,62.7561,62.1222,62.1237,3430,0.9716,64.9736,15.9964
1769,20171129,61.4883,61.4883,59.8402,60.8559,1190,0.9533,49.3968,17.7428
1770,20171130,60.7276,62.0588,60.7276,61.4264,1590,0.9636,45.3009,18.904
1771,20171201,60.5375,61.4249,60.2839,61.4264,5190,0.9644,32.5126,20.1568
1772,20171204,62.7561,62.7561,61.4883,62.7576,2230,0.9861,34.5694,20.2789
1773,20171205,60.6008,64.0239,60.6008,63.7085,190,1.0011,54.4235,19.5327
1774,20171206,63.707,63.707,63.39,63.7085,5220,1.0012,74.4235,18.8398
1775,20171207,63.39,63.39,61.5517,63.3915,7450,0.9965,84.6732,19.1136
1776,20171208,61.8053,64.0239,61.4883,64.0254,2470,1.0066,97.4615,18.9278
1777,20171211,64.9114,64.9114,63.39,64.279,3910,1.0107,97.4615,18.1693
1778,20171212,64.2775,64.2775,63.39,63.3915,780,0.9973,91.1201,17.465
1779,20171213,64.0239,64.7846,63.39,64.0254,1790,1.0076,88.055,16.4662
1780,20171214,64.9748,64.9748,64.0239,64.0254,430,1.008,87.5284,15.408
1781,20171215,64.9114,64.9114,64.9114,64.9129,210,1.022,87.5284,14.4254
1782,20171218,64.0239,64.9748,64.0239,64.9763,110,1.0232,87.5284,14.1266
1783,20171220,64.6578,64.6578,61.4883,62.821,2900,0.9897,78.0909,15.2072
1784,20171221,66.207,66.207,65.3106,65.3191,15330,1.029,77.6614,15.0812
1785,20171222,66.079,66.079,66.079,66.0875,20,1.0416,79.9159,14.9642
1786,20171225,66.079,66.079,66.079,66.0875,20,1.0419,79.1053,14.8556
1787,20171226,64.03,65.8869,64.03,65.8954,600,1.0392,76.6649,15.7941
1788,20171227,65.3106,65.3106,64.03,65.3191,1380,1.0304,85.1774,16.6655
1789,20171228,61.6609,65.3106,61.5969,65.3191,320,1.0305,81.4058,18.4416
1790,20171229,64.03,65.3106,63.3897,64.6787,610,1.0203,69.5691,20.0908
1791,20180102,65.3106,65.6308,65.3106,65.6393,6430,1.0356,63.9545,21.3402
1792,20180103,65.6308,65.6308,62.1731,65.3191,1630,1.0307,57.2632,23.5142
1793,20180104,65.3106,65.9509,65.3106,65.6393,4690,1.0357,57.4848,25.2686
1794,20180105,65.3106,65.6308,65.3106,65.6393,4370,1.0359,57.7064,26.8977
1795,20180108,65.6308,65.9509,65.6308,65.6393,15240,1.0361,63.3089,28.1197
1796,20180110,64.6703,65.9509,64.03,65.9595,21370,1.0411,65.726,29.7702
1797,20180111,65.9509,65.9509,65.9509,65.9595,10220,1.0412,68.3595,31.3028
1798,20180112,65.9509,66.2711,65.9509,66.2797,27690,1.0463,73.1403,32.4122
1799,20180115,66.2711,66.5912,65.6308,66.5999,3430,1.0512,80.185,33.5575
1800,20180116,62.8134,66.5912,62.8134,66.5999,710,1.0511,87.2297,35.4431
1801,20180117,62.8775,65.9509,62.7494,65.9595,2150,1.041,78.1229,37.2096
1802,20180118,62.4933,66.9114,62.4933,65.8954,5140,1.04,70.2596,37.9265
1803,20180119,65.9509,66.8473,65.9509,66.856,200,1.0551,71.0918,38.5922
1804,20180122,64.03,66.6552,64.03,65.9595,120,1.0405,51.0918,39.8045
1805,20180125,65.9509,66.8473,62.7494,65.9595,540,1.0405,31.0918,41.253
1806,20180126,63.3897,63.3897,63.3897,63.3979,280,1.0005,24.2068,42.598
1807,20180129,62.1731,65.3106,62.1091,65.3191,8520,1.0307,28.0559,42.1281
1808,20180130,65.3106,65.3106,64.03,65.255,6330,1.0296,18.7027,41.6918
1809,20180131,64.03,64.03,64.03,64.0383,140,1.0104,23.0918,41.2867
1810,20180201,64.6703,65.8228,62.1091,62.1172,890,0.9803,23.0918,41.6329
1811,20180202,62.7494,63.8379,62.4293,63.3979,680,1.0006,28.2436,41.9543
1812,20180205,63.3897,63.3897,61.4688,62.1172,310,0.9805,20.5999,42.5759
1813,20180206,63.2616,63.6458,57.8191,63.2699,10700,0.9985,17.3871,44.0544
1814,20180207,59.74,65.5027,59.74,64.6147,490,1.0194,23.4997,43.994
1815,20180208,65.2466,65.2466,64.03,64.0383,310,1.0101,32.2859,43.9379
1816,20180209,61.4688,63.0055,61.4688,62.7576,310,0.9901,32.4049,44.5523
1817,20180212,62.7494,66.2711,62.7494,63.9102,160,1.0079,43.6042,43.1172
1818,20180213,64.9264,64.9264,64.7984,64.8068,170,1.0217,54.4622,41.7846
