,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2830,20171129,11.975,12.2472,11.975,12.0435,2600,0.8956,69.1103,24.6119
2831,20171130,12.1792,12.2132,12.0091,12.0435,9360,0.8976,64.0471,23.7481
2832,20171201,12.0771,12.0771,12.0091,12.0435,14610,0.8998,57.66,22.946
2833,20171204,12.0771,12.2302,12.0771,12.1456,7590,0.9097,63.6373,21.406
2834,20171205,12.0091,12.2302,11.907,12.0095,23140,0.902,58.7053,20.7216
2835,20171206,12.2302,12.2302,11.907,12.1286,11440,0.913,63.556,20.0861
2836,20171207,12.0771,12.1111,11.924,12.0435,2490,0.9088,67.0446,19.496
2837,20171208,12.1451,12.2302,12.0261,12.1796,10820,0.9211,78.6044,18.2713
2838,20171211,12.1451,12.1451,11.941,11.9415,2680,0.9053,62.762,17.561
2839,20171212,12.0431,12.0771,11.4307,11.9415,8150,0.9074,60.244,18.7563
2840,20171213,11.907,11.907,11.6348,11.8734,15110,0.9045,40.244,19.8663
2841,20171214,11.839,12.0431,11.6689,11.8904,13110,0.9079,29.9057,20.1242
2842,20171215,11.907,12.0261,11.6348,11.8734,1700,0.9088,10.3392,20.4799
2843,20171218,12.0941,12.1111,11.8049,12.0776,30350,0.9263,25.1693,20.3275
2844,20171219,12.2132,12.5364,12.1792,12.3837,35480,0.9517,41.0117,19.4711
2845,20171220,12.5534,12.5534,12.2132,12.2477,570,0.943,55.712,18.7388
2846,20171221,12.2472,12.5194,12.2472,12.4858,37330,0.9628,74.1214,18.0588
2847,20171222,12.4853,12.5534,12.2472,12.4518,2510,0.9616,92.4482,17.5688
2848,20171225,12.0771,12.3833,11.941,12.3837,4450,0.9578,89.7141,16.9007
2849,20171226,12.5364,12.5364,11.907,12.1796,2640,0.9436,79.1627,15.7709
2850,20171227,12.2472,12.4173,11.941,12.1116,8920,0.9399,71.8551,14.7218
2851,20171229,11.907,12.9276,11.907,12.0095,13630,0.9336,56.2632,15.5095
2852,20180102,12.5194,12.5874,12.0091,12.2817,15210,0.9564,50.3377,16.2409
2853,20180103,12.2812,12.5534,12.0771,12.3497,20540,0.9631,48.7616,16.9201
2854,20180104,12.5534,12.5534,12.3493,12.4518,6370,0.9725,56.6525,17.5508
2855,20180105,12.4853,12.5194,12.0091,12.4178,17660,0.9713,65.3763,16.495
2856,20180108,11.975,12.4173,11.975,12.4178,10070,0.9727,76.0375,15.3726
2857,20180109,12.1111,12.3493,12.0771,12.3157,20660,0.966,73.3418,14.3304
2858,20180110,12.0431,12.3833,12.0091,12.2987,52560,0.966,67.9899,13.5592
2859,20180111,12.2812,12.3493,12.1451,12.2817,17310,0.966,59.122,12.8431
2860,20180112,12.1451,12.2812,11.975,12.2136,17370,0.9619,48.4664,12.9396
2861,20180115,12.2472,12.2472,12.0431,12.1966,15690,0.9614,38.4043,13.0292
2862,20180116,12.1451,12.2302,12.0771,12.2306,11760,0.965,35.6051,13.1124
2863,20180117,12.2302,12.2302,12.1111,12.1116,20420,0.9566,26.2794,13.1896
