,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2444,20171205,6.3,7.1,6.3,7.0,695290,0.9685,38.8073,12.5165
2445,20171206,7.02,7.49,7.02,7.15,1077570,0.9894,58.8073,13.2491
2446,20171207,6.8,7.34,6.8,7.28,203630,1.0073,78.8073,13.0874
2447,20171208,7.28,7.5,7.15,7.35,661140,1.0169,89.4037,13.3819
2448,20171211,7.35,7.86,7.35,7.86,910960,1.0867,100.0,14.5123
2449,20171212,8.41,8.41,7.86,8.18,822780,1.1297,100.0,16.5355
2450,20171213,8.18,8.4,7.9,8.0,762460,1.1039,96.892,18.4142
2451,20171214,7.44,8.56,7.44,7.9,2126580,1.0895,92.1549,18.5532
2452,20171215,8.45,8.45,7.5,7.56,996560,1.0426,82.5557,18.6823
2453,20171218,8.01,8.01,7.5,7.7,432260,1.0615,74.2671,18.8022
2454,20171219,8.2,8.2,7.25,7.25,535010,0.9998,60.7959,18.0838
2455,20171220,6.75,7.48,6.75,7.48,402960,1.0317,50.5636,17.5042
2456,20171221,7.6,7.8,7.3,7.3,496690,1.007,39.7751,16.3747
2457,20171222,6.79,7.55,6.79,7.55,368140,1.0415,33.4002,16.2026
2458,20171225,7.7,7.7,7.35,7.4,151300,1.0211,23.4103,15.6643
2459,20171226,7.7,7.85,7.42,7.46,583290,1.0294,19.4634,14.7943
2460,20171227,7.6,7.6,7.2,7.39,449300,1.0198,14.245,14.4693
2461,20171228,6.88,7.4,6.88,7.2,239280,0.9937,9.7706,14.8015
2462,20171229,7.0,7.39,7.0,7.39,222640,1.0198,8.5879,15.1099
2463,20180102,6.9,7.4,6.9,7.19,353100,0.9921,6.8664,15.5962
2464,20180103,7.19,7.34,7.15,7.25,309150,1.0006,5.6675,16.0477
2465,20180104,7.7,7.7,7.25,7.27,254350,1.0034,7.1478,15.3679
2466,20180105,7.5,7.5,7.19,7.3,380780,1.0075,11.2561,14.8845
2467,20180108,7.3,7.35,7.0,7.16,522710,0.9876,8.4128,14.8942
2468,20180109,7.16,7.2,7.05,7.2,266440,0.993,11.0462,14.9032
2469,20180110,7.7,7.7,7.3,7.7,2069650,1.0612,29.6633,14.2161
2470,20180111,7.8,8.15,7.5,7.5,995740,1.0333,38.7163,14.5665
2471,20180112,7.6,7.6,7.39,7.39,360930,1.018,42.4406,14.5767
2472,20180115,7.1,7.6,7.1,7.25,298760,0.9986,45.2003,13.8066
2473,20180116,7.05,7.45,7.05,7.3,306710,1.0052,47.2633,12.9628
2474,20180117,6.79,7.5,6.79,7.25,485070,0.9982,30.033,12.54
2475,20180118,7.1,7.4,7.1,7.35,462720,1.012,24.9923,12.1474
2476,20180119,7.2,7.55,7.2,7.49,1033550,1.0311,29.6439,11.3549
2477,20180122,7.29,7.7,7.29,7.52,2248370,1.0348,40.5409,10.879
2478,20180125,8.04,8.04,7.56,7.75,3415050,1.0656,55.8447,11.2666
2479,20180126,8.1,8.29,7.99,8.24,4092960,1.1311,73.075,12.1525
2480,20180129,8.5,8.8,7.92,8.1,985960,1.1102,82.388,13.8584
2481,20180130,8.5,8.5,7.9,8.15,8038730,1.1153,86.731,15.3764
2482,20180131,8.4,8.49,7.7,7.7,1272090,1.053,78.2563,16.1279
2483,20180201,8.1,8.1,7.5,7.6,408400,1.0389,61.2683,16.2106
2484,20180202,7.8,7.8,7.45,7.45,4285480,1.0188,41.2683,16.1358
2485,20180205,7.5,7.5,7.2,7.3,3202250,0.9993,25.0213,15.3364
2486,20180206,7.1,7.3,6.85,7.1,1200400,0.9731,8.1941,14.7723
2487,20180207,7.2,7.4,7.12,7.2,1269060,0.9883,4.8667,13.9797
2488,20180208,7.2,7.2,7.12,7.12,590410,0.9785,2.5678,13.2437
2489,20180209,6.95,7.1,6.7,6.9,1498580,0.949,2.5678,13.5633
2490,20180212,6.95,7.07,6.9,7.0,780610,0.9631,4.3935,13.8601
2491,20180213,7.39,7.39,6.9,7.05,489650,0.9709,7.1363,13.1761
2492,20180221,7.15,7.15,6.96,7.11,602760,0.9803,9.1475,12.541
