,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX,,
2107,20171205,47.9514,48.93,47.0707,47.0712,1975550,1.2137,46.427,73.7326,x,
2108,20171206,46.9728,47.2664,46.0921,46.9734,2102030,1.2078,28.6602,72.547,x,
2109,20171207,46.9728,46.9728,45.7006,46.5819,2737090,1.1945,18.882,70.8702,Buy,
2110,20171208,46.5814,46.5814,45.5049,46.0437,1517040,1.1776,12.1677,69.027,Buy,
2111,20171211,45.0156,45.8963,43.6456,43.6461,1447900,1.1139,0,65.0806,Buy,
2112,20171212,44.3306,44.4284,40.7098,43.7439,2440280,1.1141,0.3201,61.6286,Buy,43.74
2113,20171213,44.037,44.1349,42.7648,43.0589,1177420,1.0947,0.3201,58.4232,Buy,
2114,20171214,43.0584,44.5263,42.9605,44.3311,2166840,1.1246,4.1737,55.1145,Buy,
2115,20171215,44.3306,45.5049,44.2327,45.0161,2574240,1.1393,9.8336,51.2665,Buy,
2116,20171218,45.9942,47.1685,45.6028,46.7776,2349430,1.1806,19.3851,48.6052,Buy,
2117,20171219,46.8749,47.4132,46.3367,46.7287,1958480,1.1762,29.3924,46.2772,x,
2118,20171220,46.7282,48.2939,46.3856,47.952,2587600,1.2036,42.2725,44.6125,x,
2119,20171221,47.9514,48.1471,47.4621,47.4627,1547200,1.1881,49.6376,43.0667,x,
2120,20171222,47.1685,49.7129,47.0217,49.7135,4459390,1.2404,63.9777,42.4341,x,
2121,20171225,49.9086,50.5936,49.7129,50.3006,1491740,1.2507,74.4262,42.2282,x,
2122,20171226,50.3979,50.5936,49.4193,50.3006,1701570,1.2464,84.0989,41.7547,x,
2123,20171227,50.3,51.6701,50.0065,51.3771,2214360,1.2685,91.2187,41.7778,x,
2124,20171228,51.3765,53.7251,51.3765,52.9429,2321870,1.3018,100,42.5082,x,
2125,20171229,52.8444,53.823,52.7465,53.1386,2753570,1.3011,100,43.2163,x,53.14
2126,20180102,52.8444,54.2144,52.453,53.8236,2801720,1.3122,100,43.9968,x,
2127,20180103,54.3123,54.508,53.3337,53.7258,1843870,1.3042,99.5086,44.8145,x,
2128,20180104,53.4316,54.2144,53.138,54.2151,1990040,1.3102,99.5086,45.3521,x,
2129,20180105,53.9209,53.9209,52.7465,52.845,2045200,1.2718,89.1028,45.4024,x,
2130,20180108,52.8444,54.3123,51.8658,54.2151,2071140,1.299,82.6045,44.5013,x,
2131,20180109,54.8016,57.2481,53.3337,57.2488,2853160,1.3648,82.4599,44.8453,x,
2132,20180110,57.0524,57.9331,56.0738,56.7595,2842830,1.3464,79.4764,45.3754,x,
2133,20180111,56.2695,57.5417,55.9759,57.5424,1766240,1.3578,76.3585,45.7711,x,
2134,20180112,57.5417,58.1288,56.7588,56.7595,2525840,1.3326,74.1687,46.3286,x,
2135,20180115,56.7588,58.716,55.7802,58.7167,2061850,1.3711,75.8295,45.8732,x,
2136,20180116,58.031,59.0096,57.5417,58.7167,2218380,1.3637,71.1367,45.5698,x,
2137,20180117,58.5203,58.6181,54.9973,54.998,2077670,1.2717,54.6116,43.2004,x,
2138,20180118,54.8016,57.2481,54.7037,57.2488,2845720,1.3171,43.1756,40.7995,x,
2139,20180119,57.346,60.086,57.0524,59.6953,2998270,1.3658,45.9895,39.9038,x,
2140,20180122,60.6732,62.0432,60.3796,61.9461,2300660,1.4088,44.6486,39.7536,x,
2141,20180125,64.0983,66.2512,62.4347,66.252,4788340,1.4963,48.5684,40.6601,x,
2142,20180126,67.9148,68.502,65.0769,67.6221,2617800,1.5166,68.5684,41.9075,x,
