,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2324,20171205,25.2063,25.2063,24.5125,24.6996,142460,1.0811,88.2514,32.2966
2325,20171206,24.5125,24.79,24.05,24.6533,216870,1.0795,78.809,32.3292
2326,20171207,24.6975,25.6225,24.5588,25.6247,102010,1.1219,75.4748,33.0908
2327,20171208,25.6225,25.8075,24.975,25.4396,114160,1.1138,69.2421,33.9412
2328,20171211,24.605,24.975,24.605,24.6533,60320,1.0792,55.1556,34.0018
2329,20171212,25.0213,25.0213,23.125,24.4683,101000,1.0709,43.8947,31.8178
2330,20171213,24.4663,24.79,24.05,24.5608,47740,1.0746,34.2029,29.7898
2331,20171214,24.5125,24.6513,24.1425,24.6533,13320,1.0785,19.2992,27.9067
2332,20171215,24.8825,25.6688,24.8825,24.9771,135000,1.092,10.3701,27.3068
2333,20171218,24.8825,25.0213,24.79,24.9771,45450,1.0915,12.3043,26.6128
2334,20171219,24.975,25.3913,24.975,25.2084,98960,1.101,19.3797,26.3489
2335,20171220,25.2525,25.345,25.0675,25.2084,37190,1.1003,25.5892,26.1038
2336,20171221,25.345,25.345,24.7438,25.2084,43770,1.0994,32.2927,25.3359
2337,20171222,25.2063,25.2063,24.975,25.2084,27800,1.0986,36.0023,24.6228
2338,20171225,25.2063,25.2063,24.7438,24.7921,21040,1.08,31.1641,23.561
2339,20171226,25.16,25.16,24.7438,24.9771,25320,1.0875,26.8995,22.575
2340,20171227,24.7438,24.975,24.605,24.8846,16710,1.0827,20.7825,21.4033
2341,20171228,24.975,24.975,24.5125,24.8383,28640,1.0798,12.3169,20.1416
2342,20171229,24.7438,24.8363,24.605,24.6533,13500,1.0711,3.7691,18.97
2343,20180102,24.9288,25.345,24.5125,24.9309,195500,1.0823,11.1567,18.7587
2344,20180103,25.2988,25.6688,25.16,25.5784,373780,1.1094,28.346,19.0446
2345,20180104,26.0388,26.6863,25.9925,26.596,152470,1.1518,47.3876,20.4898
2346,20180105,26.825,26.825,26.3625,26.5035,128420,1.1463,65.7447,21.9638
2347,20180108,26.3625,26.5938,25.9,26.3647,389840,1.1387,81.5978,22.3393
2348,20180109,26.3625,26.825,25.9,26.596,408330,1.1468,91.8815,22.9499
2349,20180110,26.6863,26.6863,26.27,26.3185,366270,1.1333,84.529,23.5168
2350,20180111,26.27,26.5938,26.1313,26.3647,173250,1.1335,77.6031,23.7267
2351,20180112,26.4088,26.5013,26.27,26.411,404280,1.1336,72.7688,23.9216
2352,20180115,26.5013,27.2875,26.455,26.596,298310,1.1396,72.2387,25.059
2353,20180116,26.8713,27.0563,26.5938,26.8273,270960,1.1476,72.0253,26.1151
2354,20180117,26.64,26.825,25.5763,25.5784,127560,1.0931,59.3778,24.952
