,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2544,20171205,63.6328,64.8724,58.5091,60.3272,3682370,1.354,6.7545,52.2944
2545,20171206,60.823,60.823,57.7654,60.3272,2680770,1.3464,3.3839,49.685
2546,20171207,59.914,60.9883,58.6744,59.5008,1010070,1.3206,3.3839,47.3233
2547,20171208,58.8397,60.7404,57.4348,60.3272,1767290,1.3315,4.8421,44.4965
2548,20171211,59.5008,60.4925,58.6744,59.5008,1057910,1.3062,1.6628,41.8716
2549,20171212,60.3272,60.4098,57.0216,58.8397,1138470,1.2849,1.6628,39.1377
2550,20171213,59.0876,59.6661,58.5918,59.5008,547600,1.2924,3.6526,36.599
2551,20171214,59.4182,59.914,58.6744,59.5008,477210,1.2856,5.6424,34.1086
2552,20171215,58.4265,59.2529,57.9306,58.0133,4185530,1.2472,3.9796,32.1816
2553,20171218,59.005,61.1536,59.005,61.1536,1199690,1.3075,11.6021,30.3783
2554,20171219,61.6494,62.3932,60.5751,60.7404,1006310,1.2921,19.3172,29.2651
2555,20171220,60.5751,61.071,59.8314,60.7404,1506770,1.2855,25.0424,27.8072
2556,20171221,61.071,62.3932,60.3272,60.3272,1721550,1.2704,29.193,27.0401
2557,20171222,60.8983,62.4683,60.6504,62.4758,2254940,1.3085,49.193,26.3603
2558,20171225,62.8064,64.4592,62.6411,64.4592,1399540,1.3423,61.5706,26.5263
2559,20171226,64.7071,65.2856,64.2939,64.4592,2308080,1.3346,73.8555,26.971
2560,20171227,64.4592,65.2856,63.3849,63.7981,2925370,1.3137,82.6899,26.7838
2561,20171228,64.046,64.8724,63.9634,63.9634,1109290,1.3095,93.5831,26.6099
2562,20171229,64.1209,66.0214,63.6251,63.8807,2105550,1.3003,90.1469,26.9073
2563,20180102,64.1286,64.8724,63.9634,64.6245,1435130,1.3078,89.0589,27.1834
2564,20180103,65.6988,68.7565,64.955,66.5252,5014340,1.338,89.0589,28.6748
2565,20180104,67.3516,68.6738,66.5252,66.9384,2937490,1.3378,92.5094,30.0596
2566,20180105,66.9384,66.9384,65.2856,66.112,2825160,1.3132,89.637,30.4506
2567,20180108,66.104,67.674,65.3603,66.3599,3978990,1.31,88.059,31.0499
2568,20180109,66.8477,68.1698,66.104,66.6078,3276860,1.3069,84.9822,31.7632
2569,20180110,66.9303,68.0045,66.5998,66.7731,3525280,1.3021,81.4041,32.4256
2570,20180111,66.7731,67.9301,66.1946,66.9384,3234530,1.2973,76.3684,32.7091
2571,20180112,67.3516,71.3183,67.1863,70.5746,5641810,1.3587,82.2071,34.011
2572,20180115,71.401,73.3843,71.153,72.0621,3992270,1.3777,87.2214,35.6773
2573,20180116,72.0621,72.31,70.244,71.0704,4033950,1.3499,84.1779,36.57
2574,20180117,71.0704,71.7315,68.5912,69.4176,3664360,1.3106,69.9632,36.3155
2575,20180118,68.5912,69.7482,66.5252,69.7482,2516550,1.309,58.2099,34.9285
2576,20180119,70.244,71.2357,69.4176,69.4176,4547470,1.2958,38.2099,34.1502
2577,20180122,69.8308,70.7398,69.4176,70.244,1971820,1.304,21.0925,33.4274
2578,20180125,70.2355,73.9539,70.2355,70.3266,6498690,1.2984,11.4714,33.717
2579,20180126,71.0704,71.4836,70.1614,70.6572,1879950,1.2975,13.6318,33.9429
2580,20180129,71.0704,72.1447,70.4093,70.6572,1648430,1.2906,14.7885,34.3346
2581,20180130,70.6572,70.9051,69.0044,70.244,2528460,1.2763,15.6122,33.8564
