,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2726,20171205,5.8184,5.892,5.8184,5.8923,89100,1.0883,72.6555,29.994
2727,20171206,5.7815,5.892,5.5238,5.7524,133180,1.0624,56.758,27.8876
2728,20171207,5.6858,5.8846,5.6858,5.8481,27330,1.0797,41.5416,25.9316
2729,20171208,5.8846,5.892,5.8478,5.8481,318290,1.0793,33.6589,24.0965
2730,20171211,5.8478,5.8478,5.73,5.7597,333850,1.0629,20.9925,23.1642
2731,20171212,5.7815,5.7889,5.6858,5.745,346050,1.06,9.5673,22.5749
2732,20171213,5.7079,5.7447,5.3544,5.6713,334960,1.0465,9.5673,23.6077
2733,20171214,5.6048,5.811,5.6048,5.8113,219170,1.0721,10.4633,24.0475
2734,20171215,5.8846,5.8846,5.7447,5.8408,205440,1.0772,12.4161,23.9032
2735,20171218,5.8404,5.9657,5.8404,5.8923,370190,1.0862,20.96,23.1933
2736,20171219,5.9657,5.9657,5.8184,5.8702,308200,1.0814,28.2143,22.6505
2737,20171220,5.8331,5.8846,5.7079,5.8702,241930,1.0807,37.7539,22.7067
2738,20171221,5.8552,5.8552,5.7594,5.7597,341230,1.06,33.3154,22.7589
2739,20171222,5.7594,5.8773,5.7594,5.8187,283670,1.0704,31.2328,22.6213
2740,20171225,5.8846,5.9288,5.8036,5.8997,326660,1.0848,36.6844,22.0595
2741,20171226,5.9215,6.0319,5.8994,5.9733,200950,1.0976,48.8298,20.7361
2742,20171227,6.0172,6.0393,5.973,6.0396,323350,1.1088,59.2902,19.4517
2743,20171228,6.0393,6.1866,6.0393,6.1648,241510,1.1306,78.049,18.8826
2744,20171229,6.2161,6.2234,6.0025,6.0028,126310,1.0999,81.8023,18.3541
2745,20180102,6.0025,6.113,5.892,5.907,212680,1.0817,70.5634,17.0795
2746,20180103,5.892,5.9583,5.7521,5.9218,199740,1.0836,53.5147,16.8051
2747,20180104,5.8184,5.9288,5.8184,5.9218,133350,1.0828,35.8657,16.5503
2748,20180105,5.9067,5.9067,5.7815,5.7818,86230,1.0567,15.8657,16.547
2749,20180108,5.7742,5.8184,5.7447,5.7818,108150,1.056,7.4585,16.7758
2750,20180109,5.7815,5.892,5.7373,5.7524,156540,1.0501,4.702,16.3274
