,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1645,20171205,14.6415,14.7879,14.2511,14.6415,382100,1.1528,94.7448,14.7397
1646,20171206,14.6415,14.8367,14.3487,14.3487,346350,1.1279,88.9462,15.3554
1647,20171207,15.2256,15.3232,14.5424,15.0319,268840,1.1788,88.9462,16.7347
1648,20171208,15.3248,15.52,15.1296,15.4224,290920,1.2059,91.5659,18.2973
1649,20171211,15.4224,15.6176,15.1296,15.2272,297660,1.1871,89.6213,19.8853
1650,20171212,15.2256,15.3232,14.7376,15.0319,389430,1.1683,83.1161,20.1649
1651,20171213,14.7391,15.52,14.7391,15.3248,271100,1.187,85.6361,20.7536
1652,20171214,15.3232,15.9088,15.0304,15.9104,340970,1.2283,85.6361,21.8832
1653,20171215,15.7152,16.3009,15.4224,15.4224,401050,1.1878,76.0728,23.4313
1654,20171218,15.3248,15.7152,15.1296,15.6176,307210,1.1993,72.074,24.0343
1655,20171219,15.6176,16.1057,15.1296,15.3248,281640,1.1743,62.4393,25.1035
1656,20171220,15.3248,15.52,15.1296,15.1296,289460,1.1564,47.0161,26.0963
1657,20171221,15.3232,15.5184,14.9328,14.9343,278500,1.1388,27.0161,26.4459
1658,20171222,15.1296,15.9592,14.9831,15.6176,409760,1.1874,26.0158,27.3722
1659,20171225,15.616,15.7624,15.5184,15.7152,302410,1.1912,23.9437,28.2324
1660,20171226,15.5184,16.0064,15.4208,15.764,313810,1.191,31.3612,29.3456
1661,20171227,15.6176,15.8128,15.2272,15.52,271240,1.169,37.6113,29.7787
1662,20171228,15.5184,15.8112,15.3232,15.8128,260870,1.1867,48.005,30.1809
1663,20171229,16.104,16.104,15.7136,15.7152,268860,1.1751,46.873,30.9835
1664,20180102,16.0064,16.592,15.616,16.008,246050,1.1924,48.7117,32.3274
1665,20180103,16.1057,16.6913,16.008,16.3985,330440,1.2166,54.9387,33.6843
1666,20180104,16.6913,16.6913,16.3985,16.3985,265770,1.2115,68.6886,34.9443
1667,20180105,16.1545,16.6913,16.1545,16.4961,234760,1.2136,78.2949,35.2526
1668,20180108,16.6408,16.7872,16.4456,16.7889,232070,1.2296,89.9906,35.6805
1669,20180109,16.6896,16.7872,16.4456,16.6913,202190,1.217,95.0953,36.0778
1670,20180110,16.4944,16.8848,16.3968,16.8377,219610,1.2219,96.9127,36.6024
1671,20180111,16.7889,17.1306,16.5449,17.0818,464130,1.2334,96.9127,37.459
1672,20180112,16.8865,17.1794,16.2033,17.0818,624450,1.2273,96.9127,36.977
1673,20180115,16.6913,17.1794,16.6913,17.1306,442610,1.2247,96.9127,36.5294
1674,20180116,16.8865,17.3258,16.7889,17.1794,554890,1.2222,99.3219,36.3932
1675,20180117,17.3728,17.3728,16.0064,16.008,638080,1.1344,80.0,33.9087
1676,20180118,16.008,16.5937,16.008,16.2033,209930,1.1437,62.3665,31.6016
1677,20180119,16.2033,17.0818,16.2033,16.5937,202570,1.1668,49.0623,30.5182
1678,20180122,16.6408,16.7872,16.592,16.7401,212260,1.1722,37.2647,29.5122
1679,20180125,16.836,16.8848,16.592,16.7889,229760,1.1708,25.9792,28.7796
1680,20180126,16.8848,17.1288,16.4944,16.9841,337490,1.1793,36.7441,28.5799
1681,20180129,16.7889,16.9841,16.5937,16.5937,370160,1.1481,39.1323,28.3944
1682,20180130,16.5937,16.6913,16.4961,16.5937,281050,1.144,37.1911,27.8873
1683,20180131,16.6913,16.7889,16.4961,16.5937,230960,1.1402,33.7434,27.633
1684,20180201,16.6425,16.6913,16.3985,16.4961,654690,1.1295,28.1679,27.0431
1685,20180202,16.4961,16.6913,16.3985,16.5937,752770,1.1325,21.9685,26.4953
1686,20180205,16.6913,16.6913,16.3985,16.3985,204200,1.1155,18.4235,25.9866
1687,20180206,15.52,16.3009,15.276,15.52,213750,1.0529,13.6688,25.8504
1688,20180207,16.008,16.5937,15.6176,16.5937,404890,1.1224,21.9024,24.9017
1689,20180208,16.8848,17.1288,16.7872,16.9841,321230,1.1453,35.2373,23.4666
1690,20180209,16.8848,17.0312,16.6896,16.9841,304430,1.142,47.1459,21.9137
1691,20180212,16.7872,17.0312,16.2016,16.9841,224990,1.1392,62.4102,21.2192
1692,20180213,16.7872,16.7872,16.2016,16.6913,228960,1.1174,75.1367,20.5743
1693,20180221,16.4961,17.4722,16.4961,17.4722,243430,1.1667,82.0206,19.6936
1694,20180222,17.2282,17.6674,17.1794,17.5698,220250,1.1706,85.5466,19.2228
1695,20180223,17.6656,17.8608,17.4704,17.765,266450,1.1801,89.0726,19.1174
1696,20180226,18.0579,18.5459,17.9602,18.2531,340210,1.2089,92.5987,20.0149
1697,20180227,18.2531,18.3507,18.0579,18.1067,297820,1.1959,98.2416,20.8483
1698,20180228,18.0579,18.0579,17.0818,17.0818,288090,1.1262,87.418,19.565
1699,20180301,16.5937,16.9841,16.3985,16.3985,158380,1.0795,71.9027,19.0018
1700,20180302,15.8128,16.5937,15.8128,16.5937,203440,1.0905,57.8138,19.2078
1701,20180305,16.4944,17.1776,16.4944,16.7889,269010,1.1015,41.4773,18.4382
1702,20180306,16.6913,17.1794,16.6913,17.0818,207390,1.118,29.4267,17.7207
1703,20180307,17.08,17.08,16.6408,16.6913,232880,1.0902,23.0674,17.1261
1704,20180308,17.1776,17.1776,16.592,16.6913,204230,1.0884,21.272,16.3999
1705,20180309,16.7889,16.7889,16.4961,16.5937,197720,1.0799,17.1059,15.8786
1706,20180312,16.4961,16.8865,16.4961,16.4961,211160,1.072,14.2176,15.2027
1707,20180313,16.5449,16.5937,16.3985,16.5449,224500,1.0735,9.2653,14.7477
1708,20180314,16.4961,16.7889,16.3009,16.3985,250220,1.0625,6.576,13.9156
1709,20180315,16.1057,16.2033,15.4712,15.6176,522190,1.0109,3.8867,14.488
1710,20180316,15.3248,15.7152,15.1296,15.3248,207910,0.9911,2.1418,15.4619
1711,20180319,15.7136,15.7136,15.128,15.7152,297470,1.015,7.8643,16.3683
1712,20180320,15.616,15.8112,15.616,15.764,205550,1.0171,13.7808,16.9756
1713,20180321,15.9104,16.3009,15.6176,15.6176,339080,1.0066,19.4109,16.4555
1714,20180322,15.6176,15.6176,15.1296,15.2272,215660,0.9804,20.9198,16.7168
1715,20180323,14.2511,14.5439,14.2511,14.2999,135390,0.9204,20.9198,18.0025
1716,20180326,14.4463,14.7391,14.3487,14.6415,172510,0.9421,19.7063,18.7931
1717,20180327,14.7391,14.8367,14.4463,14.4463,180630,0.9292,16.2543,19.3238
1718,20180328,14.3487,14.6415,14.3487,14.4951,296550,0.9322,15.5102,19.9389
1719,20180329,14.5439,14.6415,14.3975,14.4463,344730,0.9292,18.568,20.5101
1720,20180330,14.3975,14.6415,14.3487,14.5439,306580,0.9357,25.0213,21.1088
1721,20180402,14.5439,14.6415,14.4463,14.5927,201170,0.9388,28.0007,21.6648
1722,20180403,14.5424,15.128,14.4448,14.9343,242520,0.9603,44.1697,20.9554
1723,20180404,15.2272,15.3248,15.0319,15.1296,182190,0.9721,59.2836,19.8592
1724,20180405,15.1296,15.2272,15.0319,15.2272,221720,0.9773,74.7169,18.8413
1725,20180406,15.3248,15.4712,15.2272,15.3248,321300,0.9823,88.2637,17.646
1726,20180409,15.4712,15.8128,15.4712,15.52,130710,0.9937,100.0,17.2299
1727,20180410,15.5688,15.6664,15.3736,15.4224,296000,0.9859,98.5836,16.6069
1728,20180411,15.5672,15.6648,14.64,14.9343,257510,0.9531,90.8457,16.3122
1729,20180412,14.7376,14.9328,14.396,14.8367,234600,0.9454,80.1563,16.4436
1730,20180413,14.8367,14.8367,14.2511,14.3487,108230,0.9138,63.3506,16.7982
1731,20180416,14.3487,14.4951,14.1535,14.3487,177570,0.913,46.1946,17.2849
1732,20180417,14.3487,14.7391,14.2999,14.5439,250810,0.9247,34.7926,17.1168
1733,20180418,14.5439,14.5439,14.2511,14.2511,106170,0.9056,24.1294,17.0513
1734,20180419,14.2496,14.3472,13.7616,14.1046,265430,0.8961,14.8188,17.8203
1735,20180420,14.1046,14.3487,14.0558,14.1535,140430,0.8991,12.9049,18.5302
1736,20180423,13.3726,14.2511,13.3726,13.3726,210990,0.8496,10.0608,20.1348
1737,20180424,13.3726,13.519,13.275,13.519,231510,0.8588,5.5088,21.7403
1738,20180426,13.275,13.5678,13.275,13.519,105430,0.8591,6.5395,23.0829
1739,20180427,13.519,13.6166,13.4702,13.519,246520,0.8592,9.1692,24.1748
1740,20180502,13.275,13.8606,13.275,13.275,205480,0.844,8.4546,24.4308
1741,20180503,13.275,13.4702,13.1774,13.4702,218390,0.8567,15.684,24.8335
1742,20180504,13.4702,13.5678,13.4702,13.5678,105920,0.8634,24.3672,24.8982
1743,20180507,13.5664,13.8592,13.5664,13.8606,193230,0.8823,41.7376,24.0899
1744,20180508,13.908,13.908,13.664,13.763,169490,0.8765,57.0909,23.2003
1745,20180509,13.6654,13.763,13.6654,13.6654,91400,0.8709,72.4849,22.3742
1746,20180510,13.6654,13.763,13.6654,13.6654,40450,0.8712,81.2151,21.6071
1747,20180511,13.664,13.9568,13.3712,13.9582,212370,0.8905,89.9023,21.6162
1748,20180514,13.9582,14.1535,13.6654,14.1535,169550,0.9037,89.9023,20.9635
1749,20180515,14.1535,14.2511,14.0558,14.2511,116040,0.9105,91.9194,20.0437
1750,20180516,14.2511,14.2511,13.9582,14.1535,289120,0.9048,94.2332,19.4545
1751,20180517,14.1535,14.3487,14.0558,14.2511,280480,0.9116,98.2735,18.5749
1752,20180518,14.2511,14.4463,13.9582,14.3487,219830,0.9188,98.2735,17.4296
1753,20180521,14.3487,14.3487,14.0558,14.1535,275130,0.907,94.8001,16.3661
1754,20180522,14.2496,14.2496,13.9568,14.0558,282270,0.9017,88.5197,15.7132
1755,20180523,14.1535,14.2511,13.8606,14.2511,180190,0.9148,88.0533,15.4243
1756,20180524,14.2511,14.3487,14.0558,14.2023,237720,0.9123,83.7937,14.7594
1757,20180525,14.2496,14.2496,13.9568,13.9582,69430,0.8971,72.3136,14.4875
1758,20180528,13.9582,13.9582,13.4702,13.6654,50880,0.8794,56.9813,15.5979
1759,20180529,13.7616,13.8592,13.664,13.8606,72230,0.8931,51.0046,16.629
1760,20180530,13.8592,14.0544,13.8592,14.0558,110940,0.9066,46.516,16.7445
1761,20180531,14.0544,14.152,13.9568,14.0558,80680,0.9075,44.0942,16.4586
1762,20180601,14.0558,14.5927,14.0558,14.5439,353930,0.9398,55.5744,15.859
1763,20180604,14.5439,14.6415,14.4463,14.6415,239450,0.9467,74.3801,15.4436
1764,20180605,14.6903,14.7391,14.5439,14.6415,167820,0.9476,86.6372,15.3427
1765,20180606,14.64,14.7376,14.5424,14.6903,152840,0.9518,93.3186,15.2431
1766,20180607,14.6903,14.6903,14.5439,14.5439,151430,0.9434,96.2356,15.1506
1767,20180608,14.5439,14.6415,14.4463,14.6415,338610,0.9509,94.31,14.638
1768,20180611,14.5912,14.7376,14.4448,14.7391,296230,0.9585,94.1868,14.5082
1769,20180612,14.6415,14.7391,14.5439,14.6415,128060,0.9534,91.3528,14.3931
1770,20180613,14.5424,14.8352,14.5424,14.8367,269920,0.9674,91.3528,14.6441
1771,20180614,14.4448,14.9328,14.4448,14.8367,102930,0.9688,95.1172,14.8771
1772,20180615,14.8352,14.9328,14.5912,14.8855,359540,0.9734,97.0428,15.0935
1773,20180618,14.8367,14.8855,14.1535,14.4463,345640,0.9464,78.9914,14.8124
1774,20180619,14.4463,14.4463,13.6166,14.2999,232790,0.9385,61.8253,16.1101
1775,20180620,14.2999,14.6415,14.2023,14.6415,323630,0.9618,51.5003,16.4817
1776,20180621,14.6415,14.6415,14.3975,14.4463,164500,0.9501,35.6246,16.8268
1777,20180622,14.4463,14.6415,14.1535,14.6415,267880,0.9642,24.8162,17.7815
1778,20180625,14.5927,14.6903,14.4463,14.6415,210990,0.9655,32.1825,18.4473
1779,20180626,14.5912,14.9328,14.5912,14.9343,378480,0.986,48.465,18.0427
