,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1419,20160926,17.5656,18.9908,17.5656,18.991,5510,1.0301,54.7279,9.4097
1420,20160929,17.8506,18.5276,17.815,18.5279,150,1.0052,42.8655,8.8689
1421,20160930,18.1713,18.1713,18.1713,18.1715,490,0.9865,41.2633,8.3667
1422,20161003,18.1713,18.492,18.1713,18.3141,870,0.9948,42.5977,8.0141
1423,20161004,18.2426,18.5276,18.2426,18.5279,500,1.0068,36.4134,7.7291
1424,20161005,18.9195,19.0977,18.9195,19.0979,3080,1.0376,39.8305,8.1217
1425,20161007,19.0264,19.0264,19.0264,19.0267,1200,1.0337,49.8439,8.4862
1426,20161010,18.3851,19.1689,18.3851,19.1692,60,1.0414,69.123,7.9257
1427,20161014,19.6069,19.6069,19.6069,19.6077,500,1.0649,85.4657,7.9416
1428,20161026,18.29,19.2411,18.29,19.2419,500,1.0447,90.8381,8.3111
1429,20161028,19.0216,19.0216,19.0216,19.0224,1000,1.0325,81.1117,8.6542
1430,20161102,18.8021,19.1679,18.8021,19.0956,20570,1.0363,74.1726,9.2
1431,20161103,18.3266,19.0948,18.3266,19.0956,20,1.036,65.0934,10.1774
1432,20161111,19.0948,19.8264,19.0948,19.8272,3100,1.075,65.0934,10.0724
1433,20161114,19.7532,19.7532,19.7532,19.7541,9130,1.0705,70.2107,9.9749
1434,20161116,19.7532,19.7532,19.7532,19.7541,5000,1.07,79.0982,9.8844
1435,20161128,18.4363,18.4363,18.4363,18.4371,10,0.9987,68.1774,11.1432
1436,20161129,18.4363,18.4363,18.4363,18.4371,500,0.9988,57.2565,12.3121
1437,20161202,18.3632,18.3632,17.5584,17.5592,4450,0.9516,37.2565,14.1087
1438,20161205,18.29,18.29,18.29,18.2908,10,0.9913,25.6475,15.777
1439,20161206,18.29,18.29,18.29,18.2908,1100,0.9913,14.0385,17.3261
1440,20161207,17.9242,18.29,17.9242,18.2908,6200,0.9916,21.0578,19.0625
1441,20161208,18.29,18.29,18.29,18.2908,2000,0.992,28.077,20.6749
1442,20161209,18.29,18.29,18.29,18.2908,4500,0.992,35.0963,22.1721
1443,20161226,18.29,18.29,18.29,18.2908,1000,0.9922,35.0963,23.5624
1444,20170104,18.985,18.985,18.985,18.9859,10,1.0297,42.8354,23.3799
1445,20170105,17.9242,19.7166,17.9242,19.7175,2010,1.0686,55.8161,24.3003
1446,20170111,19.7166,19.7166,18.4363,18.4371,170,0.9992,57.2247,25.155
1447,20170118,17.2658,19.1679,17.2658,19.0956,150,1.0342,63.6082,26.8509
1448,20170119,18.3266,18.3266,18.29,18.2908,3000,0.991,64.2166,28.4257
1449,20170120,17.0829,19.0216,17.0829,19.0224,20,1.0298,62.1792,30.5875
1450,20170123,19.8264,19.8264,19.7532,19.8272,250,1.0722,59.6686,31.2239
1451,20170124,20.4116,20.4848,20.4116,20.4857,1700,1.1061,71.2408,30.8553
1452,20170203,19.0948,19.0948,19.0948,19.0956,100,1.0301,64.8045,31.4203
1453,20170209,19.6069,19.6069,19.6069,19.6077,4000,1.0563,68.0011,31.2797
1454,20170217,19.3874,19.3874,19.3874,19.3883,600,1.0431,64.1965,31.3005
1455,20170220,19.3142,19.3874,19.3142,19.3883,5000,1.0418,55.6236,31.372
1456,20170221,19.3874,19.3874,19.3874,19.3883,5000,1.0406,44.5401,31.4384
1457,20170222,19.3874,19.3874,19.3874,19.3883,9000,1.0394,45.6771,31.5001
1458,20170224,19.7532,19.7532,19.0216,19.0224,20,1.0186,38.7625,31.5574
1459,20170228,19.0216,19.0582,19.0216,19.0224,1010,1.0177,33.7558,31.6106
1460,20170301,19.0216,19.0216,19.0216,19.0224,190,1.0171,28.749,31.66
1461,20170302,17.9242,17.9242,17.9242,17.925,1000,0.9583,19.8326,32.672
1462,20170306,17.9242,17.9242,17.9242,17.925,3000,0.958,11.7292,33.6117
