,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2958,20171205,152.5545,154.0575,148.797,149.5578,710070,1.2708,42.4566,62.7901
2959,20171206,146.5425,148.0455,140.6808,146.5516,949920,1.2417,42.3628,60.7825
2960,20171207,146.5425,148.7219,139.779,139.7877,1188910,1.1817,40.2819,58.6595
2961,20171208,139.779,145.1898,139.779,141.366,839440,1.1922,25.0844,56.6882
2962,20171211,141.3572,145.9413,141.3572,143.5454,843650,1.2074,8.1944,54.9825
2963,20171212,145.0395,146.4674,142.785,146.1759,757020,1.2261,9.5402,53.4886
2964,20171213,146.1668,146.8431,144.6638,146.4013,652890,1.2245,14.7993,52.1683
2965,20171214,146.9183,151.0515,146.5425,151.0609,837490,1.2595,23.2434,51.6217
2966,20171215,151.0515,151.0515,146.5425,148.0547,1865860,1.2309,26.4228,51.1142
2967,20171218,151.0515,154.4333,149.0976,154.0671,1218260,1.2765,31.6057,51.1186
2968,20171219,154.0575,154.7339,152.5545,152.564,1086070,1.26,32.9767,51.1623
2969,20171220,151.0515,153.8321,150.3,151.8125,554110,1.2497,33.2559,50.2921
2970,20171221,151.0515,153.8321,151.0515,153.2404,467120,1.2573,31.313,49.4841
2971,20171222,152.5545,153.306,151.803,152.4888,442910,1.2472,34.605,48.7338
2972,20171225,151.8782,152.4042,150.1497,150.3094,377420,1.2257,32.222,47.3276
2973,20171226,150.3,152.4794,149.9994,152.4888,415160,1.2396,36.1784,45.9578
2974,20171227,153.8321,154.4333,153.306,154.0671,754980,1.2482,42.6595,45.1408
2975,20171228,155.185,155.5635,154.428,155.3515,652970,1.2542,49.703,44.6269
2976,20171229,154.0495,160.8625,154.0495,157.9255,893540,1.2703,61.7283,45.0762
2977,20180102,159.727,160.4083,157.9102,160.121,372760,1.283,75.8184,45.4934
2978,20180103,161.6195,162.755,160.5597,161.938,557370,1.2924,85.3993,46.2206
2979,20180104,161.3167,162.755,161.3167,162.6194,704350,1.2926,93.3799,46.8959
2980,20180105,161.998,162.755,160.8625,161.6352,518860,1.2796,95.9419,47.2861
2981,20180108,161.241,161.241,157.8345,158.9854,674800,1.254,82.3421,46.2052
2982,20180109,159.0457,160.484,156.3205,156.7142,810590,1.2317,62.3421,44.5723
2983,20180110,155.3364,159.727,155.3364,159.7425,902750,1.2508,48.1163,42.6633
2984,20180111,160.484,160.484,158.2887,158.9854,794780,1.2403,31.5225,41.0996
2985,20180112,158.97,159.727,158.4401,158.9097,585640,1.2351,18.5746,39.6476
2986,20180115,158.213,158.5915,157.456,157.8498,405160,1.2225,12.3391,37.8597
2987,20180116,156.8504,157.8345,156.8504,157.6984,701460,1.217,12.3391,35.9321
2988,20180117,156.699,157.456,151.4,152.2475,891480,1.1712,6.5648,34.4933
2989,20180118,151.4,155.6392,151.0215,155.6543,921800,1.1933,7.8174,33.2636
2990,20180119,156.2448,158.5158,155.6392,155.6543,1094050,1.1893,9.3174,31.0635
2991,20180122,156.699,160.2569,155.942,160.1967,1031780,1.2194,19.3568,29.2257
2992,20180125,158.213,160.3326,156.699,156.7142,1059420,1.1891,24.2858,27.5431
2993,20180126,156.7747,160.6354,156.7747,160.3482,672410,1.2124,34.0794,26.0822
2994,20180129,160.3326,160.484,156.3205,156.3357,573230,1.1783,34.9775,24.544
2995,20180130,154.428,155.185,153.5953,154.8215,843170,1.1631,33.3129,23.4596
2996,20180131,153.2168,157.0775,152.2327,154.0644,1120270,1.1538,24.8184,21.8221
2997,20180201,154.428,156.3962,152.157,153.6859,451270,1.1474,20.7744,20.2737
2998,20180202,152.5355,156.699,152.5355,156.7142,677340,1.166,18.9897,18.9532
2999,20180205,153.2925,155.185,152.6869,153.7616,504920,1.1404,14.6848,17.727
3000,20180206,149.8103,152.914,143.4515,149.8248,1484810,1.1081,11.6908,19.0078
3001,20180207,154.2766,154.2766,151.5514,151.6418,507670,1.1182,13.6837,19.662
3002,20180208,151.4,151.6271,148.6748,149.2192,234230,1.0973,12.7988,20.8418
3003,20180209,143.83,145.344,141.559,144.601,856530,1.0608,4.7898,22.9816
