,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2458,20171205,36.3105,36.3105,35.6318,36.1082,230680,0.9927,98.7691,21.5277
2459,20171206,36.1068,36.1068,35.2924,35.2937,289520,0.9716,90.2983,22.0108
2460,20171207,35.8354,35.9032,35.0888,35.2937,75150,0.9728,81.8275,22.1171
2461,20171208,35.2924,35.6318,34.8852,34.8865,164890,0.9627,70.0276,21.8747
2462,20171211,35.496,35.9032,34.8173,34.8186,354340,0.962,57.6805,21.9549
2463,20171212,34.8173,35.496,33.7993,33.9362,358660,0.939,38.9113,20.49
2464,20171213,33.935,34.478,33.7993,33.9362,243110,0.9403,27.3822,19.1297
2465,20171214,34.0707,34.2065,34.0029,34.072,203270,0.9454,17.0902,17.8666
2466,20171215,34.8173,34.8173,34.478,34.615,271460,0.9614,14.7817,17.5108
2467,20171218,35.1567,35.1567,34.8173,34.9543,327540,0.9718,15.65,17.5845
2468,20171219,34.9531,35.0888,34.478,34.615,341770,0.9635,21.1536,17.0996
2469,20171220,34.6137,35.0888,34.6137,34.8186,516040,0.9701,28.315,16.6493
2470,20171221,35.7374,35.7374,34.5721,34.6122,268770,0.9653,32.3395,17.0375
2471,20171222,34.6886,34.7274,34.4944,34.651,157990,0.9672,32.4818,17.2579
2472,20171225,34.6497,34.9605,34.0671,34.2626,167650,0.9575,27.5615,16.7172
2473,20171226,34.1059,34.1836,33.0183,33.0972,241480,0.9262,22.0579,16.2942
2474,20171227,33.0959,33.0959,31.4645,32.631,239310,0.9146,14.8965,17.3641
2475,20171228,32.6298,32.6298,31.7752,32.3202,151210,0.9073,9.6348,18.3576
2476,20171229,32.3967,34.1836,32.2414,33.4079,215710,0.9391,14.096,17.3087
2477,20180102,32.6298,33.4067,32.3579,32.3591,206190,0.9111,15.0125,16.3347
2478,20180103,32.5521,33.0959,32.3967,32.5922,149980,0.919,21.4943,15.4302
2479,20180104,32.9406,33.2125,32.6298,33.1749,183560,0.9367,32.6282,14.4473
2480,20180105,33.1736,33.2902,32.6298,32.9029,211690,0.9303,42.1037,13.4352
2481,20180108,32.7852,33.5621,32.4744,33.4079,394170,0.9458,45.994,12.8068
2482,20180109,33.4844,34.8828,33.4844,34.4179,341820,0.9752,61.4767,13.6135
2483,20180110,34.339,34.4167,33.9894,33.9906,168260,0.964,72.0387,14.3626
2484,20180111,33.834,35.7374,33.834,35.4668,470580,1.0064,80.9048,16.0958
2485,20180112,35.5043,35.5043,34.6497,34.651,182680,0.9841,87.1879,17.7052
2486,20180115,34.6497,35.1936,34.4944,34.9618,86110,0.9936,89.8165,18.9478
2487,20180116,34.9605,35.2713,34.339,34.4179,273860,0.9793,84.103,19.8441
2488,20180117,34.339,34.4944,33.4067,33.4079,149890,0.9518,76.8826,19.2954
2489,20180118,32.7075,33.7952,32.3967,33.0195,285810,0.942,62.5661,18.2215
2490,20180119,32.6298,33.4067,32.6298,32.7087,130760,0.9345,51.0023,17.2244
2491,20180122,32.7075,33.329,32.5133,32.631,159710,0.9337,36.0796,16.4298
2492,20180125,32.319,32.3967,31.4645,31.5821,393120,0.9051,21.7931,16.7451
2493,20180126,31.6198,33.0183,31.3091,32.4756,140530,0.9319,17.6528,16.2516
2494,20180129,32.4744,33.329,32.2414,32.2425,165200,0.9265,16.6066,15.4267
2495,20180130,32.2414,32.2414,31.4645,31.7375,243380,0.9133,14.8345,15.4217
2496,20180131,31.7364,32.2025,31.3091,31.3879,151750,0.9044,13.6926,15.5592
2497,20180201,31.3868,32.0083,30.2991,31.0771,230450,0.8967,13.6926,16.5213
2498,20180202,31.076,31.076,30.2991,30.3002,220270,0.8758,8.0096,17.4146
2499,20180205,29.5222,29.6776,28.7453,28.7464,339840,0.8328,3.3723,19.265
2500,20180206,26.9584,27.9684,26.7642,26.9594,525750,0.7834,0.9495,21.8602
2501,20180207,28.4345,28.4345,26.8031,27.0371,252090,0.788,0.5411,23.6918
2502,20180208,27.0361,28.9007,27.0361,28.9017,173610,0.8443,13.6324,24.8334
2503,20180209,28.3569,28.7453,27.1915,27.2702,396080,0.799,22.3491,25.8935
2504,20180212,27.2692,27.813,27.1138,27.581,404430,0.8106,32.9121,26.9216
2505,20180213,27.9684,28.7065,27.9684,28.2802,158040,0.8336,47.5355,26.757
2506,20180221,28.9784,29.4445,28.7453,29.4456,138870,0.8702,66.9944,25.7997
2507,20180222,29.4445,29.4445,28.7453,28.9017,147040,0.8565,71.9372,24.9108
2508,20180223,28.9007,29.328,28.9007,29.0571,226130,0.8632,82.0466,24.0854
2509,20180226,29.4445,29.9883,29.1338,29.3679,371370,0.8745,91.4836,22.5763
2510,20180227,29.3668,29.5222,27.813,27.9694,389650,0.8353,91.6966,22.3186
2511,20180228,27.9684,29.1338,27.9684,28.9794,175060,0.8678,91.5794,22.0793
2512,20180301,28.9784,30.6099,28.7453,30.4556,807730,0.9141,93.5453,20.6444
2513,20180302,30.1437,32.2414,29.9107,32.0872,513690,0.9646,94.7191,20.5256
2514,20180305,32.086,33.5621,31.8529,32.631,450710,0.9822,94.7191,21.175
2515,20180306,32.4744,32.5521,31.7752,32.4756,269940,0.9789,99.311,21.7017
2516,20180307,32.2414,33.329,31.8529,33.1749,385430,1.0012,99.4282,22.6071
2517,20180308,33.1736,34.1836,32.7075,34.0295,344780,1.0279,99.4282,23.8609
2518,20180309,34.1059,34.6497,34.0282,34.2626,976860,1.0358,99.4282,25.2355
2519,20180312,34.9605,35.2713,33.5621,34.9618,841840,1.0575,99.4282,26.7802
2520,20180313,34.9605,35.582,34.5721,35.2726,493090,1.0674,100.0,28.3448
2521,20180314,35.2324,35.5043,34.4167,34.4179,293900,1.0424,96.2045,29.6049
2522,20180315,34.4167,34.4167,33.329,33.641,250130,1.0199,89.2592,29.5202
2523,20180316,33.0571,33.6398,33.0183,33.0583,183830,1.0033,80.0965,29.1141
2524,20180319,32.9406,33.5621,32.6686,32.9418,137220,1.0007,68.2081,28.3702
2525,20180320,32.9406,33.0959,31.076,32.2425,167530,0.9803,48.2081,26.4412
2526,20180321,32.2414,32.2414,31.1537,31.1548,288100,0.9482,32.0036,24.65
2527,20180322,31.1537,31.7752,31.1537,31.2325,137080,0.9516,19.3348,22.9867
2528,20180323,30.4545,31.076,30.1437,30.6887,429760,0.9364,8.4976,22.2741
2529,20180326,30.9983,31.6975,30.6876,30.8441,256220,0.9422,1.1737,21.0266
2530,20180327,31.4645,31.5421,30.7652,31.0771,153830,0.9503,3.1757,19.8682
2531,20180328,31.076,31.076,30.2991,30.3002,144320,0.9276,3.1757,19.1963
2532,20180329,30.2991,30.3768,29.833,29.9506,210860,0.918,2.7897,18.9567
2533,20180330,30.2603,31.6198,29.833,31.3879,127250,0.9628,9.3453,17.689
2534,20180402,31.7752,31.7752,30.2991,30.4168,95890,0.9336,12.4303,16.6489
2535,20180403,30.4545,30.9206,29.6776,29.6787,164440,0.9114,11.6594,15.8051
2536,20180404,29.6776,30.1826,29.3668,29.7564,105100,0.9147,13.8257,15.293
2537,20180405,29.9107,30.8429,29.7553,30.3002,98280,0.9325,21.0058,14.2333
2538,20180406,30.8429,30.8429,30.3379,30.7664,154160,0.9475,29.7177,13.2493
2539,20180409,30.9206,30.9206,30.2991,30.5333,105610,0.941,40.3981,12.4159
2540,20180410,30.2991,30.5322,29.7941,30.3002,147540,0.9345,50.8779,11.9476
2541,20180411,30.8429,30.8429,29.5222,29.5233,61870,0.9114,51.4711,11.1627
2542,20180412,29.4445,30.1049,29.0561,29.9894,80090,0.9265,54.2713,10.9262
2543,20180413,29.9883,29.9883,29.1338,29.2514,75560,0.9047,40.6941,10.7066
2544,20180416,29.1338,29.2503,28.6288,28.7075,87210,0.8888,26.141,11.032
2545,20180417,28.7453,29.1338,28.6676,29.0571,60640,0.9007,19.269,11.3341
2546,20180418,29.4445,29.5222,28.6676,28.9406,49940,0.8983,20.2535,11.0636
2547,20180419,28.823,28.823,27.9684,27.9694,83830,0.8696,10.2733,11.5709
2548,20180420,27.9684,28.7453,27.58,27.6975,97070,0.8627,8.5829,12.4177
2549,20180423,26.8031,28.1238,26.8031,26.804,192650,0.8365,8.5829,13.8693
2550,20180424,26.4534,26.8419,26.3369,26.4933,144240,0.8285,3.7441,15.5674
2551,20180426,27.075,27.075,25.3269,25.4833,190670,0.7989,0.0,17.7915
2552,20180427,25.6377,27.1915,25.2493,27.0371,349820,0.8496,12.0156,19.6709
2553,20180502,26.3369,27.58,26.0262,26.3379,117800,0.8298,21.9682,20.7998
2554,20180503,26.6477,26.6477,25.4823,25.794,237130,0.8149,30.1635,22.2297
